Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	mag:279322
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Method
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T05:48:11Z
Created_By	Atypon Systems LLC.

Platform	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
MA Healthcare Ltd	Journal	Regular	Unique_Item_Investigations	16	16	0
MA Healthcare Ltd	Journal	Regular	Unique_Item_Requests	4	4	0
MA Healthcare Ltd	Journal	Regular	Total_Item_Investigations	20	20	0
MA Healthcare Ltd	Journal	Regular	Total_Item_Requests	6	6	0
