Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	mag:279322
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Section_Type|Access_Type|Access_Method|YOP
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T05:49:15Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Data_Type	Section_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
British Journal of Community Nursing	Mark Allen Group		MA Healthcare Ltd	10.12968/bjcn	mag:bjcn		1462-4753	2052-2215		Journal	Article	2000	Controlled	Regular	No_License	1	1	0
British Journal of Community Nursing	Mark Allen Group		MA Healthcare Ltd	10.12968/bjcn	mag:bjcn		1462-4753	2052-2215		Journal	Article	2000	Controlled	Regular	Unique_Item_Investigations	1	1	0
British Journal of Community Nursing	Mark Allen Group		MA Healthcare Ltd	10.12968/bjcn	mag:bjcn		1462-4753	2052-2215		Journal	Article	2000	Controlled	Regular	Total_Item_Investigations	1	1	0
British Journal of Community Nursing	Mark Allen Group		MA Healthcare Ltd	10.12968/bjcn	mag:bjcn		1462-4753	2052-2215		Journal	Article	2015	Controlled	Regular	No_License	1	1	0
British Journal of Community Nursing	Mark Allen Group		MA Healthcare Ltd	10.12968/bjcn	mag:bjcn		1462-4753	2052-2215		Journal	Article	2015	Controlled	Regular	Unique_Item_Investigations	1	1	0
British Journal of Community Nursing	Mark Allen Group		MA Healthcare Ltd	10.12968/bjcn	mag:bjcn		1462-4753	2052-2215		Journal	Article	2015	Controlled	Regular	Total_Item_Investigations	1	1	0
British Journal of Healthcare Assistants	Mark Allen Group		MA Healthcare Ltd	10.12968/bjha	mag:bjha		1753-1586	2052-4420		Journal	Article	2021	Controlled	Regular	No_License	1	1	0
British Journal of Healthcare Assistants	Mark Allen Group		MA Healthcare Ltd	10.12968/bjha	mag:bjha		1753-1586	2052-4420		Journal	Article	2021	Controlled	Regular	Unique_Item_Investigations	1	1	0
British Journal of Healthcare Assistants	Mark Allen Group		MA Healthcare Ltd	10.12968/bjha	mag:bjha		1753-1586	2052-4420		Journal	Article	2021	Controlled	Regular	Total_Item_Investigations	1	1	0
British Journal of Midwifery	Mark Allen Group		MA Healthcare Ltd	10.12968/bjom	mag:bjom		0969-4900	2052-4307		Journal	Article	2020	Controlled	Regular	No_License	1	1	0
British Journal of Nursing	Mark Allen Group		MA Healthcare Ltd	10.12968/bjon	mag:bjon		0966-0461	2052-2819		Journal	Article	1996	Controlled	Regular	No_License	1	1	0
British Journal of Nursing	Mark Allen Group		MA Healthcare Ltd	10.12968/bjon	mag:bjon		0966-0461	2052-2819		Journal	Article	1996	Controlled	Regular	Unique_Item_Investigations	1	1	0
British Journal of Nursing	Mark Allen Group		MA Healthcare Ltd	10.12968/bjon	mag:bjon		0966-0461	2052-2819		Journal	Article	1996	Controlled	Regular	Total_Item_Investigations	1	1	0
