Report_Name	Journal Requests (Excluding OA_Gold)
Report_ID	TR_J1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	mag:279322
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T05:49:26Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
British Journal of Nursing	Mark Allen Group		MA Healthcare Ltd	10.12968/bjon	mag:bjon	0966-0461	2052-2819		Unique_Item_Requests	1	1	0
British Journal of Nursing	Mark Allen Group		MA Healthcare Ltd	10.12968/bjon	mag:bjon	0966-0461	2052-2819		Total_Item_Requests	1	1	0
The Veterinary Nurse	Mark Allen Group		MA Healthcare Ltd	10.12968/vetn	mag:vetn	2044-0065	2052-2959		Unique_Item_Requests	1	1	0
The Veterinary Nurse	Mark Allen Group		MA Healthcare Ltd	10.12968/vetn	mag:vetn	2044-0065	2052-2959		Total_Item_Requests	3	3	0
UK-Vet Equine	Mark Allen Group		MA Healthcare Ltd	10.12968/ukve	mag:ukve	2516-0583	2516-0591		Unique_Item_Requests	1	1	0
UK-Vet Equine	Mark Allen Group		MA Healthcare Ltd	10.12968/ukve	mag:ukve	2516-0583	2516-0591		Total_Item_Requests	1	1	0
