Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	mal:8252134
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Section_Type|Access_Type|Access_Method|YOP
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T05:50:37Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Data_Type	Section_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Advances in Wound Care	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/wound	mal:wound		2162-1918	2162-1934		Journal	Article	2014	Controlled	Regular	Unique_Item_Investigations	1	1	0
Advances in Wound Care	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/wound	mal:wound		2162-1918	2162-1934		Journal	Article	2014	Controlled	Regular	Total_Item_Requests	1	1	0
Advances in Wound Care	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/wound	mal:wound		2162-1918	2162-1934		Journal	Article	2014	Controlled	Regular	Total_Item_Investigations	1	1	0
Advances in Wound Care	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/wound	mal:wound		2162-1918	2162-1934		Journal	Article	2014	Controlled	Regular	Unique_Item_Requests	1	1	0
Antioxidants & Redox Signaling	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/ars.4	mal:ars		1523-0864	1557-7716		Journal	Article	2006	Controlled	Regular	No_License	1	1	0
Antioxidants & Redox Signaling	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/ars.4	mal:ars		1523-0864	1557-7716		Journal	Article	2006	Controlled	Regular	Unique_Item_Investigations	2	2	0
Antioxidants & Redox Signaling	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/ars.4	mal:ars		1523-0864	1557-7716		Journal	Article	2006	Controlled	Regular	Total_Item_Investigations	3	3	0
Applied Biosafety	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/apb	mal:apb		1535-6760	2470-1246		Journal	Article	9999	Controlled	Regular	Unique_Item_Investigations	1	1	0
Applied Biosafety	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/apb	mal:apb		1535-6760	2470-1246		Journal	Article	9999	Controlled	Regular	Total_Item_Requests	1	1	0
Applied Biosafety	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/apb	mal:apb		1535-6760	2470-1246		Journal	Article	9999	Controlled	Regular	Total_Item_Investigations	1	1	0
Applied Biosafety	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/apb	mal:apb		1535-6760	2470-1246		Journal	Article	9999	Controlled	Regular	Unique_Item_Requests	1	1	0
Autism in Adulthood	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/aut	mal:aut		2573-9581	2573-959X		Journal	Article	2021	OA_Gold	Regular	Unique_Item_Investigations	3	3	0
Autism in Adulthood	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/aut	mal:aut		2573-9581	2573-959X		Journal	Article	2021	OA_Gold	Regular	Total_Item_Requests	5	5	0
Autism in Adulthood	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/aut	mal:aut		2573-9581	2573-959X		Journal	Article	2021	OA_Gold	Regular	Total_Item_Investigations	5	5	0
Autism in Adulthood	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/aut	mal:aut		2573-9581	2573-959X		Journal	Article	2021	OA_Gold	Regular	Unique_Item_Requests	3	3	0
Bioelectricity	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/bioe	mal:bioe		2576-3105	2576-3113		Journal	Article	9999	Controlled	Regular	Unique_Item_Investigations	1	1	0
Bioelectricity	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/bioe	mal:bioe		2576-3105	2576-3113		Journal	Article	9999	Controlled	Regular	Total_Item_Investigations	1	1	0
Brain Connectivity	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/brain	mal:brain		2158-0014	2158-0022		Journal	Article	2013	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
Brain Connectivity	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/brain	mal:brain		2158-0014	2158-0022		Journal	Article	2013	OA_Gold	Regular	Total_Item_Requests	1	1	0
Brain Connectivity	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/brain	mal:brain		2158-0014	2158-0022		Journal	Article	2013	OA_Gold	Regular	Total_Item_Investigations	1	1	0
Brain Connectivity	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/brain	mal:brain		2158-0014	2158-0022		Journal	Article	2013	OA_Gold	Regular	Unique_Item_Requests	1	1	0
Cannabis and Cannabinoid Research	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/can	mal:can		2578-5125	2378-8763		Journal	Article	2023	Controlled	Regular	Unique_Item_Investigations	1	1	0
Cannabis and Cannabinoid Research	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/can	mal:can		2578-5125	2378-8763		Journal	Article	2023	Controlled	Regular	Total_Item_Requests	1	1	0
Cannabis and Cannabinoid Research	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/can	mal:can		2578-5125	2378-8763		Journal	Article	2023	Controlled	Regular	Total_Item_Investigations	1	1	0
Cannabis and Cannabinoid Research	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/can	mal:can		2578-5125	2378-8763		Journal	Article	2023	Controlled	Regular	Unique_Item_Requests	1	1	0
Childhood Obesity	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/chi	mal:chi		2153-2168	2153-2176		Journal	Article	9999	Controlled	Regular	No_License	1	1	0
Childhood Obesity	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/chi	mal:chi		2153-2168	2153-2176		Journal	Article	9999	Controlled	Regular	Unique_Item_Investigations	1	1	0
Childhood Obesity	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/chi	mal:chi		2153-2168	2153-2176		Journal	Article	9999	Controlled	Regular	Total_Item_Investigations	1	1	0
Cyberpsychology, Behavior, and Social Networking	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/cyber	mal:cyber		2152-2715	2152-2723		Journal	Article	2020	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
Cyberpsychology, Behavior, and Social Networking	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/cyber	mal:cyber		2152-2715	2152-2723		Journal	Article	2020	OA_Gold	Regular	Total_Item_Requests	1	1	0
Cyberpsychology, Behavior, and Social Networking	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/cyber	mal:cyber		2152-2715	2152-2723		Journal	Article	2020	OA_Gold	Regular	Total_Item_Investigations	1	1	0
Cyberpsychology, Behavior, and Social Networking	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/cyber	mal:cyber		2152-2715	2152-2723		Journal	Article	2020	OA_Gold	Regular	Unique_Item_Requests	1	1	0
Health Security	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/hs	mal:hs		2326-5094	2326-5108		Journal	Article	2021	Controlled	Regular	Unique_Item_Investigations	2	2	0
Health Security	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/hs	mal:hs		2326-5094	2326-5108		Journal	Article	2021	Controlled	Regular	Total_Item_Investigations	2	2	0
Journal of Adolescent and Young Adult Oncology	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/jayao	mal:jayao		2156-5333	2156-535X		Journal	Article	2023	Controlled	Regular	No_License	2	2	0
Journal of Adolescent and Young Adult Oncology	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/jayao	mal:jayao		2156-5333	2156-535X		Journal	Article	2023	Controlled	Regular	Unique_Item_Investigations	3	3	0
Journal of Adolescent and Young Adult Oncology	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/jayao	mal:jayao		2156-5333	2156-535X		Journal	Article	2023	Controlled	Regular	Total_Item_Investigations	3	3	0
Journal of Child and Adolescent Psychopharmacology	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/cap.29	mal:cap		1044-5463	1557-8992		Journal	Article	2002	Controlled	Regular	Unique_Item_Investigations	1	1	0
Journal of Child and Adolescent Psychopharmacology	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/cap.29	mal:cap		1044-5463	1557-8992		Journal	Article	2002	Controlled	Regular	Total_Item_Investigations	1	1	0
Journal of Palliative Medicine	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/jpm.39	mal:jpm		1096-6218	1557-7740		Journal	Article	2023	Controlled	Regular	No_License	1	1	0
Journal of Palliative Medicine	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/jpm.39	mal:jpm		1096-6218	1557-7740		Journal	Article	2023	Controlled	Regular	Unique_Item_Investigations	2	2	0
Journal of Palliative Medicine	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/jpm.39	mal:jpm		1096-6218	1557-7740		Journal	Article	2023	Controlled	Regular	Total_Item_Investigations	2	2	0
LGBT Health	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/lgbt	mal:lgbt		2325-8292	2325-8306		Journal	Article	2020	Controlled	Regular	Unique_Item_Investigations	1	1	0
LGBT Health	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/lgbt	mal:lgbt		2325-8292	2325-8306		Journal	Article	2020	Controlled	Regular	Total_Item_Investigations	1	1	0
LGBT Health	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/lgbt	mal:lgbt		2325-8292	2325-8306		Journal	Article	2022	Controlled	Regular	No_License	1	1	0
LGBT Health	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/lgbt	mal:lgbt		2325-8292	2325-8306		Journal	Article	2022	Controlled	Regular	Unique_Item_Investigations	1	1	0
LGBT Health	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/lgbt	mal:lgbt		2325-8292	2325-8306		Journal	Article	2022	Controlled	Regular	Total_Item_Investigations	1	1	0
Metabolic Syndrome and Related Disorders	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/met.43	mal:met		1540-4196	1557-8518		Journal	Article	2018	Controlled	Regular	No_License	1	1	0
Metabolic Syndrome and Related Disorders	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/met.43	mal:met		1540-4196	1557-8518		Journal	Article	2018	Controlled	Regular	Unique_Item_Investigations	1	1	0
