Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	mms:000102063747
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Section_Type|Access_Type|Access_Method|YOP
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T05:52:15Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Data_Type	Section_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	1980	Controlled	Regular	Unique_Item_Investigations	1	1	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	1980	Controlled	Regular	Total_Item_Investigations	1	1	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	1980	Controlled	Regular	No_License	1	1	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	1982	Controlled	Regular	Unique_Item_Investigations	1	1	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	1982	Controlled	Regular	Total_Item_Investigations	1	1	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	1982	Controlled	Regular	No_License	1	1	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	1988	Controlled	Regular	Unique_Item_Investigations	1	1	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	1988	Controlled	Regular	Total_Item_Investigations	2	2	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	1988	Controlled	Regular	No_License	2	2	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2002	Controlled	Regular	Unique_Item_Investigations	1	1	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2002	Controlled	Regular	Unique_Item_Requests	1	1	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2002	Controlled	Regular	Total_Item_Investigations	1	1	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2002	Controlled	Regular	Total_Item_Requests	1	1	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2003	Controlled	Regular	Unique_Item_Investigations	2	2	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2003	Controlled	Regular	Unique_Item_Requests	2	2	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2003	Controlled	Regular	Total_Item_Investigations	4	4	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2003	Controlled	Regular	Total_Item_Requests	4	4	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2005	Controlled	Regular	Unique_Item_Investigations	1	1	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2005	Controlled	Regular	Unique_Item_Requests	1	1	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2005	Controlled	Regular	Total_Item_Investigations	1	1	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2005	Controlled	Regular	Total_Item_Requests	1	1	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2007	Controlled	Regular	Unique_Item_Investigations	3	3	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2007	Controlled	Regular	Unique_Item_Requests	3	3	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2007	Controlled	Regular	Total_Item_Investigations	6	6	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2007	Controlled	Regular	Total_Item_Requests	6	6	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2010	Controlled	Regular	Unique_Item_Investigations	2	2	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2010	Controlled	Regular	Unique_Item_Requests	2	2	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2010	Controlled	Regular	Total_Item_Investigations	3	3	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2010	Controlled	Regular	Total_Item_Requests	3	3	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2013	Controlled	Regular	Unique_Item_Investigations	1	1	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2013	Controlled	Regular	Unique_Item_Requests	1	1	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2013	Controlled	Regular	Total_Item_Investigations	1	1	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2013	Controlled	Regular	Total_Item_Requests	1	1	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2018	Controlled	Regular	Unique_Item_Investigations	3	3	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2018	Controlled	Regular	Unique_Item_Requests	3	3	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2018	Controlled	Regular	Total_Item_Investigations	5	5	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2018	Controlled	Regular	Total_Item_Requests	5	5	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2019	Controlled	Regular	Unique_Item_Investigations	3	3	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2019	Controlled	Regular	Unique_Item_Requests	3	3	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2019	Controlled	Regular	Total_Item_Investigations	3	3	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2019	Controlled	Regular	Total_Item_Requests	3	3	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2022	Controlled	Regular	Unique_Item_Investigations	2	2	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2022	Controlled	Regular	Unique_Item_Requests	2	2	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2022	Controlled	Regular	Total_Item_Investigations	2	2	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2022	Controlled	Regular	Total_Item_Requests	2	2	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2023	Controlled	Regular	Unique_Item_Investigations	3	3	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2023	Controlled	Regular	Unique_Item_Requests	3	3	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2023	Controlled	Regular	Total_Item_Investigations	3	3	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2023	Controlled	Regular	Total_Item_Requests	3	3	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2024	Controlled	Regular	Unique_Item_Investigations	35	35	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2024	Controlled	Regular	Unique_Item_Requests	35	35	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2024	Controlled	Regular	Total_Item_Investigations	46	46	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	2024	Controlled	Regular	Total_Item_Requests	46	46	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	9999	Controlled	Regular	Unique_Item_Investigations	3	3	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	9999	Controlled	Regular	Unique_Item_Requests	3	3	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	9999	Controlled	Regular	Total_Item_Investigations	4	4	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm		0028-4793	1533-4406		Journal	Article	9999	Controlled	Regular	Total_Item_Requests	4	4	0
