Report_Name	Database Master Report
Report_ID	DR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	
Metric_Types	
Report_Filters	Access_Method=Regular
Report_Attributes	Attributes_To_Show=Data_Type|Access_Method
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T08:51:53Z
Created_By	NewsBank Inc.

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Full-Text News	Various Publishers		NewsBank		Database	Regular	Searches_Regular	104	104	0
Full-Text News	Various Publishers		NewsBank		Newspaper_or_Newsletter	Regular	Total_Item_Requests	156	156	0
Full-Text News	Various Publishers		NewsBank		Newspaper_or_Newsletter	Regular	Unique_Item_Requests	140	140	0
Full-Text News	Various Publishers		NewsBank		Newspaper_or_Newsletter	Regular	Total_Item_Investigations	228	228	0
Full-Text News	Various Publishers		NewsBank		Newspaper_or_Newsletter	Regular	Unique_Item_Investigations	211	211	0
Full-Text News	Various Publishers		NewsBank		Database	Regular	Searches_Regular	421	0	421
Full-Text News	Various Publishers		NewsBank		Newspaper_or_Newsletter	Regular	Total_Item_Requests	147	0	147
Full-Text News	Various Publishers		NewsBank		Newspaper_or_Newsletter	Regular	Unique_Item_Requests	120	0	120
Full-Text News	Various Publishers		NewsBank		Newspaper_or_Newsletter	Regular	Total_Item_Investigations	286	0	286
Full-Text News	Various Publishers		NewsBank		Newspaper_or_Newsletter	Regular	Unique_Item_Investigations	242	0	242
