Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	"""UNIV OF PRINCE EDWARD ISLAND, ROBERTSON LIBRARY"""
Institution_ID	pnas:PR447048
Metric_Types	
Report_Filters	
Report_Attributes	Include_Parent_Details=True; Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2021-10-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T05:52:56Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Cdk5-derived peptide inhibits Cdk5/p25 activity and improves neurodegenerative phenotypes	Proceedings of the National Academy of Sciences		pnas	Anjanet Loon, Audrey Lee, Bradford C. Dickerson, Debasis Patnaik, Diane E. Lucente, James F. Gusella, Jay Penney, Jinsoo Seo, Li-Huei Tsai, M. Catarina Silva, Margaret X. Yu, Melody Yu, Michael Bula, Oleg Kritskiy, Ping-Chieh Pao, Ravikiran M. Raju, Stephen J. Haggarty, Ute Geigenmuller; 	2023-04-12	VoR	10.1073/pnas.2217864120						Proceedings of the National Academy of Sciences				Journal	10.1073/eissn.1091-6490	pnas:pnas		0027-8424	1091-6490												Article	2023	Controlled	Regular	Unique_Item_Investigations	4	4	0
A Cdk5-derived peptide inhibits Cdk5/p25 activity and improves neurodegenerative phenotypes	Proceedings of the National Academy of Sciences		pnas	Anjanet Loon, Audrey Lee, Bradford C. Dickerson, Debasis Patnaik, Diane E. Lucente, James F. Gusella, Jay Penney, Jinsoo Seo, Li-Huei Tsai, M. Catarina Silva, Margaret X. Yu, Melody Yu, Michael Bula, Oleg Kritskiy, Ping-Chieh Pao, Ravikiran M. Raju, Stephen J. Haggarty, Ute Geigenmuller; 	2023-04-12	VoR	10.1073/pnas.2217864120						Proceedings of the National Academy of Sciences				Journal	10.1073/eissn.1091-6490	pnas:pnas		0027-8424	1091-6490												Article	2023	Controlled	Regular	Total_Item_Requests	5	5	0
A Cdk5-derived peptide inhibits Cdk5/p25 activity and improves neurodegenerative phenotypes	Proceedings of the National Academy of Sciences		pnas	Anjanet Loon, Audrey Lee, Bradford C. Dickerson, Debasis Patnaik, Diane E. Lucente, James F. Gusella, Jay Penney, Jinsoo Seo, Li-Huei Tsai, M. Catarina Silva, Margaret X. Yu, Melody Yu, Michael Bula, Oleg Kritskiy, Ping-Chieh Pao, Ravikiran M. Raju, Stephen J. Haggarty, Ute Geigenmuller; 	2023-04-12	VoR	10.1073/pnas.2217864120						Proceedings of the National Academy of Sciences				Journal	10.1073/eissn.1091-6490	pnas:pnas		0027-8424	1091-6490												Article	2023	Controlled	Regular	Total_Item_Investigations	6	6	0
A Cdk5-derived peptide inhibits Cdk5/p25 activity and improves neurodegenerative phenotypes	Proceedings of the National Academy of Sciences		pnas	Anjanet Loon, Audrey Lee, Bradford C. Dickerson, Debasis Patnaik, Diane E. Lucente, James F. Gusella, Jay Penney, Jinsoo Seo, Li-Huei Tsai, M. Catarina Silva, Margaret X. Yu, Melody Yu, Michael Bula, Oleg Kritskiy, Ping-Chieh Pao, Ravikiran M. Raju, Stephen J. Haggarty, Ute Geigenmuller; 	2023-04-12	VoR	10.1073/pnas.2217864120						Proceedings of the National Academy of Sciences				Journal	10.1073/eissn.1091-6490	pnas:pnas		0027-8424	1091-6490												Article	2023	Controlled	Regular	Unique_Item_Requests	4	4	0
Active learning increases student performance in science, engineering, and mathematics	Proceedings of the National Academy of Sciences		pnas	Hannah Jordt, Mary Pat Wenderoth, Miles McDonough, Nnadozie Okoroafor, Scott Freeman, Michelle K. Smith, Sarah L. Eddy; 	2014-05-12	VoR	10.1073/pnas.1319030111						Proceedings of the National Academy of Sciences				Journal	10.1073/eissn.1091-6490	pnas:pnas		0027-8424	1091-6490												Article	2014	OA_Gold	Regular	Unique_Item_Investigations	2	2	0
Active learning increases student performance in science, engineering, and mathematics	Proceedings of the National Academy of Sciences		pnas	Hannah Jordt, Mary Pat Wenderoth, Miles McDonough, Nnadozie Okoroafor, Scott Freeman, Michelle K. Smith, Sarah L. Eddy; 	2014-05-12	VoR	10.1073/pnas.1319030111						Proceedings of the National Academy of Sciences				Journal	10.1073/eissn.1091-6490	pnas:pnas		0027-8424	1091-6490												Article	2014	OA_Gold	Regular	Total_Item_Requests	2	2	0
Active learning increases student performance in science, engineering, and mathematics	Proceedings of the National Academy of Sciences		pnas	Hannah Jordt, Mary Pat Wenderoth, Miles McDonough, Nnadozie Okoroafor, Scott Freeman, Michelle K. Smith, Sarah L. Eddy; 	2014-05-12	VoR	10.1073/pnas.1319030111						Proceedings of the National Academy of Sciences				Journal	10.1073/eissn.1091-6490	pnas:pnas		0027-8424	1091-6490												Article	2014	OA_Gold	Regular	Total_Item_Investigations	2	2	0
Active learning increases student performance in science, engineering, and mathematics	Proceedings of the National Academy of Sciences		pnas	Hannah Jordt, Mary Pat Wenderoth, Miles McDonough, Nnadozie Okoroafor, Scott Freeman, Michelle K. Smith, Sarah L. Eddy; 	2014-05-12	VoR	10.1073/pnas.1319030111						Proceedings of the National Academy of Sciences				Journal	10.1073/eissn.1091-6490	pnas:pnas		0027-8424	1091-6490												Article	2014	OA_Gold	Regular	Unique_Item_Requests	2	2	0
Activity-dependent gene regulation in skeletal muscle is mediated by a histone deacetylase (HDAC)-Dach2-myogenin signal transduction cascade	Proceedings of the National Academy of Sciences		pnas	Daniel Goldman, Huibin Tang; 	2006-11-07	VoR	10.1073/pnas.0601565103						Proceedings of the National Academy of Sciences				Journal	10.1073/eissn.1091-6490	pnas:pnas		0027-8424	1091-6490												Article	2006	Controlled	Regular	Unique_Item_Investigations	1	1	0
Activity-dependent gene regulation in skeletal muscle is mediated by a histone deacetylase (HDAC)-Dach2-myogenin signal transduction cascade	Proceedings of the National Academy of Sciences		pnas	Daniel Goldman, Huibin Tang; 	2006-11-07	VoR	10.1073/pnas.0601565103						Proceedings of the National Academy of Sciences				Journal	10.1073/eissn.1091-6490	pnas:pnas		0027-8424	1091-6490												Article	2006	Controlled	Regular	Total_Item_Requests	1	1	0
