Report_Name	Database Access Denied
Report_ID	DR_D2
Release	5
Institution_Name	Prince Edward Island , Univ. of
Institution_ID	MUSE:institution16692
Metric_Types	Limit_Exceeded; No_License
Report_Filters	Access_Method=Regular
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Invalid date range -- too recent)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T08:52:39Z
Created_By	Project MUSE

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
