Report_Name	Platform Usage
Report_ID	PR_P1
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	EBC:upei
Metric_Types	Searches_Platform; Total_Item_Requests; Unique_Item_Requests; Unique_Title_Requests
Report_Filters	Platform=ProQuest Ebook Central; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:53:46Z
Created_By	ProQuest Ebook Central

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
ProQuest Ebook Central	Searches_Platform	554	287	267
ProQuest Ebook Central	Total_Item_Requests	6821	3502	3319
ProQuest Ebook Central	Unique_Item_Requests	1501	882	619
ProQuest Ebook Central	Unique_Title_Requests	1172	649	523
