Report_Name	Book Usage by Access Type
Report_ID	TR_B3
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	EBC:upei
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests; Unique_Title_Investigations; Unique_Title_Requests
Report_Filters	Platform=ProQuest Ebook Central; Access_Method=Regular; Data_Type=Book
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:54:01Z
Created_By	ProQuest Ebook Central

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
			ProQuest Ebook Central		EBC:10064348					0001	Controlled	Total_Item_Investigations	1	1	0
			ProQuest Ebook Central		EBC:10064348					0001	Controlled	Unique_Item_Investigations	1	1	0
			ProQuest Ebook Central		EBC:10064348					0001	Controlled	Unique_Title_Investigations	1	1	0
			ProQuest Ebook Central		EBC:10064348					0001	Controlled	Total_Item_Investigations	1	0	1
			ProQuest Ebook Central		EBC:10064348					0001	Controlled	Unique_Item_Investigations	1	0	1
			ProQuest Ebook Central		EBC:10064348					0001	Controlled	Unique_Title_Investigations	1	0	1
A Concise Manual of Pathogenic Microbiology	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:918261	978-1-118-30119-7				2012	Controlled	Total_Item_Investigations	3	0	3
A Concise Manual of Pathogenic Microbiology	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:918261	978-1-118-30119-7				2012	Controlled	Total_Item_Requests	2	0	2
A Concise Manual of Pathogenic Microbiology	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:918261	978-1-118-30119-7				2012	Controlled	Unique_Item_Investigations	1	0	1
A Concise Manual of Pathogenic Microbiology	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:918261	978-1-118-30119-7				2012	Controlled	Unique_Item_Requests	1	0	1
A Concise Manual of Pathogenic Microbiology	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:918261	978-1-118-30119-7				2012	Controlled	Unique_Title_Investigations	1	0	1
A Concise Manual of Pathogenic Microbiology	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:918261	978-1-118-30119-7				2012	Controlled	Unique_Title_Requests	1	0	1
A Dictionary of Nursing	Oxford University Press USA - OSO		ProQuest Ebook Central		EBC:5825872	978-0-19-878845-4				2017	Controlled	Total_Item_Investigations	5	5	0
A Dictionary of Nursing	Oxford University Press USA - OSO		ProQuest Ebook Central		EBC:5825872	978-0-19-878845-4				2017	Controlled	Total_Item_Requests	3	3	0
A Dictionary of Nursing	Oxford University Press USA - OSO		ProQuest Ebook Central		EBC:5825872	978-0-19-878845-4				2017	Controlled	Unique_Item_Investigations	3	3	0
A Dictionary of Nursing	Oxford University Press USA - OSO		ProQuest Ebook Central		EBC:5825872	978-0-19-878845-4				2017	Controlled	Unique_Item_Requests	3	3	0
A Dictionary of Nursing	Oxford University Press USA - OSO		ProQuest Ebook Central		EBC:5825872	978-0-19-878845-4				2017	Controlled	Unique_Title_Investigations	3	3	0
A Dictionary of Nursing	Oxford University Press USA - OSO		ProQuest Ebook Central		EBC:5825872	978-0-19-878845-4				2017	Controlled	Unique_Title_Requests	3	3	0
A Guide to Treatments That Work	Oxford University Press, Incorporated		ProQuest Ebook Central		EBC:3564597	978-0-19-934221-1				2015	Controlled	Total_Item_Investigations	1	0	1
A Guide to Treatments That Work	Oxford University Press, Incorporated		ProQuest Ebook Central		EBC:3564597	978-0-19-934221-1				2015	Controlled	Unique_Item_Investigations	1	0	1
A Guide to Treatments That Work	Oxford University Press, Incorporated		ProQuest Ebook Central		EBC:3564597	978-0-19-934221-1				2015	Controlled	Unique_Title_Investigations	1	0	1
A Pedagogy of Faith	Bloomsbury Publishing Plc		ProQuest Ebook Central		EBC:4865700	978-1-4725-7925-6				2017	Controlled	Total_Item_Investigations	1	1	0
A Pedagogy of Faith	Bloomsbury Publishing Plc		ProQuest Ebook Central		EBC:4865700	978-1-4725-7925-6				2017	Controlled	Unique_Item_Investigations	1	1	0
A Pedagogy of Faith	Bloomsbury Publishing Plc		ProQuest Ebook Central		EBC:4865700	978-1-4725-7925-6				2017	Controlled	Unique_Title_Investigations	1	1	0
A Pedagogy of Faith	Bloomsbury Publishing Plc		ProQuest Ebook Central		EBC:4865700	978-1-4725-7925-6				2017	Controlled	Total_Item_Investigations	5	0	5
A Pedagogy of Faith	Bloomsbury Publishing Plc		ProQuest Ebook Central		EBC:4865700	978-1-4725-7925-6				2017	Controlled	Total_Item_Requests	2	0	2
A Pedagogy of Faith	Bloomsbury Publishing Plc		ProQuest Ebook Central		EBC:4865700	978-1-4725-7925-6				2017	Controlled	Unique_Item_Investigations	3	0	3
A Pedagogy of Faith	Bloomsbury Publishing Plc		ProQuest Ebook Central		EBC:4865700	978-1-4725-7925-6				2017	Controlled	Unique_Item_Requests	2	0	2
A Pedagogy of Faith	Bloomsbury Publishing Plc		ProQuest Ebook Central		EBC:4865700	978-1-4725-7925-6				2017	Controlled	Unique_Title_Investigations	2	0	2
A Pedagogy of Faith	Bloomsbury Publishing Plc		ProQuest Ebook Central		EBC:4865700	978-1-4725-7925-6				2017	Controlled	Unique_Title_Requests	1	0	1
A Practical Approach to Dynamical Systems for Engineers	Elsevier Science & Technology		ProQuest Ebook Central		EBC:4178584	978-0-08-100202-5				2015	Controlled	Total_Item_Investigations	6	6	0
A Practical Approach to Dynamical Systems for Engineers	Elsevier Science & Technology		ProQuest Ebook Central		EBC:4178584	978-0-08-100202-5				2015	Controlled	Total_Item_Requests	4	4	0
A Practical Approach to Dynamical Systems for Engineers	Elsevier Science & Technology		ProQuest Ebook Central		EBC:4178584	978-0-08-100202-5				2015	Controlled	Unique_Item_Investigations	2	2	0
A Practical Approach to Dynamical Systems for Engineers	Elsevier Science & Technology		ProQuest Ebook Central		EBC:4178584	978-0-08-100202-5				2015	Controlled	Unique_Item_Requests	2	2	0
A Practical Approach to Dynamical Systems for Engineers	Elsevier Science & Technology		ProQuest Ebook Central		EBC:4178584	978-0-08-100202-5				2015	Controlled	Unique_Title_Investigations	2	2	0
A Practical Approach to Dynamical Systems for Engineers	Elsevier Science & Technology		ProQuest Ebook Central		EBC:4178584	978-0-08-100202-5				2015	Controlled	Unique_Title_Requests	2	2	0
A Practical Guide to the Histology of the Mouse	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:1584994	978-1-119-94120-0				2014	Controlled	Total_Item_Investigations	10	10	0
A Practical Guide to the Histology of the Mouse	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:1584994	978-1-119-94120-0				2014	Controlled	Total_Item_Requests	8	8	0
A Practical Guide to the Histology of the Mouse	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:1584994	978-1-119-94120-0				2014	Controlled	Unique_Item_Investigations	3	3	0
A Practical Guide to the Histology of the Mouse	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:1584994	978-1-119-94120-0				2014	Controlled	Unique_Item_Requests	3	3	0
A Practical Guide to the Histology of the Mouse	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:1584994	978-1-119-94120-0				2014	Controlled	Unique_Title_Investigations	3	3	0
A Practical Guide to the Histology of the Mouse	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:1584994	978-1-119-94120-0				2014	Controlled	Unique_Title_Requests	3	3	0
