Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	ProQuest:14670
Metric_Types	
Report_Filters	Platform=ProQuest
Report_Attributes	Attributes_To_Show=Data_Type|Access_Method
Exceptions	3040: Partial Data Returned. (Usage data has not been processed for all requested months.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:53:16Z
Created_By	ProQuest

Platform	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
ProQuest	Book	Regular	Total_Item_Investigations	3	1	2
ProQuest	Book	Regular	Unique_Item_Investigations	2	1	1
ProQuest	Book	Regular	Unique_Title_Investigations	2	1	1
ProQuest	Journal	Regular	Total_Item_Investigations	400	162	238
ProQuest	Journal	Regular	Total_Item_Requests	346	132	214
ProQuest	Journal	Regular	Unique_Item_Investigations	283	124	159
ProQuest	Journal	Regular	Unique_Item_Requests	241	100	141
ProQuest	Newspaper_or_Newsletter	Regular	Total_Item_Investigations	36	20	16
ProQuest	Newspaper_or_Newsletter	Regular	Total_Item_Requests	32	17	15
ProQuest	Newspaper_or_Newsletter	Regular	Unique_Item_Investigations	27	17	10
ProQuest	Newspaper_or_Newsletter	Regular	Unique_Item_Requests	24	15	9
ProQuest	Other	Regular	Total_Item_Investigations	24	10	14
ProQuest	Other	Regular	Total_Item_Requests	21	9	12
ProQuest	Other	Regular	Unique_Item_Investigations	17	9	8
ProQuest	Other	Regular	Unique_Item_Requests	17	9	8
ProQuest	Platform	Regular	Searches_Platform	295	189	106
ProQuest	Report	Regular	Total_Item_Investigations	1	1	0
ProQuest	Report	Regular	Total_Item_Requests	1	1	0
ProQuest	Report	Regular	Unique_Item_Investigations	1	1	0
ProQuest	Report	Regular	Unique_Item_Requests	1	1	0
ProQuest	Thesis_or_Dissertation	Regular	Total_Item_Investigations	26	5	21
ProQuest	Thesis_or_Dissertation	Regular	Total_Item_Requests	14	3	11
ProQuest	Thesis_or_Dissertation	Regular	Unique_Item_Investigations	21	4	17
ProQuest	Thesis_or_Dissertation	Regular	Unique_Item_Requests	13	3	10
