Report_Name	Platform Usage
Report_ID	PR_P1
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	ProQuest:14670
Metric_Types	Searches_Platform; Total_Item_Requests; Unique_Item_Requests; Unique_Title_Requests
Report_Filters	Platform=ProQuest; Access_Method=Regular
Report_Attributes	
Exceptions	3040: Partial Data Returned. (Usage data has not been processed for all requested months.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:53:18Z
Created_By	ProQuest

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
ProQuest	Searches_Platform	295	189	106
ProQuest	Total_Item_Requests	414	162	252
ProQuest	Unique_Item_Requests	296	128	168
