Report_Name	Book Usage by Access Type
Report_ID	TR_B3
Release	5
Institution_Name	ProQuest:UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	ProQuest:14670
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests; Unique_Title_Investigations; Unique_Title_Requests
Report_Filters	Platform=ProQuest; Data_Type=Book; Access_Method=Regular
Report_Attributes	
Exceptions	3040: Partial Data Returned. (Usage data has not been processed for all requested months.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:54:34Z
Created_By	ProQuest

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
EEBO Burke Library  Union Theological Seminary records	ChadwyckHealey Title Bucket		ProQuest		ProQuest:3935945					1652	Controlled	Total_Item_Investigations	1	1	0
EEBO Burke Library  Union Theological Seminary records	ChadwyckHealey Title Bucket		ProQuest		ProQuest:3935945					1652	Controlled	Unique_Item_Investigations	1	1	0
EEBO Burke Library  Union Theological Seminary records	ChadwyckHealey Title Bucket		ProQuest		ProQuest:3935945					1652	Controlled	Unique_Title_Investigations	1	1	0
Silenced	ChadwyckHealey Title Bucket		ProQuest		ProQuest:4477191	978-0-929813-73-8				1983	Controlled	Total_Item_Investigations	2	0	2
Silenced	ChadwyckHealey Title Bucket		ProQuest		ProQuest:4477191	978-0-929813-73-8				1983	Controlled	Unique_Item_Investigations	1	0	1
Silenced	ChadwyckHealey Title Bucket		ProQuest		ProQuest:4477191	978-0-929813-73-8				1983	Controlled	Unique_Title_Investigations	1	0	1
