Report_Name	Journal Usage by Access Type
Report_ID	TR_J3
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	ProQuest:14670
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Platform=ProQuest; Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	3040: Partial Data Returned. (Usage data has not been processed for all requested months.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:54:57Z
Created_By	ProQuest

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Adolescence	Libra Publishers Inc		ProQuest		ProQuest:1819054	0001-8449			Controlled	Total_Item_Investigations	1	0	1
Adolescence	Libra Publishers Inc		ProQuest		ProQuest:1819054	0001-8449			Controlled	Total_Item_Requests	1	0	1
Adolescence	Libra Publishers Inc		ProQuest		ProQuest:1819054	0001-8449			Controlled	Unique_Item_Investigations	1	0	1
Adolescence	Libra Publishers Inc		ProQuest		ProQuest:1819054	0001-8449			Controlled	Unique_Item_Requests	1	0	1
Agriculture & Food Security	BioMed Central		ProQuest		ProQuest:2040176		2048-7010		OA_Gold	Total_Item_Investigations	1	0	1
Agriculture & Food Security	BioMed Central		ProQuest		ProQuest:2040176		2048-7010		OA_Gold	Total_Item_Requests	1	0	1
Agriculture & Food Security	BioMed Central		ProQuest		ProQuest:2040176		2048-7010		OA_Gold	Unique_Item_Investigations	1	0	1
Agriculture & Food Security	BioMed Central		ProQuest		ProQuest:2040176		2048-7010		OA_Gold	Unique_Item_Requests	1	0	1
Alternatives Journal	Alternatives Media Inc		ProQuest		ProQuest:35934	1205-7398			Controlled	Total_Item_Investigations	1	0	1
Alternatives Journal	Alternatives Media Inc		ProQuest		ProQuest:35934	1205-7398			Controlled	Total_Item_Requests	1	0	1
Alternatives Journal	Alternatives Media Inc		ProQuest		ProQuest:35934	1205-7398			Controlled	Unique_Item_Investigations	1	0	1
Alternatives Journal	Alternatives Media Inc		ProQuest		ProQuest:35934	1205-7398			Controlled	Unique_Item_Requests	1	0	1
Anthropologica	Canadian Anthropology Society		ProQuest		ProQuest:46875	0003-5459	2292-3586		Controlled	Total_Item_Investigations	4	4	0
Anthropologica	Canadian Anthropology Society		ProQuest		ProQuest:46875	0003-5459	2292-3586		Controlled	Total_Item_Requests	1	1	0
Anthropologica	Canadian Anthropology Society		ProQuest		ProQuest:46875	0003-5459	2292-3586		Controlled	Unique_Item_Investigations	3	3	0
Anthropologica	Canadian Anthropology Society		ProQuest		ProQuest:46875	0003-5459	2292-3586		Controlled	Unique_Item_Requests	1	1	0
Anthropological Quarterly	Institute for Ethnographic Research		ProQuest		ProQuest:1818101	0003-5491			Controlled	Total_Item_Investigations	4	2	2
Anthropological Quarterly	Institute for Ethnographic Research		ProQuest		ProQuest:1818101	0003-5491			Controlled	Total_Item_Requests	4	2	2
