Report_Name	Journal Requests by YOP (Excluding OA_Gold)
Report_ID	TR_J4
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	ProQuest:14670
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Platform=ProQuest; Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular
Report_Attributes	
Exceptions	3040: Partial Data Returned. (Usage data has not been processed for all requested months.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:55:18Z
Created_By	ProQuest

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Anthropologica	Canadian Anthropology Society		ProQuest		ProQuest:46875	0003-5459	2292-3586		2004	Total_Item_Requests	1	1	0
Anthropologica	Canadian Anthropology Society		ProQuest		ProQuest:46875	0003-5459	2292-3586		2004	Unique_Item_Requests	1	1	0
Anthropological Quarterly	Institute for Ethnographic Research		ProQuest		ProQuest:1818101	0003-5491			1995	Total_Item_Requests	2	2	0
Anthropological Quarterly	Institute for Ethnographic Research		ProQuest		ProQuest:1818101	0003-5491			1995	Unique_Item_Requests	2	2	0
Canadian Geographer	Blackwell Publishing Ltd		ProQuest		ProQuest:37554	0008-3658	1541-0064		1995	Total_Item_Requests	1	1	0
Canadian Geographer	Blackwell Publishing Ltd		ProQuest		ProQuest:37554	0008-3658	1541-0064		1995	Unique_Item_Requests	1	1	0
Canadian Issues	Association of Canadian Studies		ProQuest		ProQuest:43874	0318-8442			1999	Total_Item_Requests	1	1	0
Canadian Issues	Association of Canadian Studies		ProQuest		ProQuest:43874	0318-8442			1999	Unique_Item_Requests	1	1	0
Canadian Journal of Behavioural Science	Canadian Psychological Association		ProQuest		ProQuest:48737	0008-400X	1879-2669		2021	Total_Item_Requests	2	2	0
Canadian Journal of Behavioural Science	Canadian Psychological Association		ProQuest		ProQuest:48737	0008-400X	1879-2669		2021	Unique_Item_Requests	1	1	0
Canadian Journal of Communication	Canadian Journal of Communications Corp		ProQuest		ProQuest:47035	0705-3657	1499-6642		2023	Total_Item_Requests	2	2	0
Canadian Journal of Communication	Canadian Journal of Communications Corp		ProQuest		ProQuest:47035	0705-3657	1499-6642		2023	Unique_Item_Requests	1	1	0
Canadian Journal of Dental Hygiene	Canadian Dental Hygienists Association		ProQuest		ProQuest:39590	1712-171X	1712-1728		2020	Total_Item_Requests	4	4	0
Canadian Journal of Dental Hygiene	Canadian Dental Hygienists Association		ProQuest		ProQuest:39590	1712-171X	1712-1728		2020	Unique_Item_Requests	4	4	0
Canadian Literature	The University of British Columbia		ProQuest		ProQuest:47638	0008-4360			2007	Total_Item_Requests	1	1	0
Canadian Literature	The University of British Columbia		ProQuest		ProQuest:47638	0008-4360			2007	Unique_Item_Requests	1	1	0
Canadian Winds  The Journal of the Canadian Band Association	Canadian Band Association		ProQuest		ProQuest:54570	1703-5295			2006	Total_Item_Requests	2	2	0
Canadian Winds  The Journal of the Canadian Band Association	Canadian Band Association		ProQuest		ProQuest:54570	1703-5295			2006	Unique_Item_Requests	1	1	0
Catalyst  Feminism  Theory  Technoscience	Catalyst Feminism Theory Technoscience		ProQuest		ProQuest:2069169		2380-3312		2022	Total_Item_Requests	1	1	0
Catalyst  Feminism  Theory  Technoscience	Catalyst Feminism Theory Technoscience		ProQuest		ProQuest:2069169		2380-3312		2022	Unique_Item_Requests	1	1	0
Climatic Change	Springer Nature BV		ProQuest		ProQuest:36297	0165-0009	1573-1480		2004	Total_Item_Requests	1	1	0
Climatic Change	Springer Nature BV		ProQuest		ProQuest:36297	0165-0009	1573-1480		2004	Unique_Item_Requests	1	1	0
Environmental Conservation	Cambridge University Press		ProQuest		ProQuest:33256	0376-8929	1469-4387		2001	Total_Item_Requests	1	1	0
Environmental Conservation	Cambridge University Press		ProQuest		ProQuest:33256	0376-8929	1469-4387		2001	Unique_Item_Requests	1	1	0
FAO Aquaculture Newsletter	Food and Agriculture Organization		ProQuest		ProQuest:237326	1020-3443	1564-3468		2012	Total_Item_Requests	1	1	0
FAO Aquaculture Newsletter	Food and Agriculture Organization		ProQuest		ProQuest:237326	1020-3443	1564-3468		2012	Unique_Item_Requests	1	1	0
Global Economic Observer	Nicolae Titulescu University Editorial House		ProQuest		ProQuest:2036057	2343-9742	2343-9750		2018	Total_Item_Requests	1	1	0
Global Economic Observer	Nicolae Titulescu University Editorial House		ProQuest		ProQuest:2036057	2343-9742	2343-9750		2018	Unique_Item_Requests	1	1	0
Great Plains Quarterly	Center for Great Plains Studies		ProQuest		ProQuest:105990	0275-7664	2333-5092		2011	Total_Item_Requests	1	1	0
Great Plains Quarterly	Center for Great Plains Studies		ProQuest		ProQuest:105990	0275-7664	2333-5092		2011	Unique_Item_Requests	1	1	0
Herpetological Review	Society for the Study of Amphibians and		ProQuest		ProQuest:33457	0018-084X			1999	Total_Item_Requests	1	1	0
Herpetological Review	Society for the Study of Amphibians and		ProQuest		ProQuest:33457	0018-084X			1999	Unique_Item_Requests	1	1	0
Hydrogeology Journal	Springer Nature BV		ProQuest		ProQuest:55405	1431-2174	1435-0157		2019	Total_Item_Requests	2	2	0
Hydrogeology Journal	Springer Nature BV		ProQuest		ProQuest:55405	1431-2174	1435-0157		2019	Unique_Item_Requests	1	1	0
Information  Technology Law	HAB Press Limited		ProQuest		ProQuest:29018	1205-4577			2004	Total_Item_Requests	1	1	0
Information  Technology Law	HAB Press Limited		ProQuest		ProQuest:29018	1205-4577			2004	Unique_Item_Requests	1	1	0
International Journal	Sage Publications Ltd		ProQuest		ProQuest:40991	0020-7020	2052-465X		2011	Total_Item_Requests	1	1	0
International Journal	Sage Publications Ltd		ProQuest		ProQuest:40991	0020-7020	2052-465X		2011	Unique_Item_Requests	1	1	0
Journal of Asian Studies	Duke University Press		ProQuest		ProQuest:1817327	0021-9118			1988	Total_Item_Requests	1	1	0
Journal of Asian Studies	Duke University Press		ProQuest		ProQuest:1817327	0021-9118			1988	Unique_Item_Requests	1	1	0
Journal of Contemporary Ethnography	Sage Publications Inc		ProQuest		ProQuest:1821467	0891-2416			1995	Total_Item_Requests	3	3	0
Journal of Contemporary Ethnography	Sage Publications Inc		ProQuest		ProQuest:1821467	0891-2416			1995	Unique_Item_Requests	2	2	0
Journal of Environmental Law and Practice	HAB Press Limited		ProQuest		ProQuest:28151	1181-7534			2019	Total_Item_Requests	2	2	0
Journal of Environmental Law and Practice	HAB Press Limited		ProQuest		ProQuest:28151	1181-7534			2019	Unique_Item_Requests	1	1	0
Journal of Individual Psychology	University of Texas at Austin		ProQuest		ProQuest:1816607	0022-1805			1949	Total_Item_Requests	1	1	0
Journal of Individual Psychology	University of Texas at Austin		ProQuest		ProQuest:1816607	0022-1805			1949	Unique_Item_Requests	1	1	0
Journal of Religion and Popular Culture	University of Toronto Press		ProQuest		ProQuest:28461		1703-289X		2009	Total_Item_Requests	1	1	0
Journal of Religion and Popular Culture	University of Toronto Press		ProQuest		ProQuest:28461		1703-289X		2009	Unique_Item_Requests	1	1	0
Journal of Religion and Popular Culture	University of Toronto Press		ProQuest		ProQuest:28461		1703-289X		2010	Total_Item_Requests	1	1	0
Journal of Religion and Popular Culture	University of Toronto Press		ProQuest		ProQuest:28461		1703-289X		2010	Unique_Item_Requests	1	1	0
Marketing	Brunico Communications Inc		ProQuest		ProQuest:42609	1196-4650			2000	Total_Item_Requests	1	1	0
Marketing	Brunico Communications Inc		ProQuest		ProQuest:42609	1196-4650			2000	Unique_Item_Requests	1	1	0
