Report_Name	Journal Article Requests
Report_ID	IR_A1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	app:297459
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Data_Type=Article; Parent_Data_Type=Journal
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T05:55:03Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Article_Version	Parent_DOI	Parent_Proprietary_ID	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
An Answer to “So What?” Implications of Network Theory for Research and Practice	American Psychiatric Publishing		American Psychiatric Publishing	Donald R. Robinaugh, Payton J. Jones; 	2021-06-17	VoR	10.1176/appi.focus.20200050					FOCUS			10.1176/foc	app:foc	1541-4094	1541-4108		Controlled	Unique_Item_Requests	1	1	0
An Answer to “So What?” Implications of Network Theory for Research and Practice	American Psychiatric Publishing		American Psychiatric Publishing	Donald R. Robinaugh, Payton J. Jones; 	2021-06-17	VoR	10.1176/appi.focus.20200050					FOCUS			10.1176/foc	app:foc	1541-4094	1541-4108		Controlled	Total_Item_Requests	1	1	0
Celebrating the “B” in “DEIBA”	American Psychiatric Publishing		American Psychiatric Publishing	Petros Levounis; 	2024-01-18	VoR	10.1176/appi.pn.2024.02.2.28					Psychiatric News			10.1176/pn	app:pn	0033-2704	1559-1255		Controlled	Unique_Item_Requests	4	4	0
Celebrating the “B” in “DEIBA”	American Psychiatric Publishing		American Psychiatric Publishing	Petros Levounis; 	2024-01-18	VoR	10.1176/appi.pn.2024.02.2.28					Psychiatric News			10.1176/pn	app:pn	0033-2704	1559-1255		Controlled	Total_Item_Requests	5	5	0
Clinicians’ Cognitive and Affective Biases and the Practice of Psychotherapy	American Psychiatric Publishing		American Psychiatric Publishing	Jerald Kay, Joel Yager, Kimberly Kelsay; 	2021-01-15	VoR	10.1176/appi.psychotherapy.20200025					American Journal of Psychotherapy			10.1176/psychotherapy	app:apt	0002-9564	2575-6559		Controlled	Unique_Item_Requests	1	1	0
Clinicians’ Cognitive and Affective Biases and the Practice of Psychotherapy	American Psychiatric Publishing		American Psychiatric Publishing	Jerald Kay, Joel Yager, Kimberly Kelsay; 	2021-01-15	VoR	10.1176/appi.psychotherapy.20200025					American Journal of Psychotherapy			10.1176/psychotherapy	app:apt	0002-9564	2575-6559		Controlled	Total_Item_Requests	1	1	0
Interpersonal Reconstructive Therapy: Promoting Change in Nonresponders	American Psychiatric Publishing		American Psychiatric Publishing	SCOTT WETZLER; 	2014-10-08	VoR	10.1176/appi.ajp.162.3.639					American Journal of Psychiatry			10.1176/ajp	app:ajp	0002-953X	1535-7228		Controlled	Unique_Item_Requests	1	1	0
Interpersonal Reconstructive Therapy: Promoting Change in Nonresponders	American Psychiatric Publishing		American Psychiatric Publishing	SCOTT WETZLER; 	2014-10-08	VoR	10.1176/appi.ajp.162.3.639					American Journal of Psychiatry			10.1176/ajp	app:ajp	0002-953X	1535-7228		Controlled	Total_Item_Requests	1	1	0
Recommendations for Dynamic Treatment of Identity-Based Trauma: Opening the “I” to Reflection	American Psychiatric Publishing		American Psychiatric Publishing	Cory K. Chen, John R. Keefe, Ranjana Srinivasan; 	2023-10-19	VoR	10.1176/appi.psychotherapy.20220059					American Journal of Psychotherapy			10.1176/psychotherapy	app:apt	0002-9564	2575-6559		Controlled	Unique_Item_Requests	1	1	0
Recommendations for Dynamic Treatment of Identity-Based Trauma: Opening the “I” to Reflection	American Psychiatric Publishing		American Psychiatric Publishing	Cory K. Chen, John R. Keefe, Ranjana Srinivasan; 	2023-10-19	VoR	10.1176/appi.psychotherapy.20220059					American Journal of Psychotherapy			10.1176/psychotherapy	app:apt	0002-9564	2575-6559		Controlled	Total_Item_Requests	1	1	0
What Is an Anxiety Disorder?	American Psychiatric Publishing		American Psychiatric Publishing	Daniel S. Pine, Jason Prenoveau, Michelle G. Craske, Richard E. Zinbarg, Robert Ursano, Scott L. Rauch; 	2014-10-10	VoR	10.1176/foc.9.3.foc369					FOCUS			10.1176/foc	app:foc	1541-4094	1541-4108		Controlled	Unique_Item_Requests	1	1	0
What Is an Anxiety Disorder?	American Psychiatric Publishing		American Psychiatric Publishing	Daniel S. Pine, Jason Prenoveau, Michelle G. Craske, Richard E. Zinbarg, Robert Ursano, Scott L. Rauch; 	2014-10-10	VoR	10.1176/foc.9.3.foc369					FOCUS			10.1176/foc	app:foc	1541-4094	1541-4108		Controlled	Total_Item_Requests	1	1	0
