Report_Name	Book Usage by Access Type
Report_ID	TR_B3
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	rsc:3140
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests; Unique_Title_Investigations; Unique_Title_Requests
Report_Filters	Data_Type=Book; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:56:02Z
Created_By	MPS Limited

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Inorganic Electrochemistry	Royal Society of Chemistry		Silverchair	10.1039/9781847551146		978-0-85-404661-4				2007	Controlled	Unique_Title_Investigations	1	1	0
Inorganic Electrochemistry	Royal Society of Chemistry		Silverchair	10.1039/9781847551146		978-0-85-404661-4				2007	Controlled	Unique_Item_Investigations	2	2	0
Inorganic Electrochemistry	Royal Society of Chemistry		Silverchair	10.1039/9781847551146		978-0-85-404661-4				2007	Controlled	Total_Item_Investigations	2	2	0
Processing Metabolomics and Proteomics Data with Open Software: A Practical Guide	Royal Society of Chemistry		Silverchair	10.1039/9781788019880		978-1-78-801721-3				2020	Controlled	Unique_Title_Investigations	1	1	0
Processing Metabolomics and Proteomics Data with Open Software: A Practical Guide	Royal Society of Chemistry		Silverchair	10.1039/9781788019880		978-1-78-801721-3				2020	Controlled	Unique_Item_Investigations	1	1	0
Processing Metabolomics and Proteomics Data with Open Software: A Practical Guide	Royal Society of Chemistry		Silverchair	10.1039/9781788019880		978-1-78-801721-3				2020	Controlled	Total_Item_Investigations	1	1	0
Smart Materials for Drug Delivery	Royal Society of Chemistry		Silverchair	10.1039/9781849736800		978-1-84-973877-4				2013	Controlled	Unique_Title_Investigations	1	1	0
Smart Materials for Drug Delivery	Royal Society of Chemistry		Silverchair	10.1039/9781849736800		978-1-84-973877-4				2013	Controlled	Unique_Item_Requests	1	1	0
Smart Materials for Drug Delivery	Royal Society of Chemistry		Silverchair	10.1039/9781849736800		978-1-84-973877-4				2013	Controlled	Unique_Title_Requests	1	1	0
Smart Materials for Drug Delivery	Royal Society of Chemistry		Silverchair	10.1039/9781849736800		978-1-84-973877-4				2013	Controlled	Total_Item_Requests	2	2	0
Smart Materials for Drug Delivery	Royal Society of Chemistry		Silverchair	10.1039/9781849736800		978-1-84-973877-4				2013	Controlled	Unique_Item_Investigations	1	1	0
Smart Materials for Drug Delivery	Royal Society of Chemistry		Silverchair	10.1039/9781849736800		978-1-84-973877-4				2013	Controlled	Total_Item_Investigations	2	2	0
