Report_Name	Journal Requests by YOP (Excluding OA_Gold)
Report_ID	TR_J4
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	rsc:3140
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:56:14Z
Created_By	MPS Limited

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Analytical Methods	Royal Society of Chemistry		pubs.rsc.org	10.1039/17599679/2009		1759-9660	1759-9679	https://www.rsc.org/Publishing/Journals/AY/Index.asp	2020	Unique_Item_Requests	1	1	0
Analytical Methods	Royal Society of Chemistry		pubs.rsc.org	10.1039/17599679/2009		1759-9660	1759-9679	https://www.rsc.org/Publishing/Journals/AY/Index.asp	2020	Total_Item_Requests	1	1	0
Biomaterials Science	Royal Society of Chemistry		pubs.rsc.org	10.1039/20474849/2013		2047-4830	2047-4849	https://www.rsc.org/Publishing/Journals/BM/Index.asp	2020	Unique_Item_Requests	1	1	0
Biomaterials Science	Royal Society of Chemistry		pubs.rsc.org	10.1039/20474849/2013		2047-4830	2047-4849	https://www.rsc.org/Publishing/Journals/BM/Index.asp	2020	Total_Item_Requests	2	2	0
Chemical Communications	Royal Society of Chemistry		pubs.rsc.org	10.1039/1364548X/1996		1359-7345	1364-548X	https://www.rsc.org/Publishing/Journals/CC/Index.asp	1998	Unique_Item_Requests	1	1	0
Chemical Communications	Royal Society of Chemistry		pubs.rsc.org	10.1039/1364548X/1996		1359-7345	1364-548X	https://www.rsc.org/Publishing/Journals/CC/Index.asp	1998	Total_Item_Requests	1	1	0
Chemical Communications	Royal Society of Chemistry		pubs.rsc.org	10.1039/1364548X/1996		1359-7345	1364-548X	https://www.rsc.org/Publishing/Journals/CC/Index.asp	2010	Unique_Item_Requests	3	3	0
Chemical Communications	Royal Society of Chemistry		pubs.rsc.org	10.1039/1364548X/1996		1359-7345	1364-548X	https://www.rsc.org/Publishing/Journals/CC/Index.asp	2010	Total_Item_Requests	8	8	0
Chemical Communications	Royal Society of Chemistry		pubs.rsc.org	10.1039/1364548X/1996		1359-7345	1364-548X	https://www.rsc.org/Publishing/Journals/CC/Index.asp	2013	Unique_Item_Requests	1	1	0
Chemical Communications	Royal Society of Chemistry		pubs.rsc.org	10.1039/1364548X/1996		1359-7345	1364-548X	https://www.rsc.org/Publishing/Journals/CC/Index.asp	2013	Total_Item_Requests	1	1	0
