Report_Name	Journal Usage by Access Type
Report_ID	TR_J3
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	rsj:CU-0735144
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-12-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T06:01:31Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Biology Letters	Royal Society		rsj	10.1098/rsbl	rsj:rsbl		1744-957X		Controlled	Unique_Item_Investigations	1	1	0
Biology Letters	Royal Society		rsj	10.1098/rsbl	rsj:rsbl		1744-957X		Controlled	Total_Item_Requests	1	1	0
Biology Letters	Royal Society		rsj	10.1098/rsbl	rsj:rsbl		1744-957X		Controlled	Total_Item_Investigations	1	1	0
Biology Letters	Royal Society		rsj	10.1098/rsbl	rsj:rsbl		1744-957X		Controlled	Unique_Item_Requests	1	1	0
Biology Letters	Royal Society		rsj	10.1098/rsbl	rsj:rsbl		1744-957X		OA_Gold	Unique_Item_Investigations	3	3	0
Biology Letters	Royal Society		rsj	10.1098/rsbl	rsj:rsbl		1744-957X		OA_Gold	Total_Item_Requests	3	3	0
Biology Letters	Royal Society		rsj	10.1098/rsbl	rsj:rsbl		1744-957X		OA_Gold	Total_Item_Investigations	3	3	0
Biology Letters	Royal Society		rsj	10.1098/rsbl	rsj:rsbl		1744-957X		OA_Gold	Unique_Item_Requests	3	3	0
Journal of The Royal Society Interface	Royal Society		rsj	10.1098/rsif	rsj:rsif		1742-5662		OA_Gold	Unique_Item_Investigations	1	1	0
Journal of The Royal Society Interface	Royal Society		rsj	10.1098/rsif	rsj:rsif		1742-5662		OA_Gold	Total_Item_Requests	1	1	0
Journal of The Royal Society Interface	Royal Society		rsj	10.1098/rsif	rsj:rsif		1742-5662		OA_Gold	Total_Item_Investigations	1	1	0
Journal of The Royal Society Interface	Royal Society		rsj	10.1098/rsif	rsj:rsif		1742-5662		OA_Gold	Unique_Item_Requests	1	1	0
Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences	Royal Society		rsj	10.1098/rsta	rsj:rsta	1364-503X	1471-2962		Controlled	Unique_Item_Investigations	2	2	0
Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences	Royal Society		rsj	10.1098/rsta	rsj:rsta	1364-503X	1471-2962		Controlled	Total_Item_Requests	2	2	0
Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences	Royal Society		rsj	10.1098/rsta	rsj:rsta	1364-503X	1471-2962		Controlled	Total_Item_Investigations	2	2	0
Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences	Royal Society		rsj	10.1098/rsta	rsj:rsta	1364-503X	1471-2962		Controlled	Unique_Item_Requests	2	2	0
Philosophical Transactions of the Royal Society B: Biological Sciences	Royal Society		rsj	10.1098/rstb	rsj:rstb	0962-8436	1471-2970		Controlled	Unique_Item_Investigations	6	6	0
Philosophical Transactions of the Royal Society B: Biological Sciences	Royal Society		rsj	10.1098/rstb	rsj:rstb	0962-8436	1471-2970		Controlled	Total_Item_Requests	7	7	0
Philosophical Transactions of the Royal Society B: Biological Sciences	Royal Society		rsj	10.1098/rstb	rsj:rstb	0962-8436	1471-2970		Controlled	Total_Item_Investigations	7	7	0
Philosophical Transactions of the Royal Society B: Biological Sciences	Royal Society		rsj	10.1098/rstb	rsj:rstb	0962-8436	1471-2970		Controlled	Unique_Item_Requests	6	6	0
Philosophical Transactions of the Royal Society B: Biological Sciences	Royal Society		rsj	10.1098/rstb	rsj:rstb	0962-8436	1471-2970		OA_Gold	Unique_Item_Investigations	10	10	0
Philosophical Transactions of the Royal Society B: Biological Sciences	Royal Society		rsj	10.1098/rstb	rsj:rstb	0962-8436	1471-2970		OA_Gold	Total_Item_Requests	13	13	0
Philosophical Transactions of the Royal Society B: Biological Sciences	Royal Society		rsj	10.1098/rstb	rsj:rstb	0962-8436	1471-2970		OA_Gold	Total_Item_Investigations	13	13	0
Philosophical Transactions of the Royal Society B: Biological Sciences	Royal Society		rsj	10.1098/rstb	rsj:rstb	0962-8436	1471-2970		OA_Gold	Unique_Item_Requests	10	10	0
Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences	Royal Society		rsj	10.1098/rspa	rsj:rspa		1471-2946		Controlled	Unique_Item_Investigations	4	4	0
Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences	Royal Society		rsj	10.1098/rspa	rsj:rspa		1471-2946		Controlled	Total_Item_Requests	2	2	0
Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences	Royal Society		rsj	10.1098/rspa	rsj:rspa		1471-2946		Controlled	Total_Item_Investigations	5	5	0
Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences	Royal Society		rsj	10.1098/rspa	rsj:rspa		1471-2946		Controlled	Unique_Item_Requests	2	2	0
Proceedings of the Royal Society B: Biological Sciences	Royal Society		rsj	10.1098/rspb	rsj:rspb		1471-2954		Controlled	Unique_Item_Investigations	10	10	0
Proceedings of the Royal Society B: Biological Sciences	Royal Society		rsj	10.1098/rspb	rsj:rspb		1471-2954		Controlled	Total_Item_Requests	14	14	0
Proceedings of the Royal Society B: Biological Sciences	Royal Society		rsj	10.1098/rspb	rsj:rspb		1471-2954		Controlled	Total_Item_Investigations	14	14	0
Proceedings of the Royal Society B: Biological Sciences	Royal Society		rsj	10.1098/rspb	rsj:rspb		1471-2954		Controlled	Unique_Item_Requests	10	10	0
Proceedings of the Royal Society B: Biological Sciences	Royal Society		rsj	10.1098/rspb	rsj:rspb		1471-2954		OA_Gold	Unique_Item_Investigations	1	1	0
Proceedings of the Royal Society B: Biological Sciences	Royal Society		rsj	10.1098/rspb	rsj:rspb		1471-2954		OA_Gold	Total_Item_Requests	1	1	0
Proceedings of the Royal Society B: Biological Sciences	Royal Society		rsj	10.1098/rspb	rsj:rspb		1471-2954		OA_Gold	Total_Item_Investigations	1	1	0
Proceedings of the Royal Society B: Biological Sciences	Royal Society		rsj	10.1098/rspb	rsj:rspb		1471-2954		OA_Gold	Unique_Item_Requests	1	1	0
Royal Society Open Science	Royal Society		rsj	10.1098/rsos	rsj:rsos		2054-5703		OA_Gold	Unique_Item_Investigations	8	8	0
Royal Society Open Science	Royal Society		rsj	10.1098/rsos	rsj:rsos		2054-5703		OA_Gold	Total_Item_Requests	13	13	0
Royal Society Open Science	Royal Society		rsj	10.1098/rsos	rsj:rsos		2054-5703		OA_Gold	Total_Item_Investigations	13	13	0
Royal Society Open Science	Royal Society		rsj	10.1098/rsos	rsj:rsos		2054-5703		OA_Gold	Unique_Item_Requests	8	8	0
