Report_Name	Database Master Report
Report_ID	DR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	rsc:3140; 0000000120973756
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Method
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T14:00:01Z
Created_By	MPS Limited

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
