Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	rsc:3140
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Section_Type|Access_Type|Access_Method|YOP
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T14:00:16Z
Created_By	MPS Limited

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Data_Type	Section_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Analytical Methods	Royal Society of Chemistry		pubs.rsc.org	10.1039/17599679/2009			1759-9660	1759-9679	https://www.rsc.org/Publishing/Journals/AY/Index.asp	Journal	Article	2020	Controlled	Regular	Unique_Item_Requests	1	1	0
Analytical Methods	Royal Society of Chemistry		pubs.rsc.org	10.1039/17599679/2009			1759-9660	1759-9679	https://www.rsc.org/Publishing/Journals/AY/Index.asp	Journal	Article	2020	Controlled	Regular	Total_Item_Requests	1	1	0
Analytical Methods	Royal Society of Chemistry		pubs.rsc.org	10.1039/17599679/2009			1759-9660	1759-9679	https://www.rsc.org/Publishing/Journals/AY/Index.asp	Journal	Article	2020	Controlled	Regular	Unique_Item_Investigations	1	1	0
Analytical Methods	Royal Society of Chemistry		pubs.rsc.org	10.1039/17599679/2009			1759-9660	1759-9679	https://www.rsc.org/Publishing/Journals/AY/Index.asp	Journal	Article	2020	Controlled	Regular	Total_Item_Investigations	1	1	0
Biomaterials Science	Royal Society of Chemistry		pubs.rsc.org	10.1039/20474849/2013			2047-4830	2047-4849	https://www.rsc.org/Publishing/Journals/BM/Index.asp	Journal	Article	2020	Controlled	Regular	Unique_Item_Requests	1	1	0
Biomaterials Science	Royal Society of Chemistry		pubs.rsc.org	10.1039/20474849/2013			2047-4830	2047-4849	https://www.rsc.org/Publishing/Journals/BM/Index.asp	Journal	Article	2020	Controlled	Regular	Total_Item_Requests	2	2	0
Biomaterials Science	Royal Society of Chemistry		pubs.rsc.org	10.1039/20474849/2013			2047-4830	2047-4849	https://www.rsc.org/Publishing/Journals/BM/Index.asp	Journal	Article	2020	Controlled	Regular	Unique_Item_Investigations	2	2	0
Biomaterials Science	Royal Society of Chemistry		pubs.rsc.org	10.1039/20474849/2013			2047-4830	2047-4849	https://www.rsc.org/Publishing/Journals/BM/Index.asp	Journal	Article	2020	Controlled	Regular	Total_Item_Investigations	3	3	0
Chemical Communications	Royal Society of Chemistry		pubs.rsc.org	10.1039/1364548X/1996			1359-7345	1364-548X	https://www.rsc.org/Publishing/Journals/CC/Index.asp	Journal	Article	1998	Controlled	Regular	Total_Item_Investigations	1	1	0
Chemical Communications	Royal Society of Chemistry		pubs.rsc.org	10.1039/1364548X/1996			1359-7345	1364-548X	https://www.rsc.org/Publishing/Journals/CC/Index.asp	Journal	Article	1998	Controlled	Regular	Total_Item_Requests	1	1	0
