Report_Name	Database Access Denied
Report_ID	DR_D2
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	sagepub:21063
Metric_Types	Limit_Exceeded; No_License
Report_Filters	Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T14:00:58Z
Created_By	Sage Publishing SecureCenter

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Sage Business Cases - 2023	Sage Publications		Sage Knowledge	sagepub:201883	No_License	1	1	0
Sage Research Methods Cases Part 2	Sage Publications		Sage Research Methods	sagepub:87966	No_License	1	1	0
Sage Research Methods Video	Sage Publications		Sage Research Methods	sagepub:74352	No_License	1	0	1
