Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	sage:1000451523
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version; Include_Parent_Details=True
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T06:02:12Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
(Dis)Affordances: Publicness and the Question of Absence	SAGE Publications		SAGE Journals	Kusha Sefat; 	2023-10-09	VoR	10.1177/01634437231202154						Media, Culture & Society				Journal	10.1177/mcsa	sage:mcsa		0163-4437	1460-3675												Article	2023	Controlled	Regular	Unique_Item_Investigations	1	1	0
(Dis)Affordances: Publicness and the Question of Absence	SAGE Publications		SAGE Journals	Kusha Sefat; 	2023-10-09	VoR	10.1177/01634437231202154						Media, Culture & Society				Journal	10.1177/mcsa	sage:mcsa		0163-4437	1460-3675												Article	2023	Controlled	Regular	Unique_Item_Requests	1	1	0
(Dis)Affordances: Publicness and the Question of Absence	SAGE Publications		SAGE Journals	Kusha Sefat; 	2023-10-09	VoR	10.1177/01634437231202154						Media, Culture & Society				Journal	10.1177/mcsa	sage:mcsa		0163-4437	1460-3675												Article	2023	Controlled	Regular	Total_Item_Requests	1	1	0
(Dis)Affordances: Publicness and the Question of Absence	SAGE Publications		SAGE Journals	Kusha Sefat; 	2023-10-09	VoR	10.1177/01634437231202154						Media, Culture & Society				Journal	10.1177/mcsa	sage:mcsa		0163-4437	1460-3675												Article	2023	Controlled	Regular	Total_Item_Investigations	1	1	0
(Dys) Functional Diagnosing Mental Health Diagnosis, Medicalization, and the Making of Transgender Patients	SAGE Publications Inc		SAGE Journals	Melissa M. Gesbeck, Jodie M. Dewey; 	2015-09-14	VoR	10.1177/0160597615604651						Humanity & Society				Journal	10.1177/hasa	sage:hasa		0160-5976	2372-9708												Article	2015	Controlled	Regular	Unique_Item_Investigations	1	1	0
(Dys) Functional Diagnosing Mental Health Diagnosis, Medicalization, and the Making of Transgender Patients	SAGE Publications Inc		SAGE Journals	Melissa M. Gesbeck, Jodie M. Dewey; 	2015-09-14	VoR	10.1177/0160597615604651						Humanity & Society				Journal	10.1177/hasa	sage:hasa		0160-5976	2372-9708												Article	2015	Controlled	Regular	Unique_Item_Requests	1	1	0
(Dys) Functional Diagnosing Mental Health Diagnosis, Medicalization, and the Making of Transgender Patients	SAGE Publications Inc		SAGE Journals	Melissa M. Gesbeck, Jodie M. Dewey; 	2015-09-14	VoR	10.1177/0160597615604651						Humanity & Society				Journal	10.1177/hasa	sage:hasa		0160-5976	2372-9708												Article	2015	Controlled	Regular	Total_Item_Requests	1	1	0
(Dys) Functional Diagnosing Mental Health Diagnosis, Medicalization, and the Making of Transgender Patients	SAGE Publications Inc		SAGE Journals	Melissa M. Gesbeck, Jodie M. Dewey; 	2015-09-14	VoR	10.1177/0160597615604651						Humanity & Society				Journal	10.1177/hasa	sage:hasa		0160-5976	2372-9708												Article	2015	Controlled	Regular	Total_Item_Investigations	1	1	0
2016 AAFP Guidelines for the Management of Feline Hyperthyroidism	SAGE Publications		SAGE Journals	Amy Hinc, A Renee Rucinsky, David Bruyette, Steven J Bailey, Cynthia R Ward, Hazel C Carney, Sonnya Dennis, Duncan Ferguson; 	2016-05-03	VoR	10.1177/1098612X16643252						Journal of Feline Medicine and Surgery				Journal	10.1177/jfma	sage:jfma		1098-612X	1532-2750												Article	2016	Controlled	Regular	Unique_Item_Investigations	2	2	0
2016 AAFP Guidelines for the Management of Feline Hyperthyroidism	SAGE Publications		SAGE Journals	Amy Hinc, A Renee Rucinsky, David Bruyette, Steven J Bailey, Cynthia R Ward, Hazel C Carney, Sonnya Dennis, Duncan Ferguson; 	2016-05-03	VoR	10.1177/1098612X16643252						Journal of Feline Medicine and Surgery				Journal	10.1177/jfma	sage:jfma		1098-612X	1532-2750												Article	2016	Controlled	Regular	Unique_Item_Requests	2	2	0
