Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	sage:1000451523
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Method
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T06:01:37Z
Created_By	Atypon Systems LLC.

Platform	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
SAGE Journals	Platform	Regular	Searches_Platform	27	27	0
SAGE Journals	Journal	Regular	Unique_Item_Investigations	1025	1025	0
SAGE Journals	Journal	Regular	Total_Item_Requests	1278	1278	0
SAGE Journals	Journal	Regular	Total_Item_Investigations	1431	1431	0
SAGE Journals	Journal	Regular	Unique_Item_Requests	944	944	0
