Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	sage:1000451523
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Section_Type|Access_Type|Access_Method|YOP
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T06:02:57Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Data_Type	Section_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
About Campus	SAGE Publications		SAGE Journals	10.1177/acaa	sage:acaa		1086-4822	1536-0687		Journal	Article	2000	Controlled	Regular	Unique_Item_Investigations	1	1	0
About Campus	SAGE Publications		SAGE Journals	10.1177/acaa	sage:acaa		1086-4822	1536-0687		Journal	Article	2000	Controlled	Regular	Unique_Item_Requests	1	1	0
About Campus	SAGE Publications		SAGE Journals	10.1177/acaa	sage:acaa		1086-4822	1536-0687		Journal	Article	2000	Controlled	Regular	Total_Item_Requests	2	2	0
About Campus	SAGE Publications		SAGE Journals	10.1177/acaa	sage:acaa		1086-4822	1536-0687		Journal	Article	2000	Controlled	Regular	Total_Item_Investigations	2	2	0
Academic Pathology	SAGE Publications		SAGE Journals	10.1177/apca	sage:apca		2374-2895	2374-2895		Journal	Article	2020	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
Academic Pathology	SAGE Publications		SAGE Journals	10.1177/apca	sage:apca		2374-2895	2374-2895		Journal	Article	2020	OA_Gold	Regular	Unique_Item_Requests	1	1	0
Academic Pathology	SAGE Publications		SAGE Journals	10.1177/apca	sage:apca		2374-2895	2374-2895		Journal	Article	2020	OA_Gold	Regular	Total_Item_Requests	1	1	0
Academic Pathology	SAGE Publications		SAGE Journals	10.1177/apca	sage:apca		2374-2895	2374-2895		Journal	Article	2020	OA_Gold	Regular	Total_Item_Investigations	1	1	0
Acta Radiologica	SAGE Publications		SAGE Journals	10.1177/acrc	sage:acrc		0284-1851	1600-0455		Journal	Article	2014	Controlled	Regular	Unique_Item_Investigations	1	1	0
Acta Radiologica	SAGE Publications		SAGE Journals	10.1177/acrc	sage:acrc		0284-1851	1600-0455		Journal	Article	2014	Controlled	Regular	Unique_Item_Requests	1	1	0
Acta Radiologica	SAGE Publications		SAGE Journals	10.1177/acrc	sage:acrc		0284-1851	1600-0455		Journal	Article	2014	Controlled	Regular	Total_Item_Requests	1	1	0
Acta Radiologica	SAGE Publications		SAGE Journals	10.1177/acrc	sage:acrc		0284-1851	1600-0455		Journal	Article	2014	Controlled	Regular	Total_Item_Investigations	1	1	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja		1476-7503	1741-2617		Journal	Article	2008	Controlled	Regular	Unique_Item_Investigations	3	3	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja		1476-7503	1741-2617		Journal	Article	2008	Controlled	Regular	Unique_Item_Requests	2	2	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja		1476-7503	1741-2617		Journal	Article	2008	Controlled	Regular	Total_Item_Requests	2	2	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja		1476-7503	1741-2617		Journal	Article	2008	Controlled	Regular	Total_Item_Investigations	3	3	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja		1476-7503	1741-2617		Journal	Article	2009	Controlled	Regular	Unique_Item_Investigations	5	5	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja		1476-7503	1741-2617		Journal	Article	2009	Controlled	Regular	Unique_Item_Requests	5	5	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja		1476-7503	1741-2617		Journal	Article	2009	Controlled	Regular	Total_Item_Requests	6	6	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja		1476-7503	1741-2617		Journal	Article	2009	Controlled	Regular	Total_Item_Investigations	16	16	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja		1476-7503	1741-2617		Journal	Article	2012	Controlled	Regular	Unique_Item_Investigations	2	2	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja		1476-7503	1741-2617		Journal	Article	2012	Controlled	Regular	Unique_Item_Requests	2	2	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja		1476-7503	1741-2617		Journal	Article	2012	Controlled	Regular	Total_Item_Requests	2	2	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja		1476-7503	1741-2617		Journal	Article	2012	Controlled	Regular	Total_Item_Investigations	2	2	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja		1476-7503	1741-2617		Journal	Article	2014	Controlled	Regular	Unique_Item_Investigations	1	1	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja		1476-7503	1741-2617		Journal	Article	2014	Controlled	Regular	Unique_Item_Requests	1	1	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja		1476-7503	1741-2617		Journal	Article	2014	Controlled	Regular	Total_Item_Requests	1	1	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja		1476-7503	1741-2617		Journal	Article	2014	Controlled	Regular	Total_Item_Investigations	1	1	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja		1476-7503	1741-2617		Journal	Article	2022	Controlled	Regular	Unique_Item_Investigations	1	1	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja		1476-7503	1741-2617		Journal	Article	2022	Controlled	Regular	Unique_Item_Requests	1	1	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja		1476-7503	1741-2617		Journal	Article	2022	Controlled	Regular	Total_Item_Requests	1	1	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja		1476-7503	1741-2617		Journal	Article	2022	Controlled	Regular	Total_Item_Investigations	1	1	0
Active Learning in Higher Education	SAGE Publications		SAGE Journals	10.1177/alha	sage:alha		1469-7874	1741-2625		Journal	Article	2018	Controlled	Regular	Unique_Item_Investigations	1	1	0
Active Learning in Higher Education	SAGE Publications		SAGE Journals	10.1177/alha	sage:alha		1469-7874	1741-2625		Journal	Article	2018	Controlled	Regular	Unique_Item_Requests	1	1	0
