Report_Name	Journal Usage by Access Type
Report_ID	TR_J3
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	sage:1000451523
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Data_Type=Journal
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T06:02:45Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
About Campus	SAGE Publications		SAGE Journals	10.1177/acaa	sage:acaa	1086-4822	1536-0687		Controlled	Unique_Item_Investigations	1	1	0
About Campus	SAGE Publications		SAGE Journals	10.1177/acaa	sage:acaa	1086-4822	1536-0687		Controlled	Unique_Item_Requests	1	1	0
About Campus	SAGE Publications		SAGE Journals	10.1177/acaa	sage:acaa	1086-4822	1536-0687		Controlled	Total_Item_Requests	2	2	0
About Campus	SAGE Publications		SAGE Journals	10.1177/acaa	sage:acaa	1086-4822	1536-0687		Controlled	Total_Item_Investigations	2	2	0
Academic Pathology	SAGE Publications		SAGE Journals	10.1177/apca	sage:apca	2374-2895	2374-2895		OA_Gold	Unique_Item_Investigations	1	1	0
Academic Pathology	SAGE Publications		SAGE Journals	10.1177/apca	sage:apca	2374-2895	2374-2895		OA_Gold	Unique_Item_Requests	1	1	0
Academic Pathology	SAGE Publications		SAGE Journals	10.1177/apca	sage:apca	2374-2895	2374-2895		OA_Gold	Total_Item_Requests	1	1	0
Academic Pathology	SAGE Publications		SAGE Journals	10.1177/apca	sage:apca	2374-2895	2374-2895		OA_Gold	Total_Item_Investigations	1	1	0
Acta Radiologica	SAGE Publications		SAGE Journals	10.1177/acrc	sage:acrc	0284-1851	1600-0455		Controlled	Unique_Item_Investigations	1	1	0
Acta Radiologica	SAGE Publications		SAGE Journals	10.1177/acrc	sage:acrc	0284-1851	1600-0455		Controlled	Unique_Item_Requests	1	1	0
Acta Radiologica	SAGE Publications		SAGE Journals	10.1177/acrc	sage:acrc	0284-1851	1600-0455		Controlled	Total_Item_Requests	1	1	0
Acta Radiologica	SAGE Publications		SAGE Journals	10.1177/acrc	sage:acrc	0284-1851	1600-0455		Controlled	Total_Item_Investigations	1	1	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja	1476-7503	1741-2617		Controlled	Unique_Item_Investigations	12	12	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja	1476-7503	1741-2617		Controlled	Unique_Item_Requests	11	11	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja	1476-7503	1741-2617		Controlled	Total_Item_Requests	12	12	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja	1476-7503	1741-2617		Controlled	Total_Item_Investigations	23	23	0
Active Learning in Higher Education	SAGE Publications		SAGE Journals	10.1177/alha	sage:alha	1469-7874	1741-2625		Controlled	Unique_Item_Investigations	1	1	0
Active Learning in Higher Education	SAGE Publications		SAGE Journals	10.1177/alha	sage:alha	1469-7874	1741-2625		Controlled	Unique_Item_Requests	1	1	0
Active Learning in Higher Education	SAGE Publications		SAGE Journals	10.1177/alha	sage:alha	1469-7874	1741-2625		Controlled	Total_Item_Requests	1	1	0
Active Learning in Higher Education	SAGE Publications		SAGE Journals	10.1177/alha	sage:alha	1469-7874	1741-2625		Controlled	Total_Item_Investigations	1	1	0
Administration & Society	SAGE Publications		SAGE Journals	10.1177/aasb	sage:aasb	0095-3997	1552-3039		Controlled	Unique_Item_Investigations	2	2	0
Administration & Society	SAGE Publications		SAGE Journals	10.1177/aasb	sage:aasb	0095-3997	1552-3039		Controlled	Unique_Item_Requests	2	2	0
Administration & Society	SAGE Publications		SAGE Journals	10.1177/aasb	sage:aasb	0095-3997	1552-3039		Controlled	Total_Item_Requests	6	6	0
Administration & Society	SAGE Publications		SAGE Journals	10.1177/aasb	sage:aasb	0095-3997	1552-3039		Controlled	Total_Item_Investigations	6	6	0
Adoption & Fostering	SAGE Publications		SAGE Journals	10.1177/aafa	sage:aafa	0308-5759	1740-469X		Controlled	Unique_Item_Investigations	1	1	0
Adoption & Fostering	SAGE Publications		SAGE Journals	10.1177/aafa	sage:aafa	0308-5759	1740-469X		Controlled	Unique_Item_Requests	1	1	0
Adoption & Fostering	SAGE Publications		SAGE Journals	10.1177/aafa	sage:aafa	0308-5759	1740-469X		Controlled	Total_Item_Requests	1	1	0
