Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	Robertson Library, UPEI
Institution_ID	SN:3000162182
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Section_Type|Access_Type|Access_Method|YOP
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T14:02:31Z
Created_By	SpringerNature

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Data_Type	Section_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
11th Mediterranean Conference on Medical and Biomedical Engineering and Computing 2007	Springer Berlin Heidelberg		SpringerLink	10.1007/978-3-540-73044-6	SN:10.1007/978-3-540-73044-6	978-3-540-73044-6	1680-0737			Book	Chapter	2007	Controlled	Regular	Unique_Item_Requests	1	1	0
11th Mediterranean Conference on Medical and Biomedical Engineering and Computing 2007	Springer Berlin Heidelberg		SpringerLink	10.1007/978-3-540-73044-6	SN:10.1007/978-3-540-73044-6	978-3-540-73044-6	1680-0737			Book	Chapter	2007	Controlled	Regular	Total_Item_Requests	1	1	0
11th Mediterranean Conference on Medical and Biomedical Engineering and Computing 2007	Springer Berlin Heidelberg		SpringerLink	10.1007/978-3-540-73044-6	SN:10.1007/978-3-540-73044-6	978-3-540-73044-6	1680-0737			Book	Chapter	2007	Controlled	Regular	Total_Item_Investigations	2	2	0
11th Mediterranean Conference on Medical and Biomedical Engineering and Computing 2007	Springer Berlin Heidelberg		SpringerLink	10.1007/978-3-540-73044-6	SN:10.1007/978-3-540-73044-6	978-3-540-73044-6	1680-0737			Book	Chapter	2007	Controlled	Regular	Unique_Item_Investigations	1	1	0
11th Mediterranean Conference on Medical and Biomedical Engineering and Computing 2007	Springer Berlin Heidelberg		SpringerLink	10.1007/978-3-540-73044-6	SN:10.1007/978-3-540-73044-6	978-3-540-73044-6	1680-0737			Book		2007	Controlled	Regular	Unique_Title_Investigations	1	1	0
11th Mediterranean Conference on Medical and Biomedical Engineering and Computing 2007	Springer Berlin Heidelberg		SpringerLink	10.1007/978-3-540-73044-6	SN:10.1007/978-3-540-73044-6	978-3-540-73044-6	1680-0737			Book		2007	Controlled	Regular	Unique_Title_Requests	1	1	0
3 Biotech	Springer International Publishing		SpringerLink	10.1007/13205.2190-5738	SN:13205		2190-572X	2190-5738		Journal	Article	2019	Controlled	Regular	Unique_Item_Requests	2	2	0
3 Biotech	Springer International Publishing		SpringerLink	10.1007/13205.2190-5738	SN:13205		2190-572X	2190-5738		Journal	Article	2019	Controlled	Regular	Total_Item_Requests	2	2	0
3 Biotech	Springer International Publishing		SpringerLink	10.1007/13205.2190-5738	SN:13205		2190-572X	2190-5738		Journal	Article	2019	Controlled	Regular	Total_Item_Investigations	2	2	0
3 Biotech	Springer International Publishing		SpringerLink	10.1007/13205.2190-5738	SN:13205		2190-572X	2190-5738		Journal	Article	2019	Controlled	Regular	Unique_Item_Investigations	2	2	0
