Report_Name	Book Requests (Excluding OA_Gold)
Report_ID	TR_B1
Release	5
Institution_Name	Robertson Library, UPEI
Institution_ID	SN:3000162182
Metric_Types	Total_Item_Requests; Unique_Title_Requests
Report_Filters	Data_Type=Book; Access_Type=Controlled; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T14:02:25Z
Created_By	SpringerNature

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
11th Mediterranean Conference on Medical and Biomedical Engineering and Computing 2007	Springer Berlin Heidelberg		SpringerLink	10.1007/978-3-540-73044-6	SN:10.1007/978-3-540-73044-6	978-3-540-73044-6	1680-0737			2007	Total_Item_Requests	1	1	0
11th Mediterranean Conference on Medical and Biomedical Engineering and Computing 2007	Springer Berlin Heidelberg		SpringerLink	10.1007/978-3-540-73044-6	SN:10.1007/978-3-540-73044-6	978-3-540-73044-6	1680-0737			2007	Unique_Title_Requests	1	1	0
Advanced Forecasting with Python	Apress		SpringerLink	10.1007/978-1-4842-7150-6	SN:10.1007/978-1-4842-7150-6	978-1-4842-7150-6				2021	Total_Item_Requests	1	1	0
Advanced Forecasting with Python	Apress		SpringerLink	10.1007/978-1-4842-7150-6	SN:10.1007/978-1-4842-7150-6	978-1-4842-7150-6				2021	Unique_Title_Requests	1	1	0
Advances in Design and Digital Communication III	Springer Nature Switzerland		SpringerLink	10.1007/978-3-031-20364-0	SN:10.1007/978-3-031-20364-0	978-3-031-20364-0	2661-8184	2661-8192		2023	Total_Item_Requests	2	2	0
Advances in Design and Digital Communication III	Springer Nature Switzerland		SpringerLink	10.1007/978-3-031-20364-0	SN:10.1007/978-3-031-20364-0	978-3-031-20364-0	2661-8184	2661-8192		2023	Unique_Title_Requests	1	1	0
Advances in Industrial Design	Springer International Publishing		SpringerLink	10.1007/978-3-030-51194-4	SN:10.1007/978-3-030-51194-4	978-3-030-51194-4	2194-5357	2194-5365		2020	Total_Item_Requests	1	1	0
Advances in Industrial Design	Springer International Publishing		SpringerLink	10.1007/978-3-030-51194-4	SN:10.1007/978-3-030-51194-4	978-3-030-51194-4	2194-5357	2194-5365		2020	Unique_Title_Requests	1	1	0
Agro-geoinformatics	Springer International Publishing		SpringerLink	10.1007/978-3-030-66387-2	SN:10.1007/978-3-030-66387-2	978-3-030-66387-2	2198-0721	2198-073X		2021	Total_Item_Requests	1	1	0
Agro-geoinformatics	Springer International Publishing		SpringerLink	10.1007/978-3-030-66387-2	SN:10.1007/978-3-030-66387-2	978-3-030-66387-2	2198-0721	2198-073X		2021	Unique_Title_Requests	1	1	0
An Integrative Approach to Clinical Social Work Practice with Children of Incarcerated Parents	Springer International Publishing		SpringerLink	10.1007/978-3-031-28823-4	SN:10.1007/978-3-031-28823-4	978-3-031-28823-4	2520-162X	2520-1611		2023	Total_Item_Requests	1	1	0
An Integrative Approach to Clinical Social Work Practice with Children of Incarcerated Parents	Springer International Publishing		SpringerLink	10.1007/978-3-031-28823-4	SN:10.1007/978-3-031-28823-4	978-3-031-28823-4	2520-162X	2520-1611		2023	Unique_Title_Requests	1	1	0
An Introduction to Veterinary Medicine Engineering	Springer International Publishing		SpringerLink	10.1007/978-3-031-22805-6	SN:10.1007/978-3-031-22805-6	978-3-031-22805-6				2023	Total_Item_Requests	4	4	0
An Introduction to Veterinary Medicine Engineering	Springer International Publishing		SpringerLink	10.1007/978-3-031-22805-6	SN:10.1007/978-3-031-22805-6	978-3-031-22805-6				2023	Unique_Title_Requests	3	3	0
Applying the Science of Learning to Education	Springer Nature Singapore		SpringerLink	10.1007/978-981-99-5378-3	SN:10.1007/978-981-99-5378-3	978-981-99-5378-3				2023	Total_Item_Requests	1	1	0
Applying the Science of Learning to Education	Springer Nature Singapore		SpringerLink	10.1007/978-981-99-5378-3	SN:10.1007/978-981-99-5378-3	978-981-99-5378-3				2023	Unique_Title_Requests	1	1	0
Biochar and its Application in Bioremediation	Springer Nature Singapore		SpringerLink	10.1007/978-981-16-4059-9	SN:10.1007/978-981-16-4059-9	978-981-16-4059-9				2021	Total_Item_Requests	2	2	0
Biochar and its Application in Bioremediation	Springer Nature Singapore		SpringerLink	10.1007/978-981-16-4059-9	SN:10.1007/978-981-16-4059-9	978-981-16-4059-9				2021	Unique_Title_Requests	1	1	0
Biology of Fishery Resources	Springer Nature Singapore		SpringerLink	10.1007/978-981-16-6948-4	SN:10.1007/978-981-16-6948-4	978-981-16-6948-4				2022	Total_Item_Requests	1	1	0
Biology of Fishery Resources	Springer Nature Singapore		SpringerLink	10.1007/978-981-16-6948-4	SN:10.1007/978-981-16-6948-4	978-981-16-6948-4				2022	Unique_Title_Requests	1	1	0
Biotechnological Tools in Fisheries and Aquatic Health Management	Springer Nature Singapore		SpringerLink	10.1007/978-981-99-2981-8	SN:10.1007/978-981-99-2981-8	978-981-99-2981-8				2023	Total_Item_Requests	1	1	0
Biotechnological Tools in Fisheries and Aquatic Health Management	Springer Nature Singapore		SpringerLink	10.1007/978-981-99-2981-8	SN:10.1007/978-981-99-2981-8	978-981-99-2981-8				2023	Unique_Title_Requests	1	1	0
Cannabinoids and Sleep	Springer International Publishing		SpringerLink	10.1007/978-3-030-61663-2	SN:10.1007/978-3-030-61663-2	978-3-030-61663-2	0065-2598	2214-8019		2021	Total_Item_Requests	1	1	0
Cannabinoids and Sleep	Springer International Publishing		SpringerLink	10.1007/978-3-030-61663-2	SN:10.1007/978-3-030-61663-2	978-3-030-61663-2	0065-2598	2214-8019		2021	Unique_Title_Requests	1	1	0
Cattle Welfare in Dairy and Beef Systems	Springer International Publishing		SpringerLink	10.1007/978-3-031-21020-4	SN:10.1007/978-3-031-21020-4	978-3-031-21020-4	1572-7408			2023	Total_Item_Requests	1	1	0
Cattle Welfare in Dairy and Beef Systems	Springer International Publishing		SpringerLink	10.1007/978-3-031-21020-4	SN:10.1007/978-3-031-21020-4	978-3-031-21020-4	1572-7408			2023	Unique_Title_Requests	1	1	0
Climate-Resilient Horticulture: Adaptation and Mitigation Strategies	Springer India		SpringerLink	10.1007/978-81-322-0974-4	SN:10.1007/978-81-322-0974-4	978-81-322-0974-4				2013	Total_Item_Requests	4	4	0
