Report_Name	Platform Usage
Report_ID	PR_P1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	
Metric_Types	Searches_Platform; Total_Item_Requests; Unique_Item_Requests; Unique_Title_Requests
Report_Filters	Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T14:02:57Z
Created_By	Statista

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Statista.com:cdb	Total_Item_Requests	11	3	8
Statista.com:cdb	Unique_Item_Requests	7	1	6
Statista.com:cdb	Searches_Platform	17	7	10
Statista.com:core	Total_Item_Requests	416	204	212
Statista.com:core	Unique_Item_Requests	354	167	187
Statista.com:core	Searches_Platform	303	184	119
Statista.com:xmo	Total_Item_Requests	15	10	5
Statista.com:xmo	Unique_Item_Requests	10	6	4
Statista.com:xmo	Searches_Platform	294	182	112
Statista.de:core	Total_Item_Requests	2	2	0
Statista.de:core	Unique_Item_Requests	2	2	0
