Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	tandf:1453391
Metric_Types	
Report_Filters	
Report_Attributes	Include_Parent_Details=True; Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T06:03:49Z
Created_By	Taylor & Francis

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
50 Years of Religion and Education: Evolution and Transformation of the Treatment of Religion in Higher Education	Routledge		Taylor & Francis Online	Michael D. Waggoner; 	2023-08-01	VoR	10.1080/15507394.2023.2232606						Religion & Education				Journal	10.1080/urel20	tandf:urel20		1550-7394	1949-8381												Article	2023	Controlled	Regular	Unique_Item_Investigations	1	1	0
50 Years of Religion and Education: Evolution and Transformation of the Treatment of Religion in Higher Education	Routledge		Taylor & Francis Online	Michael D. Waggoner; 	2023-08-01	VoR	10.1080/15507394.2023.2232606						Religion & Education				Journal	10.1080/urel20	tandf:urel20		1550-7394	1949-8381												Article	2023	Controlled	Regular	Unique_Item_Requests	1	1	0
50 Years of Religion and Education: Evolution and Transformation of the Treatment of Religion in Higher Education	Routledge		Taylor & Francis Online	Michael D. Waggoner; 	2023-08-01	VoR	10.1080/15507394.2023.2232606						Religion & Education				Journal	10.1080/urel20	tandf:urel20		1550-7394	1949-8381												Article	2023	Controlled	Regular	Total_Item_Investigations	1	1	0
50 Years of Religion and Education: Evolution and Transformation of the Treatment of Religion in Higher Education	Routledge		Taylor & Francis Online	Michael D. Waggoner; 	2023-08-01	VoR	10.1080/15507394.2023.2232606						Religion & Education				Journal	10.1080/urel20	tandf:urel20		1550-7394	1949-8381												Article	2023	Controlled	Regular	Total_Item_Requests	1	1	0
A call to action: exploring and responding to educational developers’ workplace burnout and well-being in higher education	Routledge		Taylor & Francis Online	Klodiana Kolomitro, Natasha Kenny, Suzanne Le-May Sheffield; 	2019-12-27	VoR	10.1080/1360144X.2019.1705303						International Journal for Academic Development				Journal	10.1080/rija20	tandf:rija20		1360-144X	1470-1324												Article	2019	Controlled	Regular	Unique_Item_Investigations	1	1	0
A call to action: exploring and responding to educational developers’ workplace burnout and well-being in higher education	Routledge		Taylor & Francis Online	Klodiana Kolomitro, Natasha Kenny, Suzanne Le-May Sheffield; 	2019-12-27	VoR	10.1080/1360144X.2019.1705303						International Journal for Academic Development				Journal	10.1080/rija20	tandf:rija20		1360-144X	1470-1324												Article	2019	Controlled	Regular	Unique_Item_Requests	1	1	0
A call to action: exploring and responding to educational developers’ workplace burnout and well-being in higher education	Routledge		Taylor & Francis Online	Klodiana Kolomitro, Natasha Kenny, Suzanne Le-May Sheffield; 	2019-12-27	VoR	10.1080/1360144X.2019.1705303						International Journal for Academic Development				Journal	10.1080/rija20	tandf:rija20		1360-144X	1470-1324												Article	2019	Controlled	Regular	Total_Item_Investigations	1	1	0
A call to action: exploring and responding to educational developers’ workplace burnout and well-being in higher education	Routledge		Taylor & Francis Online	Klodiana Kolomitro, Natasha Kenny, Suzanne Le-May Sheffield; 	2019-12-27	VoR	10.1080/1360144X.2019.1705303						International Journal for Academic Development				Journal	10.1080/rija20	tandf:rija20		1360-144X	1470-1324												Article	2019	Controlled	Regular	Total_Item_Requests	1	1	0
A Canadian study of coming full circle to traditional Aboriginal pedagogy: a pedagogy for the 21st century	Routledge		Taylor & Francis Online	Theresa A. Papp; 	2019-08-21	VoR	10.1080/15595692.2019.1652587						Diaspora, Indigenous, and Minority Education				Journal	10.1080/hdim20	tandf:hdim20		1559-5692	1559-5706												Article	2019	Controlled	Regular	Unique_Item_Investigations	4	4	0
A Canadian study of coming full circle to traditional Aboriginal pedagogy: a pedagogy for the 21st century	Routledge		Taylor & Francis Online	Theresa A. Papp; 	2019-08-21	VoR	10.1080/15595692.2019.1652587						Diaspora, Indigenous, and Minority Education				Journal	10.1080/hdim20	tandf:hdim20		1559-5692	1559-5706												Article	2019	Controlled	Regular	Unique_Item_Requests	4	4	0
