Report_Name	Platform Usage
Report_ID	PR_P1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	tandf:1453391
Metric_Types	Searches_Platform; Total_Item_Requests; Unique_Item_Requests; Unique_Title_Requests
Report_Filters	Access_Method=Regular
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T06:03:24Z
Created_By	Taylor & Francis

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Taylor & Francis Online	Total_Item_Requests	1766	1766	0
Taylor & Francis Online	Searches_Platform	64	64	0
Taylor & Francis Online	Unique_Item_Requests	1146	1146	0
