Report_Name	Journal Requests (Excluding OA_Gold)
Report_ID	TR_J1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	tandf:1453391
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Access_Type=Controlled; Access_Method=Regular; Data_Type=Journal
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T06:04:37Z
Created_By	Taylor & Francis

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Activities, Adaptation & Aging	Routledge		Taylor & Francis Online	10.1080/waaa20	tandf:waaa20	0192-4788	1544-4368		Unique_Item_Requests	1	1	0
Activities, Adaptation & Aging	Routledge		Taylor & Francis Online	10.1080/waaa20	tandf:waaa20	0192-4788	1544-4368		Total_Item_Requests	2	2	0
Adoption Quarterly	Routledge		Taylor & Francis Online	10.1080/wado20	tandf:wado20	1092-6755	1544-452X		Unique_Item_Requests	1	1	0
Adoption Quarterly	Routledge		Taylor & Francis Online	10.1080/wado20	tandf:wado20	1092-6755	1544-452X		Total_Item_Requests	1	1	0
Advances in Oceanography and Limnology	Taylor & Francis		Taylor & Francis Online	10.1080/taol20	tandf:taol20	1947-5721	1947-573X		Unique_Item_Requests	1	1	0
Advances in Oceanography and Limnology	Taylor & Francis		Taylor & Francis Online	10.1080/taol20	tandf:taol20	1947-5721	1947-573X		Total_Item_Requests	1	1	0
Africa Journal of Management	Routledge		Taylor & Francis Online	10.1080/rajm20	tandf:rajm20	2332-2373	2332-2381		Unique_Item_Requests	1	1	0
Africa Journal of Management	Routledge		Taylor & Francis Online	10.1080/rajm20	tandf:rajm20	2332-2373	2332-2381		Total_Item_Requests	3	3	0
African Journal of Science, Technology, Innovation and Development	Routledge		Taylor & Francis Online	10.1080/rajs20	tandf:rajs20	2042-1338	2042-1346		Unique_Item_Requests	1	1	0
African Journal of Science, Technology, Innovation and Development	Routledge		Taylor & Francis Online	10.1080/rajs20	tandf:rajs20	2042-1338	2042-1346		Total_Item_Requests	1	1	0
Aging & Mental Health	Routledge		Taylor & Francis Online	10.1080/camh20	tandf:camh20	1360-7863	1364-6915		Unique_Item_Requests	2	2	0
Aging & Mental Health	Routledge		Taylor & Francis Online	10.1080/camh20	tandf:camh20	1360-7863	1364-6915		Total_Item_Requests	2	2	0
Aging, Neuropsychology, and Cognition	Routledge		Taylor & Francis Online	10.1080/nanc20	tandf:nanc20	1382-5585	1744-4128		Unique_Item_Requests	3	3	0
Aging, Neuropsychology, and Cognition	Routledge		Taylor & Francis Online	10.1080/nanc20	tandf:nanc20	1382-5585	1744-4128		Total_Item_Requests	4	4	0
Agroecology and Sustainable Food Systems	Taylor & Francis		Taylor & Francis Online	10.1080/wjsa21	tandf:wjsa21	2168-3565	2168-3573		Unique_Item_Requests	3	3	0
Agroecology and Sustainable Food Systems	Taylor & Francis		Taylor & Francis Online	10.1080/wjsa21	tandf:wjsa21	2168-3565	2168-3573		Total_Item_Requests	5	5	0
AJOB Empirical Bioethics	Taylor & Francis		Taylor & Francis Online	10.1080/uabr21	tandf:uabr21	2329-4515	2329-4523		Unique_Item_Requests	1	1	0
AJOB Empirical Bioethics	Taylor & Francis		Taylor & Francis Online	10.1080/uabr21	tandf:uabr21	2329-4515	2329-4523		Total_Item_Requests	1	1	0
AJOB Neuroscience	Taylor & Francis		Taylor & Francis Online	10.1080/uabn20	tandf:uabn20	2150-7740	2150-7759		Unique_Item_Requests	1	1	0
AJOB Neuroscience	Taylor & Francis		Taylor & Francis Online	10.1080/uabn20	tandf:uabn20	2150-7740	2150-7759		Total_Item_Requests	2	2	0
American Journal of Health Education	Routledge		Taylor & Francis Online	10.1080/ujhe20	tandf:ujhe20	1932-5037	2168-3751		Unique_Item_Requests	1	1	0
American Journal of Health Education	Routledge		Taylor & Francis Online	10.1080/ujhe20	tandf:ujhe20	1932-5037	2168-3751		Total_Item_Requests	2	2	0
American Journal of Sexuality Education	Taylor & Francis		Taylor & Francis Online	10.1080/wajs20	tandf:wajs20	1554-6128	1554-6136		Unique_Item_Requests	1	1	0
American Journal of Sexuality Education	Taylor & Francis		Taylor & Francis Online	10.1080/wajs20	tandf:wajs20	1554-6128	1554-6136		Total_Item_Requests	1	1	0
American Review of Canadian Studies	Routledge		Taylor & Francis Online	10.1080/rarc20	tandf:rarc20	0272-2011	1943-9954		Unique_Item_Requests	1	1	0
American Review of Canadian Studies	Routledge		Taylor & Francis Online	10.1080/rarc20	tandf:rarc20	0272-2011	1943-9954		Total_Item_Requests	1	1	0
Annals of GIS	Taylor & Francis		Taylor & Francis Online	10.1080/tagi20	tandf:tagi20	1947-5683	1947-5691		Unique_Item_Requests	1	1	0
Annals of GIS	Taylor & Francis		Taylor & Francis Online	10.1080/tagi20	tandf:tagi20	1947-5683	1947-5691		Total_Item_Requests	1	1	0
Annals of the American Association of Geographers	Taylor & Francis		Taylor & Francis Online	10.1080/raag21	tandf:raag21	2469-4452	2469-4460		Unique_Item_Requests	3	3	0
Annals of the American Association of Geographers	Taylor & Francis		Taylor & Francis Online	10.1080/raag21	tandf:raag21	2469-4452	2469-4460		Total_Item_Requests	4	4	0
Anthropological Forum	Routledge		Taylor & Francis Online	10.1080/canf20	tandf:canf20	0066-4677	1469-2902		Unique_Item_Requests	2	2	0
Anthropological Forum	Routledge		Taylor & Francis Online	10.1080/canf20	tandf:canf20	0066-4677	1469-2902		Total_Item_Requests	2	2	0
Anthropology Now	Routledge		Taylor & Francis Online	10.1080/uann20	tandf:uann20	1942-8200	1949-2901		Unique_Item_Requests	2	2	0
Anthropology Now	Routledge		Taylor & Francis Online	10.1080/uann20	tandf:uann20	1942-8200	1949-2901		Total_Item_Requests	2	2	0
Anthrozoös	Routledge		Taylor & Francis Online	10.1080/rfan20	tandf:rfan20	0892-7936	1753-0377		Unique_Item_Requests	7	7	0
Anthrozoös	Routledge		Taylor & Francis Online	10.1080/rfan20	tandf:rfan20	0892-7936	1753-0377		Total_Item_Requests	7	7	0
Applied Developmental Science	Routledge		Taylor & Francis Online	10.1080/hads20	tandf:hads20	1088-8691	1532-480X		Unique_Item_Requests	1	1	0
Applied Developmental Science	Routledge		Taylor & Francis Online	10.1080/hads20	tandf:hads20	1088-8691	1532-480X		Total_Item_Requests	2	2	0
Applied Economics	Routledge		Taylor & Francis Online	10.1080/raec20	tandf:raec20	0003-6846	1466-4283		Unique_Item_Requests	8	8	0
Applied Economics	Routledge		Taylor & Francis Online	10.1080/raec20	tandf:raec20	0003-6846	1466-4283		Total_Item_Requests	16	16	0
Applied Economics Letters	Routledge		Taylor & Francis Online	10.1080/rael20	tandf:rael20	1350-4851	1466-4291		Unique_Item_Requests	1	1	0
Applied Economics Letters	Routledge		Taylor & Francis Online	10.1080/rael20	tandf:rael20	1350-4851	1466-4291		Total_Item_Requests	2	2	0
Applied Environmental Education & Communication	Routledge		Taylor & Francis Online	10.1080/ueec20	tandf:ueec20	1533-015X	1533-0389		Unique_Item_Requests	4	4	0
Applied Environmental Education & Communication	Routledge		Taylor & Francis Online	10.1080/ueec20	tandf:ueec20	1533-015X	1533-0389		Total_Item_Requests	6	6	0
Applied Neuropsychology: Adult	Routledge		Taylor & Francis Online	10.1080/hapn21	tandf:hapn21	2327-9095	2327-9109		Unique_Item_Requests	1	1	0
Applied Neuropsychology: Adult	Routledge		Taylor & Francis Online	10.1080/hapn21	tandf:hapn21	2327-9095	2327-9109		Total_Item_Requests	2	2	0
Archives of Suicide Research	Routledge		Taylor & Francis Online	10.1080/usui20	tandf:usui20	1381-1118	1543-6136		Unique_Item_Requests	2	2	0
Archives of Suicide Research	Routledge		Taylor & Francis Online	10.1080/usui20	tandf:usui20	1381-1118	1543-6136		Total_Item_Requests	2	2	0
Artificial Cells, Nanomedicine, and Biotechnology	Taylor & Francis		Taylor & Francis Online	10.1080/ianb20	tandf:ianb20	2169-1401	2169-141X		Unique_Item_Requests	2	2	0
Artificial Cells, Nanomedicine, and Biotechnology	Taylor & Francis		Taylor & Francis Online	10.1080/ianb20	tandf:ianb20	2169-1401	2169-141X		Total_Item_Requests	4	4	0
Asia Pacific Journal of Tourism Research	Routledge		Taylor & Francis Online	10.1080/rapt20	tandf:rapt20	1094-1665	1741-6507		Unique_Item_Requests	2	2	0
Asia Pacific Journal of Tourism Research	Routledge		Taylor & Francis Online	10.1080/rapt20	tandf:rapt20	1094-1665	1741-6507		Total_Item_Requests	4	4	0
Asia-Pacific Journal of Teacher Education	Routledge		Taylor & Francis Online	10.1080/capj20	tandf:capj20	1359-866X	1469-2945		Unique_Item_Requests	1	1	0
Asia-Pacific Journal of Teacher Education	Routledge		Taylor & Francis Online	10.1080/capj20	tandf:capj20	1359-866X	1469-2945		Total_Item_Requests	2	2	0
Asian Anthropology	Routledge		Taylor & Francis Online	10.1080/raan20	tandf:raan20	1683-478X	2168-4227		Unique_Item_Requests	1	1	0
Asian Anthropology	Routledge		Taylor & Francis Online	10.1080/raan20	tandf:raan20	1683-478X	2168-4227		Total_Item_Requests	1	1	0
Asian Ethnicity	Routledge		Taylor & Francis Online	10.1080/caet20	tandf:caet20	1463-1369	1469-2953		Unique_Item_Requests	2	2	0
Asian Ethnicity	Routledge		Taylor & Francis Online	10.1080/caet20	tandf:caet20	1463-1369	1469-2953		Total_Item_Requests	3	3	0
Assessment & Evaluation in Higher Education	Routledge		Taylor & Francis Online	10.1080/caeh20	tandf:caeh20	0260-2938	1469-297X		Unique_Item_Requests	1	1	0
Assessment & Evaluation in Higher Education	Routledge		Taylor & Francis Online	10.1080/caeh20	tandf:caeh20	0260-2938	1469-297X		Total_Item_Requests	1	1	0
Atmosphere-Ocean	Taylor & Francis		Taylor & Francis Online	10.1080/tato20	tandf:tato20	0705-5900	1480-9214		Unique_Item_Requests	1	1	0
Atmosphere-Ocean	Taylor & Francis		Taylor & Francis Online	10.1080/tato20	tandf:tato20	0705-5900	1480-9214		Total_Item_Requests	2	2	0
Attachment & Human Development	Routledge		Taylor & Francis Online	10.1080/rahd20	tandf:rahd20	1461-6734	1469-2988		Unique_Item_Requests	2	2	0
Attachment & Human Development	Routledge		Taylor & Francis Online	10.1080/rahd20	tandf:rahd20	1461-6734	1469-2988		Total_Item_Requests	2	2	0
Australasian Journal of Philosophy	Routledge		Taylor & Francis Online	10.1080/rajp20	tandf:rajp20	0004-8402	1471-6828		Unique_Item_Requests	1	1	0
Australasian Journal of Philosophy	Routledge		Taylor & Francis Online	10.1080/rajp20	tandf:rajp20	0004-8402	1471-6828		Total_Item_Requests	2	2	0
Australian Feminist Studies	Routledge		Taylor & Francis Online	10.1080/cafs20	tandf:cafs20	0816-4649	1465-3303		Unique_Item_Requests	1	1	0
Australian Feminist Studies	Routledge		Taylor & Francis Online	10.1080/cafs20	tandf:cafs20	0816-4649	1465-3303		Total_Item_Requests	2	2	0
Australian Journal of Political Science	Routledge		Taylor & Francis Online	10.1080/cajp20	tandf:cajp20	1036-1146	1363-030X		Unique_Item_Requests	2	2	0
Australian Journal of Political Science	Routledge		Taylor & Francis Online	10.1080/cajp20	tandf:cajp20	1036-1146	1363-030X		Total_Item_Requests	3	3	0
Australian Journal of Psychology	Routledge		Taylor & Francis Online	10.1080/raup20	tandf:raup20	0004-9530	1742-9536		Unique_Item_Requests	1	1	0
Australian Journal of Psychology	Routledge		Taylor & Francis Online	10.1080/raup20	tandf:raup20	0004-9530	1742-9536		Total_Item_Requests	2	2	0
Australian Psychologist	Routledge		Taylor & Francis Online	10.1080/rapy20	tandf:rapy20	0005-0067	1742-9544		Unique_Item_Requests	1	1	0
Australian Psychologist	Routledge		Taylor & Francis Online	10.1080/rapy20	tandf:rapy20	0005-0067	1742-9544		Total_Item_Requests	1	1	0
Autophagy	Taylor & Francis		Taylor & Francis Online	10.1080/kaup20	tandf:kaup20	1554-8627	1554-8635		Unique_Item_Requests	2	2	0
Autophagy	Taylor & Francis		Taylor & Francis Online	10.1080/kaup20	tandf:kaup20	1554-8627	1554-8635		Total_Item_Requests	3	3	0
Avian Pathology	Taylor & Francis		Taylor & Francis Online	10.1080/cavp20	tandf:cavp20	0307-9457	1465-3338		Unique_Item_Requests	3	3	0
Avian Pathology	Taylor & Francis		Taylor & Francis Online	10.1080/cavp20	tandf:cavp20	0307-9457	1465-3338		Total_Item_Requests	3	3	0
Baylor University Medical Center Proceedings	Taylor & Francis		Taylor & Francis Online	10.1080/ubmc20	tandf:ubmc20	0899-8280	1525-3252		Unique_Item_Requests	3	3	0
Baylor University Medical Center Proceedings	Taylor & Francis		Taylor & Francis Online	10.1080/ubmc20	tandf:ubmc20	0899-8280	1525-3252		Total_Item_Requests	3	3	0
Bioscience, Biotechnology, and Biochemistry	Taylor & Francis		Taylor & Francis Online	10.1080/tbbb20	tandf:tbbb20	0916-8451	1347-6947		Unique_Item_Requests	1	1	0
Bioscience, Biotechnology, and Biochemistry	Taylor & Francis		Taylor & Francis Online	10.1080/tbbb20	tandf:tbbb20	0916-8451	1347-6947		Total_Item_Requests	1	1	0
Black Theology	Routledge		Taylor & Francis Online	10.1080/yblt20	tandf:yblt20	1476-9948	1743-1670		Unique_Item_Requests	1	1	0
Black Theology	Routledge		Taylor & Francis Online	10.1080/yblt20	tandf:yblt20	1476-9948	1743-1670		Total_Item_Requests	1	1	0
Body, Movement and Dance in Psychotherapy	Taylor & Francis		Taylor & Francis Online	10.1080/tbmd20	tandf:tbmd20	1743-2979	1743-2987		Unique_Item_Requests	1	1	0
Body, Movement and Dance in Psychotherapy	Taylor & Francis		Taylor & Francis Online	10.1080/tbmd20	tandf:tbmd20	1743-2979	1743-2987		Total_Item_Requests	1	1	0
British Journal of Guidance & Counselling	Routledge		Taylor & Francis Online	10.1080/cbjg20	tandf:cbjg20	0306-9885	1469-3534		Unique_Item_Requests	1	1	0
British Journal of Guidance & Counselling	Routledge		Taylor & Francis Online	10.1080/cbjg20	tandf:cbjg20	0306-9885	1469-3534		Total_Item_Requests	1	1	0
British Poultry Science	Taylor & Francis		Taylor & Francis Online	10.1080/cbps20	tandf:cbps20	0007-1668	1466-1799		Unique_Item_Requests	2	2	0
British Poultry Science	Taylor & Francis		Taylor & Francis Online	10.1080/cbps20	tandf:cbps20	0007-1668	1466-1799		Total_Item_Requests	2	2	0
Brontë Studies	Routledge		Taylor & Francis Online	10.1080/ybst20	tandf:ybst20	1474-8932	1745-8226		Unique_Item_Requests	2	2	0
Brontë Studies	Routledge		Taylor & Francis Online	10.1080/ybst20	tandf:ybst20	1474-8932	1745-8226		Total_Item_Requests	2	2	0
Cambridge Journal of Education	Routledge		Taylor & Francis Online	10.1080/ccje20	tandf:ccje20	0305-764X	1469-3577		Unique_Item_Requests	1	1	0
Cambridge Journal of Education	Routledge		Taylor & Francis Online	10.1080/ccje20	tandf:ccje20	0305-764X	1469-3577		Total_Item_Requests	2	2	0
