Report_Name	Journal Article Requests
Report_ID	IR_A1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	tandf:1453391
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Article; Parent_Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T06:04:00Z
Created_By	Taylor & Francis

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Article_Version	Parent_DOI	Parent_Proprietary_ID	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
50 Years of Religion and Education: Evolution and Transformation of the Treatment of Religion in Higher Education	Routledge		Taylor & Francis Online	Michael D. Waggoner; 	2023-08-01	VoR	10.1080/15507394.2023.2232606					Religion & Education			10.1080/urel20	tandf:urel20	1550-7394	1949-8381		Controlled	Unique_Item_Requests	1	1	0
50 Years of Religion and Education: Evolution and Transformation of the Treatment of Religion in Higher Education	Routledge		Taylor & Francis Online	Michael D. Waggoner; 	2023-08-01	VoR	10.1080/15507394.2023.2232606					Religion & Education			10.1080/urel20	tandf:urel20	1550-7394	1949-8381		Controlled	Total_Item_Requests	1	1	0
A call to action: exploring and responding to educational developers’ workplace burnout and well-being in higher education	Routledge		Taylor & Francis Online	Klodiana Kolomitro, Natasha Kenny, Suzanne Le-May Sheffield; 	2019-12-27	VoR	10.1080/1360144X.2019.1705303					International Journal for Academic Development			10.1080/rija20	tandf:rija20	1360-144X	1470-1324		Controlled	Unique_Item_Requests	1	1	0
A call to action: exploring and responding to educational developers’ workplace burnout and well-being in higher education	Routledge		Taylor & Francis Online	Klodiana Kolomitro, Natasha Kenny, Suzanne Le-May Sheffield; 	2019-12-27	VoR	10.1080/1360144X.2019.1705303					International Journal for Academic Development			10.1080/rija20	tandf:rija20	1360-144X	1470-1324		Controlled	Total_Item_Requests	1	1	0
A Canadian study of coming full circle to traditional Aboriginal pedagogy: a pedagogy for the 21st century	Routledge		Taylor & Francis Online	Theresa A. Papp; 	2019-08-21	VoR	10.1080/15595692.2019.1652587					Diaspora, Indigenous, and Minority Education			10.1080/hdim20	tandf:hdim20	1559-5692	1559-5706		Controlled	Unique_Item_Requests	4	4	0
A Canadian study of coming full circle to traditional Aboriginal pedagogy: a pedagogy for the 21st century	Routledge		Taylor & Francis Online	Theresa A. Papp; 	2019-08-21	VoR	10.1080/15595692.2019.1652587					Diaspora, Indigenous, and Minority Education			10.1080/hdim20	tandf:hdim20	1559-5692	1559-5706		Controlled	Total_Item_Requests	7	7	0
A comparative high-altitude meteorological analysis from three catchments in the Nepalese Himalaya	Routledge		Taylor & Francis Online	J.M. Shea, W.W. Immerzeel, P. Wagnon, R. Biron, F. Brun, F. Pellicciotti; 	2015-04-18	VoR	10.1080/07900627.2015.1020417					International Journal of Water Resources Development			10.1080/cijw20	tandf:cijw20	0790-0627	1360-0648		OA_Gold	Unique_Item_Requests	1	1	0
A comparative high-altitude meteorological analysis from three catchments in the Nepalese Himalaya	Routledge		Taylor & Francis Online	J.M. Shea, W.W. Immerzeel, P. Wagnon, R. Biron, F. Brun, F. Pellicciotti; 	2015-04-18	VoR	10.1080/07900627.2015.1020417					International Journal of Water Resources Development			10.1080/cijw20	tandf:cijw20	0790-0627	1360-0648		OA_Gold	Total_Item_Requests	1	1	0
A comparison of reading aloud, silent reading and follower reading. Which is best for comprehension? / Una comparación de lectura en voz alta, lectura en silencio y lectura de seguimiento. ¿Cuál es mejor para la comprensión?	Routledge		Taylor & Francis Online	María-Ángeles Melero, María-Belén Izquierdo, Héctor García-Rodicio; 	2017-09-06	VoR	10.1080/02103702.2017.1364038					Journal for the Study of Education and Development			10.1080/riya20	tandf:riya20	0210-3702	1578-4126		Controlled	Unique_Item_Requests	1	1	0
A comparison of reading aloud, silent reading and follower reading. Which is best for comprehension? / Una comparación de lectura en voz alta, lectura en silencio y lectura de seguimiento. ¿Cuál es mejor para la comprensión?	Routledge		Taylor & Francis Online	María-Ángeles Melero, María-Belén Izquierdo, Héctor García-Rodicio; 	2017-09-06	VoR	10.1080/02103702.2017.1364038					Journal for the Study of Education and Development			10.1080/riya20	tandf:riya20	0210-3702	1578-4126		Controlled	Total_Item_Requests	3	3	0
A complexity-informed examination of educational development services of a university’s teaching and learning centre	Routledge		Taylor & Francis Online	Cheryl Poth, Janice Miller-Young, Luis (Francisco) Vargas-Madriz; 	2023-12-27	VoR	10.1080/1360144X.2023.2286983					International Journal for Academic Development			10.1080/rija20	tandf:rija20	1360-144X	1470-1324		Controlled	Unique_Item_Requests	7	7	0
A complexity-informed examination of educational development services of a university’s teaching and learning centre	Routledge		Taylor & Francis Online	Cheryl Poth, Janice Miller-Young, Luis (Francisco) Vargas-Madriz; 	2023-12-27	VoR	10.1080/1360144X.2023.2286983					International Journal for Academic Development			10.1080/rija20	tandf:rija20	1360-144X	1470-1324		Controlled	Total_Item_Requests	10	10	0
