Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	tandf:1453391
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Method
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T06:03:31Z
Created_By	Taylor & Francis

Platform	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Taylor & Francis Online	Platform	Regular	Searches_Platform	64	64	0
Taylor & Francis Online	Journal	Regular	Unique_Item_Investigations	1295	1295	0
Taylor & Francis Online	Journal	Regular	Unique_Item_Requests	1146	1146	0
Taylor & Francis Online	Journal	Regular	Total_Item_Requests	1766	1766	0
Taylor & Francis Online	Journal	Regular	Total_Item_Investigations	2083	2083	0
