Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	tandf:1453391
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Section_Type|Access_Type|Access_Method|YOP
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T06:04:35Z
Created_By	Taylor & Francis

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Data_Type	Section_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Acta Agriculturae Scandinavica, Section B — Soil & Plant Science	Taylor & Francis		Taylor & Francis Online	10.1080/sagb20	tandf:sagb20		0906-4710	1651-1913		Journal	Article	2019	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
Acta Agriculturae Scandinavica, Section B — Soil & Plant Science	Taylor & Francis		Taylor & Francis Online	10.1080/sagb20	tandf:sagb20		0906-4710	1651-1913		Journal	Article	2019	OA_Gold	Regular	Unique_Item_Requests	1	1	0
Acta Agriculturae Scandinavica, Section B — Soil & Plant Science	Taylor & Francis		Taylor & Francis Online	10.1080/sagb20	tandf:sagb20		0906-4710	1651-1913		Journal	Article	2019	OA_Gold	Regular	Total_Item_Investigations	1	1	0
Acta Agriculturae Scandinavica, Section B — Soil & Plant Science	Taylor & Francis		Taylor & Francis Online	10.1080/sagb20	tandf:sagb20		0906-4710	1651-1913		Journal	Article	2019	OA_Gold	Regular	Total_Item_Requests	1	1	0
Acta Odontologica Scandinavica	Taylor & Francis		Taylor & Francis Online	10.1080/iode20	tandf:iode20		0001-6357	1502-3850		Journal	Article	1994	Controlled	Regular	Unique_Item_Investigations	1	1	0
Acta Odontologica Scandinavica	Taylor & Francis		Taylor & Francis Online	10.1080/iode20	tandf:iode20		0001-6357	1502-3850		Journal	Article	1994	Controlled	Regular	Total_Item_Investigations	1	1	0
Acta Oncologica	Taylor & Francis		Taylor & Francis Online	10.1080/ionc20	tandf:ionc20		0284-186X	1651-226X		Journal	Article	2023	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
Acta Oncologica	Taylor & Francis		Taylor & Francis Online	10.1080/ionc20	tandf:ionc20		0284-186X	1651-226X		Journal	Article	2023	OA_Gold	Regular	Unique_Item_Requests	1	1	0
Acta Oncologica	Taylor & Francis		Taylor & Francis Online	10.1080/ionc20	tandf:ionc20		0284-186X	1651-226X		Journal	Article	2023	OA_Gold	Regular	Total_Item_Investigations	1	1	0
Acta Oncologica	Taylor & Francis		Taylor & Francis Online	10.1080/ionc20	tandf:ionc20		0284-186X	1651-226X		Journal	Article	2023	OA_Gold	Regular	Total_Item_Requests	1	1	0
Activities, Adaptation & Aging	Routledge		Taylor & Francis Online	10.1080/waaa20	tandf:waaa20		0192-4788	1544-4368		Journal	Article	2019	Controlled	Regular	Unique_Item_Investigations	1	1	0
Activities, Adaptation & Aging	Routledge		Taylor & Francis Online	10.1080/waaa20	tandf:waaa20		0192-4788	1544-4368		Journal	Article	2019	Controlled	Regular	Unique_Item_Requests	1	1	0
Activities, Adaptation & Aging	Routledge		Taylor & Francis Online	10.1080/waaa20	tandf:waaa20		0192-4788	1544-4368		Journal	Article	2019	Controlled	Regular	Total_Item_Investigations	2	2	0
Activities, Adaptation & Aging	Routledge		Taylor & Francis Online	10.1080/waaa20	tandf:waaa20		0192-4788	1544-4368		Journal	Article	2019	Controlled	Regular	Total_Item_Requests	2	2	0
Adelphi Series	Routledge		Taylor & Francis Online	10.1080/tadl20	tandf:tadl20		1944-5571	1944-558X		Journal	Article	1981	Controlled	Regular	Unique_Item_Investigations	1	1	0
Adelphi Series	Routledge		Taylor & Francis Online	10.1080/tadl20	tandf:tadl20		1944-5571	1944-558X		Journal	Article	1981	Controlled	Regular	Total_Item_Investigations	1	1	0
Adelphi Series	Routledge		Taylor & Francis Online	10.1080/tadl20	tandf:tadl20		1944-5571	1944-558X		Journal	Article	1981	Controlled	Regular	No_License	1	1	0
Adoption Quarterly	Routledge		Taylor & Francis Online	10.1080/wado20	tandf:wado20		1092-6755	1544-452X		Journal	Article	2013	Controlled	Regular	Unique_Item_Investigations	1	1	0
Adoption Quarterly	Routledge		Taylor & Francis Online	10.1080/wado20	tandf:wado20		1092-6755	1544-452X		Journal	Article	2013	Controlled	Regular	Unique_Item_Requests	1	1	0
Adoption Quarterly	Routledge		Taylor & Francis Online	10.1080/wado20	tandf:wado20		1092-6755	1544-452X		Journal	Article	2013	Controlled	Regular	Total_Item_Investigations	1	1	0
