Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	uchicago:117870
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Section_Type|Access_Type|Access_Method|YOP
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T06:06:04Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Data_Type	Section_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
American Journal of Archaeology	The University of Chicago Press		University of Chicago Press Journals	10.1086/aja	uchicago:aja		0002-9114	1939-828X		Journal	Article	2018	Controlled	Regular	Unique_Item_Investigations	1	1	0
American Journal of Archaeology	The University of Chicago Press		University of Chicago Press Journals	10.1086/aja	uchicago:aja		0002-9114	1939-828X		Journal	Article	2018	Controlled	Regular	Total_Item_Investigations	1	1	0
American Journal of Education	The University of Chicago Press		University of Chicago Press Journals	10.1086/aje	uchicago:aje		0195-6744	1549-6511		Journal	Article	1977	Controlled	Regular	Unique_Item_Investigations	1	1	0
American Journal of Education	The University of Chicago Press		University of Chicago Press Journals	10.1086/aje	uchicago:aje		0195-6744	1549-6511		Journal	Article	1977	Controlled	Regular	Total_Item_Investigations	1	1	0
Comparative Education Review	The University of Chicago Press		University of Chicago Press Journals	10.1086/cer	uchicago:cer		0010-4086	1545-701X		Journal	Article	1994	Controlled	Regular	Unique_Item_Investigations	2	2	0
Comparative Education Review	The University of Chicago Press		University of Chicago Press Journals	10.1086/cer	uchicago:cer		0010-4086	1545-701X		Journal	Article	1994	Controlled	Regular	Total_Item_Investigations	2	2	0
Comparative Education Review	The University of Chicago Press		University of Chicago Press Journals	10.1086/cer	uchicago:cer		0010-4086	1545-701X		Journal	Article	1994	Controlled	Regular	No_License	2	2	0
Comparative Education Review	The University of Chicago Press		University of Chicago Press Journals	10.1086/cer	uchicago:cer		0010-4086	1545-701X		Journal	Article	2011	Controlled	Regular	Unique_Item_Investigations	2	2	0
Comparative Education Review	The University of Chicago Press		University of Chicago Press Journals	10.1086/cer	uchicago:cer		0010-4086	1545-701X		Journal	Article	2011	Controlled	Regular	Unique_Item_Requests	2	2	0
Comparative Education Review	The University of Chicago Press		University of Chicago Press Journals	10.1086/cer	uchicago:cer		0010-4086	1545-701X		Journal	Article	2011	Controlled	Regular	Total_Item_Investigations	3	3	0
Comparative Education Review	The University of Chicago Press		University of Chicago Press Journals	10.1086/cer	uchicago:cer		0010-4086	1545-701X		Journal	Article	2011	Controlled	Regular	Total_Item_Requests	3	3	0
Comparative Education Review	The University of Chicago Press		University of Chicago Press Journals	10.1086/cer	uchicago:cer		0010-4086	1545-701X		Journal	Article	2023	Controlled	Regular	Unique_Item_Investigations	1	1	0
Comparative Education Review	The University of Chicago Press		University of Chicago Press Journals	10.1086/cer	uchicago:cer		0010-4086	1545-701X		Journal	Article	2023	Controlled	Regular	Total_Item_Investigations	1	1	0
Comparative Education Review	The University of Chicago Press		University of Chicago Press Journals	10.1086/cer	uchicago:cer		0010-4086	1545-701X		Journal	Article	2023	Controlled	Regular	No_License	1	1	0
Current Anthropology	The University of Chicago Press		University of Chicago Press Journals	10.1086/ca	uchicago:ca		0011-3204	1537-5382		Journal	Article	2013	Controlled	Regular	Unique_Item_Investigations	1	1	0
Current Anthropology	The University of Chicago Press		University of Chicago Press Journals	10.1086/ca	uchicago:ca		0011-3204	1537-5382		Journal	Article	2013	Controlled	Regular	Unique_Item_Requests	1	1	0
