Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	uchicago:117870
Metric_Types	
Report_Filters	
Report_Attributes	Include_Parent_Details=True; Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T06:05:32Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Comparative History of Church-State Relationsin Irish Education	The University of Chicago Press		University of Chicago Press Journals	Judith Harford, Tom O’Donoghue; 	2015-07-17	VoR	10.1086/659871						Comparative Education Review				Journal	10.1086/cer	uchicago:cer		0010-4086	1545-701X												Article	2011	Controlled	Regular	Unique_Item_Investigations	2	2	0
A Comparative History of Church-State Relationsin Irish Education	The University of Chicago Press		University of Chicago Press Journals	Judith Harford, Tom O’Donoghue; 	2015-07-17	VoR	10.1086/659871						Comparative Education Review				Journal	10.1086/cer	uchicago:cer		0010-4086	1545-701X												Article	2011	Controlled	Regular	Unique_Item_Requests	2	2	0
A Comparative History of Church-State Relationsin Irish Education	The University of Chicago Press		University of Chicago Press Journals	Judith Harford, Tom O’Donoghue; 	2015-07-17	VoR	10.1086/659871						Comparative Education Review				Journal	10.1086/cer	uchicago:cer		0010-4086	1545-701X												Article	2011	Controlled	Regular	Total_Item_Requests	3	3	0
A Comparative History of Church-State Relationsin Irish Education	The University of Chicago Press		University of Chicago Press Journals	Judith Harford, Tom O’Donoghue; 	2015-07-17	VoR	10.1086/659871						Comparative Education Review				Journal	10.1086/cer	uchicago:cer		0010-4086	1545-701X												Article	2011	Controlled	Regular	Total_Item_Investigations	3	3	0
A Comparison of Three Methods of Vocabulary Instruction during Read‐Alouds in Kindergarten	The University of Chicago Press		University of Chicago Press Journals	Rebecca Silverman; 	2015-07-17	VoR	10.1086/525549						The Elementary School Journal				Journal	10.1086/esj	uchicago:esj		0013-5984	1554-8279												Article	2007	Controlled	Regular	Unique_Item_Investigations	2	2	0
A Comparison of Three Methods of Vocabulary Instruction during Read‐Alouds in Kindergarten	The University of Chicago Press		University of Chicago Press Journals	Rebecca Silverman; 	2015-07-17	VoR	10.1086/525549						The Elementary School Journal				Journal	10.1086/esj	uchicago:esj		0013-5984	1554-8279												Article	2007	Controlled	Regular	Unique_Item_Requests	2	2	0
A Comparison of Three Methods of Vocabulary Instruction during Read‐Alouds in Kindergarten	The University of Chicago Press		University of Chicago Press Journals	Rebecca Silverman; 	2015-07-17	VoR	10.1086/525549						The Elementary School Journal				Journal	10.1086/esj	uchicago:esj		0013-5984	1554-8279												Article	2007	Controlled	Regular	Total_Item_Requests	2	2	0
A Comparison of Three Methods of Vocabulary Instruction during Read‐Alouds in Kindergarten	The University of Chicago Press		University of Chicago Press Journals	Rebecca Silverman; 	2015-07-17	VoR	10.1086/525549						The Elementary School Journal				Journal	10.1086/esj	uchicago:esj		0013-5984	1554-8279												Article	2007	Controlled	Regular	Total_Item_Investigations	2	2	0
Children's Lives and Academic Achievement in Canada and the United States	The University of Chicago Press		University of Chicago Press Journals	Chad Gaffield; 	2015-10-19	VoR	10.1086/447224						Comparative Education Review				Journal	10.1086/cer	uchicago:cer		0010-4086	1545-701X												Article	1994	Controlled	Regular	No_License	2	2	0
Children's Lives and Academic Achievement in Canada and the United States	The University of Chicago Press		University of Chicago Press Journals	Chad Gaffield; 	2015-10-19	VoR	10.1086/447224						Comparative Education Review				Journal	10.1086/cer	uchicago:cer		0010-4086	1545-701X												Article	1994	Controlled	Regular	Unique_Item_Investigations	2	2	0
