Report_Name	Journal Usage by Access Type
Report_ID	TR_J3
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	uchicago:117870
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T06:05:53Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
American Journal of Archaeology	The University of Chicago Press		University of Chicago Press Journals	10.1086/aja	uchicago:aja	0002-9114	1939-828X		Controlled	Unique_Item_Investigations	1	1	0
American Journal of Archaeology	The University of Chicago Press		University of Chicago Press Journals	10.1086/aja	uchicago:aja	0002-9114	1939-828X		Controlled	Total_Item_Investigations	1	1	0
American Journal of Education	The University of Chicago Press		University of Chicago Press Journals	10.1086/aje	uchicago:aje	0195-6744	1549-6511		Controlled	Unique_Item_Investigations	1	1	0
American Journal of Education	The University of Chicago Press		University of Chicago Press Journals	10.1086/aje	uchicago:aje	0195-6744	1549-6511		Controlled	Total_Item_Investigations	1	1	0
Comparative Education Review	The University of Chicago Press		University of Chicago Press Journals	10.1086/cer	uchicago:cer	0010-4086	1545-701X		Controlled	Unique_Item_Investigations	5	5	0
Comparative Education Review	The University of Chicago Press		University of Chicago Press Journals	10.1086/cer	uchicago:cer	0010-4086	1545-701X		Controlled	Unique_Item_Requests	2	2	0
Comparative Education Review	The University of Chicago Press		University of Chicago Press Journals	10.1086/cer	uchicago:cer	0010-4086	1545-701X		Controlled	Total_Item_Requests	3	3	0
Comparative Education Review	The University of Chicago Press		University of Chicago Press Journals	10.1086/cer	uchicago:cer	0010-4086	1545-701X		Controlled	Total_Item_Investigations	6	6	0
Current Anthropology	The University of Chicago Press		University of Chicago Press Journals	10.1086/ca	uchicago:ca	0011-3204	1537-5382		Controlled	Unique_Item_Investigations	1	1	0
Current Anthropology	The University of Chicago Press		University of Chicago Press Journals	10.1086/ca	uchicago:ca	0011-3204	1537-5382		Controlled	Unique_Item_Requests	1	1	0
Current Anthropology	The University of Chicago Press		University of Chicago Press Journals	10.1086/ca	uchicago:ca	0011-3204	1537-5382		Controlled	Total_Item_Requests	1	1	0
Current Anthropology	The University of Chicago Press		University of Chicago Press Journals	10.1086/ca	uchicago:ca	0011-3204	1537-5382		Controlled	Total_Item_Investigations	1	1	0
Environmental History	The University of Chicago Press		University of Chicago Press Journals	10.1086/eh	uchicago:eh	1084-5453	1930-8892		Controlled	Unique_Item_Investigations	3	3	0
Environmental History	The University of Chicago Press		University of Chicago Press Journals	10.1086/eh	uchicago:eh	1084-5453	1930-8892		Controlled	Unique_Item_Requests	1	1	0
