Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	utoronto:9387e450-faa8-45af-9e22-9709197fea9c
Metric_Types	
Report_Filters	
Report_Attributes	Include_Parent_Details=True; Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T06:06:58Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Unique Spectrum of Care Tool Provides a Self-Regulated Learning Opportunity and Facilitates Client Communication	University of Toronto Press		University of Toronto Press	Ann E. Hohenhaus, David C. Provost; 	2024-01-23	VoR	10.3138/jvme-2023-0144						Journal of Veterinary Medical Education				Journal	10.3138/jvme	utoronto:jvme		0748-321X	1943-7218												Article	9999	Controlled	Regular	Unique_Item_Investigations	1	1	0
A Unique Spectrum of Care Tool Provides a Self-Regulated Learning Opportunity and Facilitates Client Communication	University of Toronto Press		University of Toronto Press	Ann E. Hohenhaus, David C. Provost; 	2024-01-23	VoR	10.3138/jvme-2023-0144						Journal of Veterinary Medical Education				Journal	10.3138/jvme	utoronto:jvme		0748-321X	1943-7218												Article	9999	Controlled	Regular	Unique_Item_Requests	1	1	0
A Unique Spectrum of Care Tool Provides a Self-Regulated Learning Opportunity and Facilitates Client Communication	University of Toronto Press		University of Toronto Press	Ann E. Hohenhaus, David C. Provost; 	2024-01-23	VoR	10.3138/jvme-2023-0144						Journal of Veterinary Medical Education				Journal	10.3138/jvme	utoronto:jvme		0748-321X	1943-7218												Article	9999	Controlled	Regular	Total_Item_Requests	1	1	0
A Unique Spectrum of Care Tool Provides a Self-Regulated Learning Opportunity and Facilitates Client Communication	University of Toronto Press		University of Toronto Press	Ann E. Hohenhaus, David C. Provost; 	2024-01-23	VoR	10.3138/jvme-2023-0144						Journal of Veterinary Medical Education				Journal	10.3138/jvme	utoronto:jvme		0748-321X	1943-7218												Article	9999	Controlled	Regular	Total_Item_Investigations	1	1	0
Animal Welfare Training at the Ontario Veterinary College	University of Toronto Press		University of Toronto Press	Cindy L. Adams, Patricia V. Turner, Suzanne T. Millman; 	2015-09-09	VoR	10.3138/jvme.32.4.447						Journal of Veterinary Medical Education				Journal	10.3138/jvme	utoronto:jvme		0748-321X	1943-7218												Article	2005	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
Animal Welfare Training at the Ontario Veterinary College	University of Toronto Press		University of Toronto Press	Cindy L. Adams, Patricia V. Turner, Suzanne T. Millman; 	2015-09-09	VoR	10.3138/jvme.32.4.447						Journal of Veterinary Medical Education				Journal	10.3138/jvme	utoronto:jvme		0748-321X	1943-7218												Article	2005	OA_Gold	Regular	Unique_Item_Requests	1	1	0
Animal Welfare Training at the Ontario Veterinary College	University of Toronto Press		University of Toronto Press	Cindy L. Adams, Patricia V. Turner, Suzanne T. Millman; 	2015-09-09	VoR	10.3138/jvme.32.4.447						Journal of Veterinary Medical Education				Journal	10.3138/jvme	utoronto:jvme		0748-321X	1943-7218												Article	2005	OA_Gold	Regular	Total_Item_Requests	1	1	0
Animal Welfare Training at the Ontario Veterinary College	University of Toronto Press		University of Toronto Press	Cindy L. Adams, Patricia V. Turner, Suzanne T. Millman; 	2015-09-09	VoR	10.3138/jvme.32.4.447						Journal of Veterinary Medical Education				Journal	10.3138/jvme	utoronto:jvme		0748-321X	1943-7218												Article	2005	OA_Gold	Regular	Total_Item_Investigations	3	3	0
Animal-Handling Teaching at the Royal (Dick) School of Veterinary Studies, University of Edinburgh	University of Toronto Press		University of Toronto Press	David D.S. Collie, Gidona Goodman, Jo-Anne Murray, Kay Aitchison, Michael S. Cockram; 	2011-02-04	VoR	10.3138/jvme.34.5.554						Journal of Veterinary Medical Education				Journal	10.3138/jvme	utoronto:jvme		0748-321X	1943-7218												Article	2007	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
Animal-Handling Teaching at the Royal (Dick) School of Veterinary Studies, University of Edinburgh	University of Toronto Press		University of Toronto Press	David D.S. Collie, Gidona Goodman, Jo-Anne Murray, Kay Aitchison, Michael S. Cockram; 	2011-02-04	VoR	10.3138/jvme.34.5.554						Journal of Veterinary Medical Education				Journal	10.3138/jvme	utoronto:jvme		0748-321X	1943-7218												Article	2007	OA_Gold	Regular	Unique_Item_Requests	1	1	0
