Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	utoronto:9387e450-faa8-45af-9e22-9709197fea9c
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Section_Type|Access_Type|Access_Method|YOP
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T06:07:30Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Data_Type	Section_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Canadian Journal of Communication	University of Toronto Press		University of Toronto Press	10.3138/cjc	utoronto:cjc		0705-3657	1499-6642		Journal	Article	2023	Controlled	Regular	No_License	1	1	0
Canadian Journal of Communication	University of Toronto Press		University of Toronto Press	10.3138/cjc	utoronto:cjc		0705-3657	1499-6642		Journal	Article	2023	Controlled	Regular	Unique_Item_Investigations	1	1	0
Canadian Journal of Communication	University of Toronto Press		University of Toronto Press	10.3138/cjc	utoronto:cjc		0705-3657	1499-6642		Journal	Article	2023	Controlled	Regular	Total_Item_Investigations	1	1	0
Canadian Public Policy	University of Toronto Press		University of Toronto Press	10.3138/cpp	utoronto:cpp		0317-0861	1911-9917		Journal	Article	2021	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
Canadian Public Policy	University of Toronto Press		University of Toronto Press	10.3138/cpp	utoronto:cpp		0317-0861	1911-9917		Journal	Article	2021	OA_Gold	Regular	Total_Item_Requests	1	1	0
Canadian Public Policy	University of Toronto Press		University of Toronto Press	10.3138/cpp	utoronto:cpp		0317-0861	1911-9917		Journal	Article	2021	OA_Gold	Regular	Total_Item_Investigations	1	1	0
Canadian Public Policy	University of Toronto Press		University of Toronto Press	10.3138/cpp	utoronto:cpp		0317-0861	1911-9917		Journal	Article	2021	OA_Gold	Regular	Unique_Item_Requests	1	1	0
Journal of Military, Veteran and Family Health	University of Toronto Press		University of Toronto Press	10.3138/jmvfh	utoronto:jmvfh			2368-7924		Journal	Article	2021	OA_Gold	Regular	Unique_Item_Investigations	3	3	0
Journal of Military, Veteran and Family Health	University of Toronto Press		University of Toronto Press	10.3138/jmvfh	utoronto:jmvfh			2368-7924		Journal	Article	2021	OA_Gold	Regular	Total_Item_Requests	5	5	0
Journal of Military, Veteran and Family Health	University of Toronto Press		University of Toronto Press	10.3138/jmvfh	utoronto:jmvfh			2368-7924		Journal	Article	2021	OA_Gold	Regular	Total_Item_Investigations	5	5	0
Journal of Military, Veteran and Family Health	University of Toronto Press		University of Toronto Press	10.3138/jmvfh	utoronto:jmvfh			2368-7924		Journal	Article	2021	OA_Gold	Regular	Unique_Item_Requests	3	3	0
Journal of Veterinary Medical Education	University of Toronto Press		University of Toronto Press	10.3138/jvme	utoronto:jvme		0748-321X	1943-7218		Journal	Article	2005	OA_Gold	Regular	Unique_Item_Investigations	2	2	0
Journal of Veterinary Medical Education	University of Toronto Press		University of Toronto Press	10.3138/jvme	utoronto:jvme		0748-321X	1943-7218		Journal	Article	2005	OA_Gold	Regular	Total_Item_Requests	1	1	0
Journal of Veterinary Medical Education	University of Toronto Press		University of Toronto Press	10.3138/jvme	utoronto:jvme		0748-321X	1943-7218		Journal	Article	2005	OA_Gold	Regular	Total_Item_Investigations	4	4	0
Journal of Veterinary Medical Education	University of Toronto Press		University of Toronto Press	10.3138/jvme	utoronto:jvme		0748-321X	1943-7218		Journal	Article	2005	OA_Gold	Regular	Unique_Item_Requests	1	1	0
Journal of Veterinary Medical Education	University of Toronto Press		University of Toronto Press	10.3138/jvme	utoronto:jvme		0748-321X	1943-7218		Journal	Article	2006	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
Journal of Veterinary Medical Education	University of Toronto Press		University of Toronto Press	10.3138/jvme	utoronto:jvme		0748-321X	1943-7218		Journal	Article	2006	OA_Gold	Regular	Total_Item_Requests	1	1	0
Journal of Veterinary Medical Education	University of Toronto Press		University of Toronto Press	10.3138/jvme	utoronto:jvme		0748-321X	1943-7218		Journal	Article	2006	OA_Gold	Regular	Total_Item_Investigations	1	1	0
Journal of Veterinary Medical Education	University of Toronto Press		University of Toronto Press	10.3138/jvme	utoronto:jvme		0748-321X	1943-7218		Journal	Article	2006	OA_Gold	Regular	Unique_Item_Requests	1	1	0
