Report_Name	Book Access Denied
Report_ID	TR_B2
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	utoronto:9387e450-faa8-45af-9e22-9709197fea9c
Metric_Types	Limit_Exceeded; No_License
Report_Filters	Access_Method=Regular; Data_Type=Book
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3030: No Usage Available for Requested Dates (Requested data between 2024-01-01 and 2024-01-31)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T06:06:37Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
