Report_Name	Journal Usage by Access Type
Report_ID	TR_J3
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	utoronto:9387e450-faa8-45af-9e22-9709197fea9c
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T06:07:20Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Canadian Journal of Communication	University of Toronto Press		University of Toronto Press	10.3138/cjc	utoronto:cjc	0705-3657	1499-6642		Controlled	Unique_Item_Investigations	1	1	0
Canadian Journal of Communication	University of Toronto Press		University of Toronto Press	10.3138/cjc	utoronto:cjc	0705-3657	1499-6642		Controlled	Total_Item_Investigations	1	1	0
Canadian Public Policy	University of Toronto Press		University of Toronto Press	10.3138/cpp	utoronto:cpp	0317-0861	1911-9917		OA_Gold	Unique_Item_Investigations	1	1	0
Canadian Public Policy	University of Toronto Press		University of Toronto Press	10.3138/cpp	utoronto:cpp	0317-0861	1911-9917		OA_Gold	Unique_Item_Requests	1	1	0
Canadian Public Policy	University of Toronto Press		University of Toronto Press	10.3138/cpp	utoronto:cpp	0317-0861	1911-9917		OA_Gold	Total_Item_Requests	1	1	0
Canadian Public Policy	University of Toronto Press		University of Toronto Press	10.3138/cpp	utoronto:cpp	0317-0861	1911-9917		OA_Gold	Total_Item_Investigations	1	1	0
Journal of Military, Veteran and Family Health	University of Toronto Press		University of Toronto Press	10.3138/jmvfh	utoronto:jmvfh		2368-7924		OA_Gold	Unique_Item_Investigations	3	3	0
Journal of Military, Veteran and Family Health	University of Toronto Press		University of Toronto Press	10.3138/jmvfh	utoronto:jmvfh		2368-7924		OA_Gold	Unique_Item_Requests	3	3	0
Journal of Military, Veteran and Family Health	University of Toronto Press		University of Toronto Press	10.3138/jmvfh	utoronto:jmvfh		2368-7924		OA_Gold	Total_Item_Requests	5	5	0
Journal of Military, Veteran and Family Health	University of Toronto Press		University of Toronto Press	10.3138/jmvfh	utoronto:jmvfh		2368-7924		OA_Gold	Total_Item_Investigations	5	5	0
Journal of Veterinary Medical Education	University of Toronto Press		University of Toronto Press	10.3138/jvme	utoronto:jvme	0748-321X	1943-7218		Controlled	Unique_Item_Investigations	3	3	0
Journal of Veterinary Medical Education	University of Toronto Press		University of Toronto Press	10.3138/jvme	utoronto:jvme	0748-321X	1943-7218		Controlled	Unique_Item_Requests	3	3	0
Journal of Veterinary Medical Education	University of Toronto Press		University of Toronto Press	10.3138/jvme	utoronto:jvme	0748-321X	1943-7218		Controlled	Total_Item_Requests	4	4	0
Journal of Veterinary Medical Education	University of Toronto Press		University of Toronto Press	10.3138/jvme	utoronto:jvme	0748-321X	1943-7218		Controlled	Total_Item_Investigations	4	4	0
Journal of Veterinary Medical Education	University of Toronto Press		University of Toronto Press	10.3138/jvme	utoronto:jvme	0748-321X	1943-7218		OA_Gold	Unique_Item_Investigations	8	8	0
Journal of Veterinary Medical Education	University of Toronto Press		University of Toronto Press	10.3138/jvme	utoronto:jvme	0748-321X	1943-7218		OA_Gold	Unique_Item_Requests	7	7	0
Journal of Veterinary Medical Education	University of Toronto Press		University of Toronto Press	10.3138/jvme	utoronto:jvme	0748-321X	1943-7218		OA_Gold	Total_Item_Requests	7	7	0
Journal of Veterinary Medical Education	University of Toronto Press		University of Toronto Press	10.3138/jvme	utoronto:jvme	0748-321X	1943-7218		OA_Gold	Total_Item_Investigations	10	10	0
The Canadian Journal of Human Sexuality	University of Toronto Press		University of Toronto Press	10.3138/cjhs	utoronto:cjhs	1188-4517	2291-7063		Controlled	Unique_Item_Investigations	8	8	0
The Canadian Journal of Human Sexuality	University of Toronto Press		University of Toronto Press	10.3138/cjhs	utoronto:cjhs	1188-4517	2291-7063		Controlled	Total_Item_Investigations	11	11	0
TOPIA: Canadian Journal of Cultural Studies	University of Toronto Press		University of Toronto Press	10.3138/topia	utoronto:topia	1206-0143	1916-0194		Controlled	Unique_Item_Investigations	1	1	0
TOPIA: Canadian Journal of Cultural Studies	University of Toronto Press		University of Toronto Press	10.3138/topia	utoronto:topia	1206-0143	1916-0194		Controlled	Total_Item_Investigations	1	1	0
Urban History Review	University of Toronto Press		University of Toronto Press	10.3138/uhr	utoronto:uhr	0703-0428	1918-5138		Controlled	Unique_Item_Investigations	1	1	0
Urban History Review	University of Toronto Press		University of Toronto Press	10.3138/uhr	utoronto:uhr	0703-0428	1918-5138		Controlled	Total_Item_Investigations	2	2	0
