Report_Name	Journal Requests by YOP (Excluding OA_Gold)
Report_ID	TR_J4
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	utoronto:9387e450-faa8-45af-9e22-9709197fea9c
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Method=Regular; Access_Type=Controlled
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T06:07:13Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Journal of Veterinary Medical Education	University of Toronto Press		University of Toronto Press	10.3138/jvme	utoronto:jvme	0748-321X	1943-7218		2023	Unique_Item_Requests	1	1	0
Journal of Veterinary Medical Education	University of Toronto Press		University of Toronto Press	10.3138/jvme	utoronto:jvme	0748-321X	1943-7218		2023	Total_Item_Requests	2	2	0
Journal of Veterinary Medical Education	University of Toronto Press		University of Toronto Press	10.3138/jvme	utoronto:jvme	0748-321X	1943-7218		9999	Unique_Item_Requests	2	2	0
Journal of Veterinary Medical Education	University of Toronto Press		University of Toronto Press	10.3138/jvme	utoronto:jvme	0748-321X	1943-7218		9999	Total_Item_Requests	2	2	0
