Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	University Of Prince Edward Island
Institution_ID	aaas:20351555
Metric_Types	
Report_Filters	Data_Type=Book|Database
Report_Attributes	Attributes_To_Show=Data_Type
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-03-31. However only data between 2021-05-01 and 2024-01-31 exists.); 3060: Invalid ReportFilter Value (Filter parameter: DATA_TYPE has invalid value(s): [Article, Dataset]. ); 3030: No Usage Available for Requested Dates (Requested data between 2023-06-01 and 2024-01-31)
Reporting_Period	End_Date=2024-03-31; Begin_Date=2023-06-01
Created	2024-02-29T01:51:56Z
Created_By	Atypon Systems LLC.

Platform	Data_Type	Metric_Type	Reporting_Period_Total	Jun-2023	Jul-2023	Aug-2023	Sep-2023	Oct-2023	Nov-2023	Dec-2023	Jan-2024	Feb-2024	Mar-2024
