Report_Name	Database Master Report
Report_ID	DR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	acm:3659542
Metric_Types	
Report_Filters	Data_Type=Database
Report_Attributes	
Exceptions	3030: No Usage Available for Requested Dates (Requested data between 2023-11-01 and 2023-12-31)
Reporting_Period	Begin_Date=2023-11-01; End_Date=2023-12-31
Created	2024-01-29T06:42:58Z
Created_By	Atypon Systems LLC.

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Metric_Type	Reporting_Period_Total	Nov-2023	Dec-2023
