Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University Of Prince Edward Island
Institution_ID	aaas:20351555
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	End_Date=2024-01-31; Begin_Date=2024-01-01
Created	2024-02-23T05:29:10Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024
A fly enters a virtual reality chamber, and insect science may never be the same	American Association for the Advancement of Science		aaas	10.1126/science.zuri5sh						Unique_Item_Investigations	1	1
A fly enters a virtual reality chamber, and insect science may never be the same	American Association for the Advancement of Science		aaas	10.1126/science.zuri5sh						Unique_Item_Requests	1	1
A fly enters a virtual reality chamber, and insect science may never be the same	American Association for the Advancement of Science		aaas	10.1126/science.zuri5sh						Total_Item_Investigations	1	1
A fly enters a virtual reality chamber, and insect science may never be the same	American Association for the Advancement of Science		aaas	10.1126/science.zuri5sh						Total_Item_Requests	1	1
A History Lesson for Stem Cells	American Association for the Advancement of Science		aaas	10.1126/science.1174935						Unique_Item_Investigations	1	1
A History Lesson for Stem Cells	American Association for the Advancement of Science		aaas	10.1126/science.1174935						Unique_Item_Requests	1	1
A History Lesson for Stem Cells	American Association for the Advancement of Science		aaas	10.1126/science.1174935						Total_Item_Investigations	1	1
A History Lesson for Stem Cells	American Association for the Advancement of Science		aaas	10.1126/science.1174935						Total_Item_Requests	1	1
Alzheimer’s disease may have been transmitted in now-banned hormone treatments	American Association for the Advancement of Science		aaas	10.1126/science.zo8gnzv						Unique_Item_Investigations	1	1
Alzheimer’s disease may have been transmitted in now-banned hormone treatments	American Association for the Advancement of Science		aaas	10.1126/science.zo8gnzv						Unique_Item_Requests	1	1
Alzheimer’s disease may have been transmitted in now-banned hormone treatments	American Association for the Advancement of Science		aaas	10.1126/science.zo8gnzv						Total_Item_Investigations	1	1
Alzheimer’s disease may have been transmitted in now-banned hormone treatments	American Association for the Advancement of Science		aaas	10.1126/science.zo8gnzv						Total_Item_Requests	1	1
An embryonic CaV?1 isoform promotes muscle mass maintenance via GDF5 signaling in adult mouse	American Association for the Advancement of Science		aaas	10.1126/scitranslmed.aaw1131						No_License	1	1
Another Phocine Distemper Outbreak in Europe	American Association for the Advancement of Science		aaas	10.1126/science.1075343						Unique_Item_Investigations	1	1
Another Phocine Distemper Outbreak in Europe	American Association for the Advancement of Science		aaas	10.1126/science.1075343						Unique_Item_Requests	1	1
Another Phocine Distemper Outbreak in Europe	American Association for the Advancement of Science		aaas	10.1126/science.1075343						Total_Item_Investigations	1	1
Another Phocine Distemper Outbreak in Europe	American Association for the Advancement of Science		aaas	10.1126/science.1075343						Total_Item_Requests	1	1
Antimalarial pantothenamide metabolites target acetyl–coenzyme A biosynthesis in Plasmodium falciparum	American Association for the Advancement of Science		aaas	10.1126/scitranslmed.aas9917						Unique_Item_Investigations	1	1
Antimalarial pantothenamide metabolites target acetyl–coenzyme A biosynthesis in Plasmodium falciparum	American Association for the Advancement of Science		aaas	10.1126/scitranslmed.aas9917						Unique_Item_Requests	1	1
Antimalarial pantothenamide metabolites target acetyl–coenzyme A biosynthesis in Plasmodium falciparum	American Association for the Advancement of Science		aaas	10.1126/scitranslmed.aas9917						Total_Item_Investigations	2	2
