Report_Name	Journal Article Requests
Report_ID	IR_A1
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	arrs:638004
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Data_Type=Article; Parent_Data_Type=Journal
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T22:54:18Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Article_Version	Parent_DOI	Parent_Proprietary_ID	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Diagnostic Accuracy of Ultrasound for Assessment of Hemophilic Arthropathy: MRI Correlation	American Roentgen Ray Society		American Roentgen Ray Society	Alok Srivastava, Andrea S. Doria, Arun Mohanta, Jose Jarrin, M. L. Kavitha, Pamela Hilliard, Pradeep Poonnoose, Rahim Moineddin, Shyamkumar N. Keshava, Sridhar Gibikote, Victor Blanchette; 	2015-02-25	VoR	10.2214/AJR.14.12501					American Journal of Roentgenology			10.2214/ajr	arrs:ajr	0361-803X	1546-3141		Controlled	Unique_Item_Requests	1	1	0
Diagnostic Accuracy of Ultrasound for Assessment of Hemophilic Arthropathy: MRI Correlation	American Roentgen Ray Society		American Roentgen Ray Society	Alok Srivastava, Andrea S. Doria, Arun Mohanta, Jose Jarrin, M. L. Kavitha, Pamela Hilliard, Pradeep Poonnoose, Rahim Moineddin, Shyamkumar N. Keshava, Sridhar Gibikote, Victor Blanchette; 	2015-02-25	VoR	10.2214/AJR.14.12501					American Journal of Roentgenology			10.2214/ajr	arrs:ajr	0361-803X	1546-3141		Controlled	Total_Item_Requests	1	1	0
Imaging of Acute Small-Bowel Obstruction	American Roentgen Ray Society		American Roentgen Ray Society	Brian Kai, Jenny Su, Karim Ahamed, Savvas Nicolaou, Stephen Ho; 	2012-11-23	VoR	10.2214/AJR.04.0815					American Journal of Roentgenology			10.2214/ajr	arrs:ajr	0361-803X	1546-3141		Controlled	Unique_Item_Requests	1	1	0
Imaging of Acute Small-Bowel Obstruction	American Roentgen Ray Society		American Roentgen Ray Society	Brian Kai, Jenny Su, Karim Ahamed, Savvas Nicolaou, Stephen Ho; 	2012-11-23	VoR	10.2214/AJR.04.0815					American Journal of Roentgenology			10.2214/ajr	arrs:ajr	0361-803X	1546-3141		Controlled	Total_Item_Requests	1	1	0
