Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	Silverchair:3217
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T00:00:00Z
Created_By	Silverchair

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
American Society of Mechanical Engineers Digital Collection	Total_Item_Investigations	9	9	0
American Society of Mechanical Engineers Digital Collection	Unique_Item_Investigations	8	8	0
American Society of Mechanical Engineers Digital Collection	Searches_Platform	4	4	0
