Report_Name	DR Master Report
Report_ID	DR
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	
Metric_Types	
Report_Filters	Data_Type=Database|Multimedia; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-02T09:50:27Z
Created_By	collections@upei.ca

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Academic Video Online: Premium	Alexander Street Press		search.alexanderstreet.com		Searches_Automated	0	0	0
Academic Video Online: Premium	Alexander Street Press		search.alexanderstreet.com		Searches_Federated	0	0	0
Academic Video Online: Premium	Alexander Street Press		search.alexanderstreet.com		Searches_Regular	0	0	0
Academic Video Online: Premium	Alexander Street Press		search.alexanderstreet.com		Total_Item_Investigations	2	0	2
Academic Video Online: Premium	Alexander Street Press		search.alexanderstreet.com		Total_Item_Requests	0	0	0
Academic Video Online: Premium	Alexander Street Press		search.alexanderstreet.com		Unique_Item_Investigations	0	0	0
Academic Video Online: Premium	Alexander Street Press		search.alexanderstreet.com		Unique_Item_Requests	0	0	0
Academic Video Online: Premium	Alexander Street Press		search.alexanderstreet.com		Searches_Automated	0	0	0
Academic Video Online: Premium	Alexander Street Press		search.alexanderstreet.com		Searches_Federated	0	0	0
Academic Video Online: Premium	Alexander Street Press		search.alexanderstreet.com		Searches_Regular	0	0	0
Academic Video Online: Premium	Alexander Street Press		search.alexanderstreet.com		Total_Item_Investigations	0	0	0
Academic Video Online: Premium	Alexander Street Press		search.alexanderstreet.com		Total_Item_Requests	0	0	0
Academic Video Online: Premium	Alexander Street Press		search.alexanderstreet.com		Unique_Item_Investigations	2	0	2
Academic Video Online: Premium	Alexander Street Press		search.alexanderstreet.com		Unique_Item_Requests	0	0	0
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Searches_Automated	0	0	0
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Searches_Federated	0	0	0
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Searches_Regular	381	265	116
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Total_Item_Investigations	0	0	0
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Total_Item_Requests	0	0	0
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Unique_Item_Investigations	0	0	0
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Unique_Item_Requests	0	0	0
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Searches_Automated	0	0	0
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Searches_Federated	0	0	0
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Searches_Regular	0	0	0
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Total_Item_Investigations	691	422	269
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Total_Item_Requests	0	0	0
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Unique_Item_Investigations	0	0	0
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Unique_Item_Requests	0	0	0
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Searches_Automated	0	0	0
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Searches_Federated	0	0	0
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Searches_Regular	0	0	0
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Total_Item_Investigations	0	0	0
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Total_Item_Requests	252	164	88
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Unique_Item_Investigations	0	0	0
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Unique_Item_Requests	0	0	0
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Searches_Automated	0	0	0
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Searches_Federated	0	0	0
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Searches_Regular	0	0	0
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Total_Item_Investigations	0	0	0
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Total_Item_Requests	0	0	0
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Unique_Item_Investigations	350	208	142
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Unique_Item_Requests	0	0	0
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Searches_Automated	0	0	0
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Searches_Federated	0	0	0
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Searches_Regular	0	0	0
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Total_Item_Investigations	0	0	0
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Total_Item_Requests	0	0	0
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Unique_Item_Investigations	0	0	0
Academic Video Online: Premium	Alexander Street Press		video.alexanderstreet.com		Unique_Item_Requests	220	143	77
Media Hosting Service	Alexander Street Press		video.alexanderstreet.com		Searches_Automated	0	0	0
Media Hosting Service	Alexander Street Press		video.alexanderstreet.com		Searches_Federated	0	0	0
