Report_Name	PR Master Report
Report_ID	PR
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	
Metric_Types	
Report_Filters	Data_Type=Platform|Multimedia; Access_Type=Controlled; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-01-31
Created	2024-02-23T13:28:41Z
Created_By	collections@upei.ca

Platform	Metric_Type	Reporting_Period_Total	Jan-2024
video.alexanderstreet.com	Searches_Platform	337	337
video.alexanderstreet.com	Total_Item_Investigations	0	0
video.alexanderstreet.com	Total_Item_Requests	0	0
video.alexanderstreet.com	Unique_Item_Investigations	0	0
video.alexanderstreet.com	Unique_Item_Requests	0	0
video.alexanderstreet.com	Unique_Title_Requests	0	0
video.alexanderstreet.com	Searches_Platform	0	0
video.alexanderstreet.com	Total_Item_Investigations	615	615
video.alexanderstreet.com	Total_Item_Requests	0	0
video.alexanderstreet.com	Unique_Item_Investigations	0	0
video.alexanderstreet.com	Unique_Item_Requests	0	0
video.alexanderstreet.com	Unique_Title_Requests	0	0
video.alexanderstreet.com	Searches_Platform	0	0
video.alexanderstreet.com	Total_Item_Investigations	0	0
video.alexanderstreet.com	Total_Item_Requests	249	249
video.alexanderstreet.com	Unique_Item_Investigations	0	0
video.alexanderstreet.com	Unique_Item_Requests	0	0
video.alexanderstreet.com	Unique_Title_Requests	0	0
video.alexanderstreet.com	Searches_Platform	0	0
video.alexanderstreet.com	Total_Item_Investigations	0	0
video.alexanderstreet.com	Total_Item_Requests	0	0
video.alexanderstreet.com	Unique_Item_Investigations	298	298
video.alexanderstreet.com	Unique_Item_Requests	0	0
video.alexanderstreet.com	Unique_Title_Requests	0	0
video.alexanderstreet.com	Searches_Platform	0	0
video.alexanderstreet.com	Total_Item_Investigations	0	0
video.alexanderstreet.com	Total_Item_Requests	0	0
video.alexanderstreet.com	Unique_Item_Investigations	0	0
video.alexanderstreet.com	Unique_Item_Requests	219	219
video.alexanderstreet.com	Unique_Title_Requests	0	0
