Report_Name	Platform Usage
Report_ID	PR_P1
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	
Metric_Types	Searches_Platform; Total_Item_Requests; Unique_Item_Requests; Unique_Title_Requests
Report_Filters	Access_Type=Controlled; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-02T14:22:29Z
Created_By	collections@upei.ca

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
video.alexanderstreet.com	Searches_Platform	542	337	205
video.alexanderstreet.com	Total_Item_Requests	356	249	107
video.alexanderstreet.com	Unique_Item_Requests	313	219	94
