Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	University Of Prince Edward Island
Institution_ID	Silverchair:19464
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T00:00:00Z
Created_By	Silverchair

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Allen Press	Unique_Item_Investigations	61	61	0
Allen Press	Total_Item_Investigations	91	91	0
Allen Press	Total_Item_Requests	66	66	0
Allen Press	Unique_Item_Requests	52	52	0
Allen Press	Searches_Platform	1	1	0
