Report_Name	Platform Usage
Report_ID	PR_P1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	ar:106712
Metric_Types	Searches_Platform; Total_Item_Requests; Unique_Item_Requests; Unique_Title_Requests
Report_Filters	Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	End_Date=2024-01-31; Begin_Date=2024-01-01
Created	2024-02-23T04:42:27Z
Created_By	Atypon Systems LLC.

Platform	Metric_Type	Reporting_Period_Total	Jan-2024
Annual Reviews	Total_Item_Requests	61	61
Annual Reviews	Unique_Item_Requests	41	41
