Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	ar:106712
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-02T01:52:45Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Annual Review of Animal Biosciences	Annual Reviews		Annual Reviews	10.1146/animal	ar:animal		2165-8102	2165-8110		Unique_Item_Investigations	1	1	0
Annual Review of Animal Biosciences	Annual Reviews		Annual Reviews	10.1146/animal	ar:animal		2165-8102	2165-8110		Unique_Item_Requests	1	1	0
Annual Review of Animal Biosciences	Annual Reviews		Annual Reviews	10.1146/animal	ar:animal		2165-8102	2165-8110		Total_Item_Requests	2	2	0
Annual Review of Animal Biosciences	Annual Reviews		Annual Reviews	10.1146/animal	ar:animal		2165-8102	2165-8110		Total_Item_Investigations	2	2	0
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro		0084-6570	1545-4290		Unique_Item_Investigations	1	1	0
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro		0084-6570	1545-4290		Unique_Item_Requests	1	1	0
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro		0084-6570	1545-4290		Total_Item_Requests	1	1	0
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro		0084-6570	1545-4290		Total_Item_Investigations	1	1	0
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro		0084-6570	1545-4290		Unique_Item_Investigations	1	1	0
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro		0084-6570	1545-4290		Unique_Item_Requests	1	1	0
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro		0084-6570	1545-4290		Total_Item_Requests	1	1	0
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro		0084-6570	1545-4290		Total_Item_Investigations	1	1	0
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro		0084-6570	1545-4290		Unique_Item_Investigations	2	2	0
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro		0084-6570	1545-4290		Unique_Item_Requests	2	2	0
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro		0084-6570	1545-4290		Total_Item_Requests	2	2	0
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro		0084-6570	1545-4290		Total_Item_Investigations	2	2	0
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro		0084-6570	1545-4290		Unique_Item_Investigations	2	2	0
