Report_Name	Database Master Report
Report_ID	DR
Release	5
Institution_Name	Univ Of Prince Edward Island
Institution_ID	cabi:59221
Metric_Types	
Report_Filters	Data_Type=Database
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2022-04-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T05:38:54Z
Created_By	Atypon Systems LLC.

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Animal Science Collection	CABI		CABI Digital Library	cabi:za	Unique_Item_Investigations	1	1	0
Animal Science Collection	CABI		CABI Digital Library	cabi:za	Total_Item_Investigations	1	1	0
Animal Science Collection	CABI		CABI Digital Library	cabi:za	Total_Item_Requests	1	1	0
Animal Science Collection	CABI		CABI Digital Library	cabi:za	Unique_Item_Requests	1	1	0
CAB Abstracts	CABI		CABI Digital Library	cabi:ca	No_License	7	7	0
CAB Abstracts	CABI		CABI Digital Library	cabi:ca	Unique_Item_Investigations	4	4	0
CAB Abstracts	CABI		CABI Digital Library	cabi:ca	Searches_Regular	16	16	0
CAB Abstracts	CABI		CABI Digital Library	cabi:ca	Total_Item_Investigations	7	7	0
CAB Abstracts	CABI		CABI Digital Library	cabi:ca	Total_Item_Requests	7	7	0
CAB Abstracts	CABI		CABI Digital Library	cabi:ca	Unique_Item_Requests	4	4	0
Environmental Impact Collection	CABI		CABI Digital Library	cabi:zg	Unique_Item_Investigations	1	1	0
Environmental Impact Collection	CABI		CABI Digital Library	cabi:zg	Total_Item_Investigations	1	1	0
Environmental Impact Collection	CABI		CABI Digital Library	cabi:zg	Total_Item_Requests	1	1	0
Environmental Impact Collection	CABI		CABI Digital Library	cabi:zg	Unique_Item_Requests	1	1	0
Global Health	CABI		CABI Digital Library	cabi:he	No_License	4	4	0
Global Health	CABI		CABI Digital Library	cabi:he	Searches_Regular	1	1	0
VetMed Resource	CABI		CABI Digital Library	cabi:ve	Unique_Item_Investigations	10	10	0
VetMed Resource	CABI		CABI Digital Library	cabi:ve	Total_Item_Investigations	10	10	0
VetMed Resource	CABI		CABI Digital Library	cabi:ve	Total_Item_Requests	10	10	0
VetMed Resource	CABI		CABI Digital Library	cabi:ve	Unique_Item_Requests	10	10	0
