Report_Name	Platform Usage
Report_ID	PR_P1
Release	5
Institution_Name	Univ Of Prince Edward Island
Institution_ID	cabi:59221
Metric_Types	Searches_Platform; Total_Item_Requests; Unique_Item_Requests; Unique_Title_Requests
Report_Filters	Access_Method=Regular
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2022-04-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T05:38:13Z
Created_By	Atypon Systems LLC.

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
CABI Digital Library	Searches_Platform	63	63	0
CABI Digital Library	Unique_Item_Requests	34	34	0
CABI Digital Library	Total_Item_Requests	39	39	0
CABI Digital Library	Unique_Title_Requests	10	10	0
