Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	Univ Of Prince Edward Island
Institution_ID	cabi:59221
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2022-04-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T05:39:23Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Animal Behaviour and Welfare Cases	CABI		CABI Digital Library	10.1079/abwcases	cabi:abwcs			2958-4353		Unique_Item_Investigations	1	1	0
Animal Behaviour and Welfare Cases	CABI		CABI Digital Library	10.1079/abwcases	cabi:abwcs			2958-4353		Total_Item_Investigations	1	1	0
Animal Behaviour and Welfare Cases	CABI		CABI Digital Library	10.1079/abwcases	cabi:abwcs			2958-4353		No_License	1	1	0
CABI Compendium	CABI		CABI Digital Library	10.1079/cabicompendium	cabi:cabicompendium			2958-3969		Unique_Item_Investigations	1	1	0
CABI Compendium	CABI		CABI Digital Library	10.1079/cabicompendium	cabi:cabicompendium			2958-3969		Total_Item_Investigations	1	1	0
CABI Compendium	CABI		CABI Digital Library	10.1079/cabicompendium	cabi:cabicompendium			2958-3969		Unique_Item_Investigations	1	1	0
CABI Compendium	CABI		CABI Digital Library	10.1079/cabicompendium	cabi:cabicompendium			2958-3969		Unique_Item_Requests	1	1	0
CABI Compendium	CABI		CABI Digital Library	10.1079/cabicompendium	cabi:cabicompendium			2958-3969		Total_Item_Investigations	1	1	0
CABI Compendium	CABI		CABI Digital Library	10.1079/cabicompendium	cabi:cabicompendium			2958-3969		Total_Item_Requests	1	1	0
CABI Reviews	CABI		CABI Digital Library	10.1079/cabireviews	cabi:cabir			1749-8848		Unique_Item_Investigations	1	1	0
CABI Reviews	CABI		CABI Digital Library	10.1079/cabireviews	cabi:cabir			1749-8848		Total_Item_Investigations	1	1	0
Climate Change on Diseases and Disorders of Finfish in Cage Culture	CABI		CABI Digital Library	10.1079/9781800621640.0000		978-1-80062-163-3				Unique_Title_Investigations	2	2	0
Climate Change on Diseases and Disorders of Finfish in Cage Culture	CABI		CABI Digital Library	10.1079/9781800621640.0000		978-1-80062-163-3				Unique_Title_Requests	2	2	0
Climate Change on Diseases and Disorders of Finfish in Cage Culture	CABI		CABI Digital Library	10.1079/9781800621640.0000		978-1-80062-163-3				Unique_Item_Investigations	2	2	0
Climate Change on Diseases and Disorders of Finfish in Cage Culture	CABI		CABI Digital Library	10.1079/9781800621640.0000		978-1-80062-163-3				Unique_Item_Requests	2	2	0
Climate Change on Diseases and Disorders of Finfish in Cage Culture	CABI		CABI Digital Library	10.1079/9781800621640.0000		978-1-80062-163-3				Total_Item_Investigations	2	2	0
Climate Change on Diseases and Disorders of Finfish in Cage Culture	CABI		CABI Digital Library	10.1079/9781800621640.0000		978-1-80062-163-3				Total_Item_Requests	2	2	0
Crop Pollination by Bees, Volume 2: Individual Crops and their Bees	CABI		CABI Digital Library	10.1079/9781786393548.0000		978-1-78639-353-1				Unique_Title_Investigations	1	1	0
Crop Pollination by Bees, Volume 2: Individual Crops and their Bees	CABI		CABI Digital Library	10.1079/9781786393548.0000		978-1-78639-353-1				Unique_Title_Requests	1	1	0
Crop Pollination by Bees, Volume 2: Individual Crops and their Bees	CABI		CABI Digital Library	10.1079/9781786393548.0000		978-1-78639-353-1				Unique_Item_Investigations	1	1	0
Crop Pollination by Bees, Volume 2: Individual Crops and their Bees	CABI		CABI Digital Library	10.1079/9781786393548.0000		978-1-78639-353-1				Unique_Item_Requests	1	1	0
Crop Pollination by Bees, Volume 2: Individual Crops and their Bees	CABI		CABI Digital Library	10.1079/9781786393548.0000		978-1-78639-353-1				Total_Item_Investigations	1	1	0
Crop Pollination by Bees, Volume 2: Individual Crops and their Bees	CABI		CABI Digital Library	10.1079/9781786393548.0000		978-1-78639-353-1				Total_Item_Requests	1	1	0
