Report_Name	Journal Usage by Access Type
Report_ID	TR_J3
Release	5
Institution_Name	Univ Of Prince Edward Island
Institution_ID	cabi:59221
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Data_Type=Journal
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2022-04-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T05:39:12Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Animal Behaviour and Welfare Cases	CABI		CABI Digital Library	10.1079/abwcases	cabi:abwcs		2958-4353		Controlled	Unique_Item_Investigations	1	1	0
Animal Behaviour and Welfare Cases	CABI		CABI Digital Library	10.1079/abwcases	cabi:abwcs		2958-4353		Controlled	Total_Item_Investigations	1	1	0
CABI Compendium	CABI		CABI Digital Library	10.1079/cabicompendium	cabi:cabicompendium		2958-3969		Controlled	Unique_Item_Investigations	1	1	0
CABI Compendium	CABI		CABI Digital Library	10.1079/cabicompendium	cabi:cabicompendium		2958-3969		Controlled	Total_Item_Investigations	1	1	0
CABI Compendium	CABI		CABI Digital Library	10.1079/cabicompendium	cabi:cabicompendium		2958-3969		OA_Gold	Unique_Item_Investigations	1	1	0
CABI Compendium	CABI		CABI Digital Library	10.1079/cabicompendium	cabi:cabicompendium		2958-3969		OA_Gold	Unique_Item_Requests	1	1	0
CABI Compendium	CABI		CABI Digital Library	10.1079/cabicompendium	cabi:cabicompendium		2958-3969		OA_Gold	Total_Item_Investigations	1	1	0
CABI Compendium	CABI		CABI Digital Library	10.1079/cabicompendium	cabi:cabicompendium		2958-3969		OA_Gold	Total_Item_Requests	1	1	0
CABI Reviews	CABI		CABI Digital Library	10.1079/cabireviews	cabi:cabir		1749-8848		Controlled	Unique_Item_Investigations	1	1	0
CABI Reviews	CABI		CABI Digital Library	10.1079/cabireviews	cabi:cabir		1749-8848		Controlled	Total_Item_Investigations	1	1	0
Human-Animal Interactions	CABI		CABI Digital Library	10.1079/humananimalinteractions	cabi:hai		2957-9538		OA_Gold	Unique_Item_Investigations	7	7	0
Human-Animal Interactions	CABI		CABI Digital Library	10.1079/humananimalinteractions	cabi:hai		2957-9538		OA_Gold	Unique_Item_Requests	7	7	0
Human-Animal Interactions	CABI		CABI Digital Library	10.1079/humananimalinteractions	cabi:hai		2957-9538		OA_Gold	Total_Item_Investigations	9	9	0
Human-Animal Interactions	CABI		CABI Digital Library	10.1079/humananimalinteractions	cabi:hai		2957-9538		OA_Gold	Total_Item_Requests	9	9	0
