Report_Name	Book Requests (Excluding OA_Gold)
Report_ID	TR_B1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	CUP:12159
Metric_Types	Total_Item_Requests; Unique_Title_Requests
Report_Filters	Data_Type=Book; Access_Type=Controlled; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:38:33Z
Created_By	Cambridge Core

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Concise History of Japan	Cambridge University Press		Cambridge Core	10.1017/CBO9780511783043		978-0-511-78304-3			https://doi.org/10.1017/CBO9780511783043	2015	Total_Item_Requests	218	197	21
A Concise History of Japan	Cambridge University Press		Cambridge Core	10.1017/CBO9780511783043		978-0-511-78304-3			https://doi.org/10.1017/CBO9780511783043	2015	Unique_Title_Requests	43	34	9
Altered Earth	Cambridge University Press		Cambridge Core	10.1017/9781009042369		978-1-009-04236-9			https://doi.org/10.1017/9781009042369	2022	Total_Item_Requests	8	8	0
Altered Earth	Cambridge University Press		Cambridge Core	10.1017/9781009042369		978-1-009-04236-9			https://doi.org/10.1017/9781009042369	2022	Unique_Title_Requests	1	1	0
Archbishop Theodore	Cambridge University Press		Cambridge Core	10.1017/CBO9780511627453		978-0-511-62745-3			https://doi.org/10.1017/CBO9780511627453	1995	Total_Item_Requests	4	4	0
Archbishop Theodore	Cambridge University Press		Cambridge Core	10.1017/CBO9780511627453		978-0-511-62745-3			https://doi.org/10.1017/CBO9780511627453	1995	Unique_Title_Requests	1	1	0
Blindness and Spectatorship in Ancient and Modern Theatres	Cambridge University Press		Cambridge Core	10.1017/9781009372732		978-1-009-37273-2			https://doi.org/10.1017/9781009372732	2023	Total_Item_Requests	1	1	0
Blindness and Spectatorship in Ancient and Modern Theatres	Cambridge University Press		Cambridge Core	10.1017/9781009372732		978-1-009-37273-2			https://doi.org/10.1017/9781009372732	2023	Unique_Title_Requests	1	1	0
Bloomsbury, Modernism, and the Reinvention of Intimacy	Cambridge University Press		Cambridge Core	10.1017/CBO9780511794575		978-0-511-79457-5			https://doi.org/10.1017/CBO9780511794575	2011	Total_Item_Requests	15	0	15
Bloomsbury, Modernism, and the Reinvention of Intimacy	Cambridge University Press		Cambridge Core	10.1017/CBO9780511794575		978-0-511-79457-5			https://doi.org/10.1017/CBO9780511794575	2011	Unique_Title_Requests	2	0	2
Cities of Strangers	Cambridge University Press		Cambridge Core	10.1017/9781108666510		978-1-108-66651-0			https://doi.org/10.1017/9781108666510	2020	Total_Item_Requests	4	4	0
Cities of Strangers	Cambridge University Press		Cambridge Core	10.1017/9781108666510		978-1-108-66651-0			https://doi.org/10.1017/9781108666510	2020	Unique_Title_Requests	1	1	0
Controversies in Environmental Sociology	Cambridge University Press		Cambridge Core	10.1017/CBO9780511804434		978-0-511-80443-4			https://doi.org/10.1017/CBO9780511804434	2004	Total_Item_Requests	3	0	3
Controversies in Environmental Sociology	Cambridge University Press		Cambridge Core	10.1017/CBO9780511804434		978-0-511-80443-4			https://doi.org/10.1017/CBO9780511804434	2004	Unique_Title_Requests	1	0	1
Cultural Backlash	Cambridge University Press		Cambridge Core	10.1017/9781108595841		978-1-108-59584-1			https://doi.org/10.1017/9781108595841	2019	Total_Item_Requests	10	0	10
Cultural Backlash	Cambridge University Press		Cambridge Core	10.1017/9781108595841		978-1-108-59584-1			https://doi.org/10.1017/9781108595841	2019	Unique_Title_Requests	4	0	4
Divided Environments	Cambridge University Press		Cambridge Core	10.1017/9781009106801		978-1-009-10680-1			https://doi.org/10.1017/9781009106801	2022	Total_Item_Requests	6	1	5
Divided Environments	Cambridge University Press		Cambridge Core	10.1017/9781009106801		978-1-009-10680-1			https://doi.org/10.1017/9781009106801	2022	Unique_Title_Requests	2	1	1
Ecosystem Services	Cambridge University Press		Cambridge Core	10.1017/CBO9781107477612		978-1-107-47761-2			https://doi.org/10.1017/CBO9781107477612	2015	Total_Item_Requests	379	252	127
Ecosystem Services	Cambridge University Press		Cambridge Core	10.1017/CBO9781107477612		978-1-107-47761-2			https://doi.org/10.1017/CBO9781107477612	2015	Unique_Title_Requests	61	37	24
Evolving Financial Markets and International Capital Flows	Cambridge University Press		Cambridge Core	10.1017/CBO9780511510878		978-0-511-51087-8			https://doi.org/10.1017/CBO9780511510878	2001	Total_Item_Requests	2	0	2
Evolving Financial Markets and International Capital Flows	Cambridge University Press		Cambridge Core	10.1017/CBO9780511510878		978-0-511-51087-8			https://doi.org/10.1017/CBO9780511510878	2001	Unique_Title_Requests	1	0	1
French Music and Jazz in Conversation	Cambridge University Press		Cambridge Core	10.1017/CBO9781139775359		978-1-139-77535-9			https://doi.org/10.1017/CBO9781139775359	2014	Total_Item_Requests	3	3	0
French Music and Jazz in Conversation	Cambridge University Press		Cambridge Core	10.1017/CBO9781139775359		978-1-139-77535-9			https://doi.org/10.1017/CBO9781139775359	2014	Unique_Title_Requests	2	2	0
How Cities Matter	Cambridge University Press		Cambridge Core	10.1017/9781108782432		978-1-108-78243-2			https://doi.org/10.1017/9781108782432	2021	Total_Item_Requests	1	1	0
How Cities Matter	Cambridge University Press		Cambridge Core	10.1017/9781108782432		978-1-108-78243-2			https://doi.org/10.1017/9781108782432	2021	Unique_Title_Requests	1	1	0
In Search of Respect	Cambridge University Press		Cambridge Core	10.1017/CBO9780511808562		978-0-511-80856-2			https://doi.org/10.1017/CBO9780511808562	2002	Total_Item_Requests	1	1	0
In Search of Respect	Cambridge University Press		Cambridge Core	10.1017/CBO9780511808562		978-0-511-80856-2			https://doi.org/10.1017/CBO9780511808562	2002	Unique_Title_Requests	1	1	0
Magic in the Middle Ages	Cambridge University Press		Cambridge Core	10.1017/CBO9781139923484		978-1-139-92348-4			https://doi.org/10.1017/CBO9781139923484	2014	Total_Item_Requests	6	0	6
Magic in the Middle Ages	Cambridge University Press		Cambridge Core	10.1017/CBO9781139923484		978-1-139-92348-4			https://doi.org/10.1017/CBO9781139923484	2014	Unique_Title_Requests	2	0	2
Metaphor, Metonymy, the Body and the Environment	Cambridge University Press		Cambridge Core	10.1017/9781009042468		978-1-009-04246-8			https://doi.org/10.1017/9781009042468	2023	Total_Item_Requests	1	1	0
Metaphor, Metonymy, the Body and the Environment	Cambridge University Press		Cambridge Core	10.1017/9781009042468		978-1-009-04246-8			https://doi.org/10.1017/9781009042468	2023	Unique_Title_Requests	1	1	0
Modern Romance and Transformations of the Novel	Cambridge University Press		Cambridge Core	10.1017/CBO9780511627514		978-0-511-62751-4			https://doi.org/10.1017/CBO9780511627514	1992	Total_Item_Requests	1	0	1
Modern Romance and Transformations of the Novel	Cambridge University Press		Cambridge Core	10.1017/CBO9780511627514		978-0-511-62751-4			https://doi.org/10.1017/CBO9780511627514	1992	Unique_Title_Requests	1	0	1
Modernism and the Culture of Market Society	Cambridge University Press		Cambridge Core	10.1017/CBO9780511485374		978-0-511-48537-4			https://doi.org/10.1017/CBO9780511485374	2004	Total_Item_Requests	3	0	3
Modernism and the Culture of Market Society	Cambridge University Press		Cambridge Core	10.1017/CBO9780511485374		978-0-511-48537-4			https://doi.org/10.1017/CBO9780511485374	2004	Unique_Title_Requests	2	0	2
Multiagent Systems	Cambridge University Press		Cambridge Core	10.1017/CBO9780511811654		978-0-511-81165-4			https://doi.org/10.1017/CBO9780511811654	2008	Total_Item_Requests	2	2	0
Multiagent Systems	Cambridge University Press		Cambridge Core	10.1017/CBO9780511811654		978-0-511-81165-4			https://doi.org/10.1017/CBO9780511811654	2008	Unique_Title_Requests	1	1	0
Neighborhood Watch	Cambridge University Press		Cambridge Core	10.1017/9781108878661		978-1-108-87866-1			https://doi.org/10.1017/9781108878661	2022	Total_Item_Requests	2	0	2
Neighborhood Watch	Cambridge University Press		Cambridge Core	10.1017/9781108878661		978-1-108-87866-1			https://doi.org/10.1017/9781108878661	2022	Unique_Title_Requests	1	0	1
Rational Commitment and Social Justice	Cambridge University Press		Cambridge Core	10.1017/CBO9780511527364		978-0-511-52736-4			https://doi.org/10.1017/CBO9780511527364	1998	Total_Item_Requests	1	1	0
Rational Commitment and Social Justice	Cambridge University Press		Cambridge Core	10.1017/CBO9780511527364		978-0-511-52736-4			https://doi.org/10.1017/CBO9780511527364	1998	Unique_Title_Requests	1	1	0
Social Scaffolding	Cambridge University Press		Cambridge Core	10.1017/9781911623069		978-1-911623-06-9			https://doi.org/10.1017/9781911623069	2019	Total_Item_Requests	2	2	0
Social Scaffolding	Cambridge University Press		Cambridge Core	10.1017/9781911623069		978-1-911623-06-9			https://doi.org/10.1017/9781911623069	2019	Unique_Title_Requests	2	2	0
Subjectivity in the Twenty-First Century	Cambridge University Press		Cambridge Core	10.1017/CBO9781139035217		978-1-139-03521-7			https://doi.org/10.1017/CBO9781139035217	2013	Total_Item_Requests	1	1	0
Subjectivity in the Twenty-First Century	Cambridge University Press		Cambridge Core	10.1017/CBO9781139035217		978-1-139-03521-7			https://doi.org/10.1017/CBO9781139035217	2013	Unique_Title_Requests	1	1	0
The Brothel of Pompeii	Cambridge University Press		Cambridge Core	10.1017/9781108655040		978-1-108-65504-0			https://doi.org/10.1017/9781108655040	2019	Total_Item_Requests	8	0	8
The Brothel of Pompeii	Cambridge University Press		Cambridge Core	10.1017/9781108655040		978-1-108-65504-0			https://doi.org/10.1017/9781108655040	2019	Unique_Title_Requests	3	0	3
The Cambridge Handbook of Cognition and Education	Cambridge University Press		Cambridge Core	10.1017/9781108235631		978-1-108-23563-1			https://doi.org/10.1017/9781108235631	2019	Total_Item_Requests	1	0	1
The Cambridge Handbook of Cognition and Education	Cambridge University Press		Cambridge Core	10.1017/9781108235631		978-1-108-23563-1			https://doi.org/10.1017/9781108235631	2019	Unique_Title_Requests	1	0	1
The Dutch in the Early Modern World	Cambridge University Press		Cambridge Core	10.1017/9781316424131		978-1-316-42413-1			https://doi.org/10.1017/9781316424131	2019	Total_Item_Requests	1	0	1
The Dutch in the Early Modern World	Cambridge University Press		Cambridge Core	10.1017/9781316424131		978-1-316-42413-1			https://doi.org/10.1017/9781316424131	2019	Unique_Title_Requests	1	0	1
The First Modern Economy	Cambridge University Press		Cambridge Core	10.1017/CBO9780511666841		978-0-511-66684-1			https://doi.org/10.1017/CBO9780511666841	1997	Total_Item_Requests	13	13	0
The First Modern Economy	Cambridge University Press		Cambridge Core	10.1017/CBO9780511666841		978-0-511-66684-1			https://doi.org/10.1017/CBO9780511666841	1997	Unique_Title_Requests	1	1	0
The New Psychology of Love	Cambridge University Press		Cambridge Core	10.1017/9781108658225		978-1-108-65822-5			https://doi.org/10.1017/9781108658225	2018	Total_Item_Requests	1	0	1
The New Psychology of Love	Cambridge University Press		Cambridge Core	10.1017/9781108658225		978-1-108-65822-5			https://doi.org/10.1017/9781108658225	2018	Unique_Title_Requests	1	0	1
The Politics of Open Economies	Cambridge University Press		Cambridge Core	10.1017/CBO9780511598913		978-0-511-59891-3			https://doi.org/10.1017/CBO9780511598913	1997	Total_Item_Requests	3	0	3
