Report_Name	Book Access Denied
Report_ID	TR_B2
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	CUP:12159
Metric_Types	Limit_Exceeded; No_License
Report_Filters	Data_Type=Book; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:38:37Z
Created_By	Cambridge Core

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A First Course in Fourier Analysis	Cambridge University Press		Cambridge Core	10.1017/CBO9780511619700		978-0-511-61970-0			https://doi.org/10.1017/CBO9780511619700	2008	No_License	1	1	0
A Primer of Conservation Genetics	Cambridge University Press		Cambridge Core	10.1017/CBO9780511817359		978-0-511-81735-9			https://doi.org/10.1017/CBO9780511817359	2004	No_License	1	1	0
Alzheimer's Disease Drug Development	Cambridge University Press		Cambridge Core	10.1017/9781108975759		978-1-108-97575-9			https://doi.org/10.1017/9781108975759	2022	No_License	1	0	1
An Introduction to Fluid Dynamics	Cambridge University Press		Cambridge Core	10.1017/CBO9780511800955		978-0-511-80095-5			https://doi.org/10.1017/CBO9780511800955	2000	No_License	1	0	1
An Introduction to Plant Structure and Development	Cambridge University Press		Cambridge Core	10.1017/CBO9781139165365		978-1-139-16536-5			https://doi.org/10.1017/CBO9781139165365	2005	No_License	1	1	0
Animal Homosexuality	Cambridge University Press		Cambridge Core	10.1017/CBO9780511762192		978-0-511-76219-2			https://doi.org/10.1017/CBO9780511762192	2010	No_License	1	1	0
Bipolar II Disorder	Cambridge University Press		Cambridge Core	10.1017/CBO9781139003315		978-1-139-00331-5			https://doi.org/10.1017/CBO9781139003315	2012	No_License	1	0	1
Cognitive-behavioral Therapy with Adults	Cambridge University Press		Cambridge Core	10.1017/CBO9780511781919		978-0-511-78191-9			https://doi.org/10.1017/CBO9780511781919	2010	No_License	1	1	0
Descartes: Meditations on First Philosophy	Cambridge University Press		Cambridge Core	10.1017/CBO9780511805028		978-0-511-80502-8			https://doi.org/10.1017/CBO9780511805028	1996	No_License	1	0	1
Essential Equations for Anaesthesia	Cambridge University Press		Cambridge Core	10.1017/CBO9781139565387		978-1-139-56538-7			https://doi.org/10.1017/CBO9781139565387	2014	No_License	3	2	1
Lasers and Electro-optics	Cambridge University Press		Cambridge Core	10.1017/CBO9781139016629		978-1-139-01662-9			https://doi.org/10.1017/CBO9781139016629	2014	No_License	1	1	0
Michel Foucault	Acumen Publishing		Cambridge Core	10.1017/UPO9781844654734		978-1-84465-473-4			https://doi.org/10.1017/UPO9781844654734	2010	No_License	2	0	2
Research Design in Clinical Psychology	Cambridge University Press		Higher Education from Cambridge University Press	10.1017/9781108976589		978-1-108-97658-9			https://doi.org/10.1017/9781108976589	2023	No_License	1	1	0
Research Methods and Statistics in Psychology	Cambridge University Press		Higher Education from Cambridge University Press	10.1017/9781108399555		978-1-108-39955-5			https://doi.org/10.1017/9781108399555	2018	No_License	1	0	1
Sleepiness	Cambridge University Press		Cambridge Core	10.1017/CBO9780511762697		978-0-511-76269-7			https://doi.org/10.1017/CBO9780511762697	2011	No_License	1	1	0
Terence: Hecyra	Cambridge University Press		Higher Education from Cambridge University Press	10.1017/CBO9781139021593		978-1-139-02159-3			https://doi.org/10.1017/CBO9781139021593	2013	No_License	1	0	1
The Cambridge Companion to Freud	Cambridge University Press		Cambridge Core	10.1017/CCOL0521374243		978-1-139-00063-5			https://doi.org/10.1017/CCOL0521374243	1991	No_License	1	0	1
The Cambridge Companion to Medieval English Theatre	Cambridge University Press		Cambridge Core	10.1017/CCOL9780521864008		978-1-139-00187-8			https://doi.org/10.1017/CCOL9780521864008	2008	No_License	1	0	1
The Cambridge Companion to Plato	Cambridge University Press		Cambridge Core	10.1017/9781108557795		978-1-108-55779-5			https://doi.org/10.1017/9781108557795	2022	No_License	1	1	0
The Cambridge Handbook of Expertise and Expert Performance	Cambridge University Press		Cambridge Core	10.1017/CBO9780511816796		978-0-511-81679-6			https://doi.org/10.1017/CBO9780511816796	2006	No_License	1	1	0
The Cambridge Handbook of Social Theory	Cambridge University Press		Cambridge Core	10.1017/9781316677452		978-1-316-67745-2			https://doi.org/10.1017/9781316677452	2020	No_License	1	0	1
The Cambridge History of Medieval Canon Law	Cambridge University Press		Cambridge Core	10.1017/9781139177221		978-1-139-17722-1			https://doi.org/10.1017/9781139177221	2022	No_License	2	0	2
The Mathematics of Projectiles in Sport	Cambridge University Press		Cambridge Core	10.1017/CBO9780511624032		978-0-511-62403-2			https://doi.org/10.1017/CBO9780511624032	1990	No_License	1	1	0
The Newborn Brain	Cambridge University Press		Cambridge Core	10.1017/CBO9780511711848		978-0-511-71184-8			https://doi.org/10.1017/CBO9780511711848	2010	No_License	2	0	2
Topological Phases of Matter	Cambridge University Press		Cambridge Core	10.1017/9781316226308		978-1-316-22630-8			https://doi.org/10.1017/9781316226308	2021	No_License	1	0	1
Trait-Mediated Indirect Interactions	Cambridge University Press		Cambridge Core	10.1017/CBO9780511736551		978-0-511-73655-1			https://doi.org/10.1017/CBO9780511736551	2012	No_License	1	1	0
Women and Gender in Early Modern Europe	Cambridge University Press		Higher Education from Cambridge University Press	10.1017/9781108683524		978-1-108-68352-4			https://doi.org/10.1017/9781108683524	2019	No_License	3	0	3
Women's Health in Primary Care	Cambridge University Press		Cambridge Core	10.1017/9781316537398		978-1-316-53739-8			https://doi.org/10.1017/9781316537398	2017	No_License	1	0	1
