Report_Name	Journal Usage by Access Type
Report_ID	TR_J3
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	CUP:12159
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:38:50Z
Created_By	Cambridge Core

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Ageing & Society	Cambridge University Press		Cambridge Core		CUP:ASO	0144-686X	1469-1779	https://www.cambridge.org/core/product/identifier/ASO/type/journal	Controlled	Total_Item_Investigations	8	1	7
Ageing & Society	Cambridge University Press		Cambridge Core		CUP:ASO	0144-686X	1469-1779	https://www.cambridge.org/core/product/identifier/ASO/type/journal	Controlled	Total_Item_Requests	8	1	7
Ageing & Society	Cambridge University Press		Cambridge Core		CUP:ASO	0144-686X	1469-1779	https://www.cambridge.org/core/product/identifier/ASO/type/journal	Controlled	Unique_Item_Investigations	6	1	5
Ageing & Society	Cambridge University Press		Cambridge Core		CUP:ASO	0144-686X	1469-1779	https://www.cambridge.org/core/product/identifier/ASO/type/journal	Controlled	Unique_Item_Requests	6	1	5
Agricultural and Resource Economics Review	Cambridge University Press		Cambridge Core		CUP:AGE	1068-2805	2372-2614	https://www.cambridge.org/core/product/identifier/AGE/type/journal	OA_Gold	Total_Item_Investigations	1	1	0
Agricultural and Resource Economics Review	Cambridge University Press		Cambridge Core		CUP:AGE	1068-2805	2372-2614	https://www.cambridge.org/core/product/identifier/AGE/type/journal	OA_Gold	Total_Item_Requests	1	1	0
Agricultural and Resource Economics Review	Cambridge University Press		Cambridge Core		CUP:AGE	1068-2805	2372-2614	https://www.cambridge.org/core/product/identifier/AGE/type/journal	OA_Gold	Unique_Item_Investigations	1	1	0
Agricultural and Resource Economics Review	Cambridge University Press		Cambridge Core		CUP:AGE	1068-2805	2372-2614	https://www.cambridge.org/core/product/identifier/AGE/type/journal	OA_Gold	Unique_Item_Requests	1	1	0
American Antiquity	Cambridge University Press		Cambridge Core		CUP:AAQ	0002-7316	2325-5064	https://www.cambridge.org/core/product/identifier/AAQ/type/journal	Controlled	Total_Item_Investigations	2	0	2
American Antiquity	Cambridge University Press		Cambridge Core		CUP:AAQ	0002-7316	2325-5064	https://www.cambridge.org/core/product/identifier/AAQ/type/journal	Controlled	Total_Item_Requests	2	0	2
