Report_Name	Journal Requests by YOP (Excluding OA_Gold)
Report_ID	TR_J4
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	CUP:12159
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:39:31Z
Created_By	Cambridge Core

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Ageing & Society	Cambridge University Press		Cambridge Core		CUP:ASO	0144-686X	1469-1779	https://www.cambridge.org/core/product/identifier/ASO/type/journal	2015	Total_Item_Requests	1	1	0
Ageing & Society	Cambridge University Press		Cambridge Core		CUP:ASO	0144-686X	1469-1779	https://www.cambridge.org/core/product/identifier/ASO/type/journal	2015	Unique_Item_Requests	1	1	0
Ageing & Society	Cambridge University Press		Cambridge Core		CUP:ASO	0144-686X	1469-1779	https://www.cambridge.org/core/product/identifier/ASO/type/journal	2016	Total_Item_Requests	2	0	2
Ageing & Society	Cambridge University Press		Cambridge Core		CUP:ASO	0144-686X	1469-1779	https://www.cambridge.org/core/product/identifier/ASO/type/journal	2016	Unique_Item_Requests	1	0	1
Ageing & Society	Cambridge University Press		Cambridge Core		CUP:ASO	0144-686X	1469-1779	https://www.cambridge.org/core/product/identifier/ASO/type/journal	2017	Total_Item_Requests	3	0	3
Ageing & Society	Cambridge University Press		Cambridge Core		CUP:ASO	0144-686X	1469-1779	https://www.cambridge.org/core/product/identifier/ASO/type/journal	2017	Unique_Item_Requests	2	0	2
Ageing & Society	Cambridge University Press		Cambridge Core		CUP:ASO	0144-686X	1469-1779	https://www.cambridge.org/core/product/identifier/ASO/type/journal	2021	Total_Item_Requests	1	0	1
Ageing & Society	Cambridge University Press		Cambridge Core		CUP:ASO	0144-686X	1469-1779	https://www.cambridge.org/core/product/identifier/ASO/type/journal	2021	Unique_Item_Requests	1	0	1
Ageing & Society	Cambridge University Press		Cambridge Core		CUP:ASO	0144-686X	1469-1779	https://www.cambridge.org/core/product/identifier/ASO/type/journal	2022	Total_Item_Requests	1	0	1
Ageing & Society	Cambridge University Press		Cambridge Core		CUP:ASO	0144-686X	1469-1779	https://www.cambridge.org/core/product/identifier/ASO/type/journal	2022	Unique_Item_Requests	1	0	1
American Antiquity	Cambridge University Press		Cambridge Core		CUP:AAQ	0002-7316	2325-5064	https://www.cambridge.org/core/product/identifier/AAQ/type/journal	2016	Total_Item_Requests	2	0	2
American Antiquity	Cambridge University Press		Cambridge Core		CUP:AAQ	0002-7316	2325-5064	https://www.cambridge.org/core/product/identifier/AAQ/type/journal	2016	Unique_Item_Requests	1	0	1
American Political Science Review	Cambridge University Press		Cambridge Core		CUP:PSR	0003-0554	1537-5943	https://www.cambridge.org/core/product/identifier/PSR/type/journal	2021	Total_Item_Requests	7	0	7
American Political Science Review	Cambridge University Press		Cambridge Core		CUP:PSR	0003-0554	1537-5943	https://www.cambridge.org/core/product/identifier/PSR/type/journal	2021	Unique_Item_Requests	3	0	3
American Political Science Review	Cambridge University Press		Cambridge Core		CUP:PSR	0003-0554	1537-5943	https://www.cambridge.org/core/product/identifier/PSR/type/journal	2022	Total_Item_Requests	1	0	1
