Report_Name	Journal Article Requests
Report_ID	IR_A1
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	nrc:51861-2359-csp
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Article; Parent_Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T05:40:27Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Article_Version	Parent_DOI	Parent_Proprietary_ID	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A CLIMATIC MOISTURE INDEX FOR LAND AND SOIL CLASSIFICATION IN CANADA	NRC Research Press		Canadian Science Publishing	W. K. SLY; 	2011-03-19	VoR	10.4141/cjss70-040					Canadian Journal of Soil Science			10.4141/cjss	nrc:cjss	0008-4271	1918-1841		OA_Gold	Unique_Item_Requests	1	1	0
A CLIMATIC MOISTURE INDEX FOR LAND AND SOIL CLASSIFICATION IN CANADA	NRC Research Press		Canadian Science Publishing	W. K. SLY; 	2011-03-19	VoR	10.4141/cjss70-040					Canadian Journal of Soil Science			10.4141/cjss	nrc:cjss	0008-4271	1918-1841		OA_Gold	Total_Item_Requests	1	1	0
A Correlation between Bond Length and Ionic Bond Order. Application to the Ylide–Ylene Problem	NRC Research Press		Canadian Science Publishing	Fernando Bernardi, Myung-Hwan Whangbo, Saul Wolfe; 	2011-02-04	VoR	10.1139/v75-431					Canadian Journal of Chemistry			10.1139/cjc	nrc:cjc	0008-4042	1480-3291		OA_Gold	Unique_Item_Requests	1	1	0
A Correlation between Bond Length and Ionic Bond Order. Application to the Ylide–Ylene Problem	NRC Research Press		Canadian Science Publishing	Fernando Bernardi, Myung-Hwan Whangbo, Saul Wolfe; 	2011-02-04	VoR	10.1139/v75-431					Canadian Journal of Chemistry			10.1139/cjc	nrc:cjc	0008-4042	1480-3291		OA_Gold	Total_Item_Requests	1	1	0
A molecular assessment of infectious agents carried by Atlantic salmon at sea and in three eastern Canadian rivers, including aquaculture escapees and North American and European origin wild stocks	Canadian Science Publishing		Canadian Science Publishing	Amy Tabata, Amy K. Teffer, Angela Schulze, Carole-Anne Gillis, Denise Deschamps, Eric B. Brunsdon, Gideon Mordecai, Ian Bradbury, Jonathan Carr, Kristina M. Miller; 	2020-04-23	VoR	10.1139/facets-2019-0048					FACETS			10.1139/facets	nrc:facets		2371-1671		OA_Gold	Unique_Item_Requests	1	1	0
A molecular assessment of infectious agents carried by Atlantic salmon at sea and in three eastern Canadian rivers, including aquaculture escapees and North American and European origin wild stocks	Canadian Science Publishing		Canadian Science Publishing	Amy Tabata, Amy K. Teffer, Angela Schulze, Carole-Anne Gillis, Denise Deschamps, Eric B. Brunsdon, Gideon Mordecai, Ian Bradbury, Jonathan Carr, Kristina M. Miller; 	2020-04-23	VoR	10.1139/facets-2019-0048					FACETS			10.1139/facets	nrc:facets		2371-1671		OA_Gold	Total_Item_Requests	1	1	0
A novel approach for directly incorporating disease into fish stock assessment: a case study with seroprevalence data	NRC Research Press		Canadian Science Publishing	John T. Trochta, Maya L. Groner, Paul K. Hershberger, Trevor A. Branch; 	2022-02-10	VoR	10.1139/cjfas-2021-0094					Canadian Journal of Fisheries and Aquatic Sciences			10.1139/cjfas	nrc:cjfas	0706-652X	1205-7533		OA_Gold	Unique_Item_Requests	2	2	0
A novel approach for directly incorporating disease into fish stock assessment: a case study with seroprevalence data	NRC Research Press		Canadian Science Publishing	John T. Trochta, Maya L. Groner, Paul K. Hershberger, Trevor A. Branch; 	2022-02-10	VoR	10.1139/cjfas-2021-0094					Canadian Journal of Fisheries and Aquatic Sciences			10.1139/cjfas	nrc:cjfas	0706-652X	1205-7533		OA_Gold	Total_Item_Requests	2	2	0
A validation of eddy covariance technique for measuring crop evapotranspiration on different time scales in the North China Plain	NRC Research Press		Canadian Science Publishing	Ding Zhou, Donghao Ma, Fangfang Wang, Jiabao Zhang, Lin Chen, Ping Huang, Wenju Zhao, Yunxuan Lu; 	2020-08-21	VoR	10.1139/cjss-2020-0050					Canadian Journal of Soil Science			10.4141/cjss	nrc:cjss	0008-4271	1918-1841		Controlled	Unique_Item_Requests	1	1	0
A validation of eddy covariance technique for measuring crop evapotranspiration on different time scales in the North China Plain	NRC Research Press		Canadian Science Publishing	Ding Zhou, Donghao Ma, Fangfang Wang, Jiabao Zhang, Lin Chen, Ping Huang, Wenju Zhao, Yunxuan Lu; 	2020-08-21	VoR	10.1139/cjss-2020-0050					Canadian Journal of Soil Science			10.4141/cjss	nrc:cjss	0008-4271	1918-1841		Controlled	Total_Item_Requests	1	1	0
