Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	nrc:51861-2359-csp
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T05:39:45Z
Created_By	Atypon Systems LLC.

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Canadian Science Publishing	Searches_Platform	5	5	0
Canadian Science Publishing	Unique_Item_Investigations	124	124	0
Canadian Science Publishing	Unique_Item_Requests	103	103	0
Canadian Science Publishing	Total_Item_Investigations	155	155	0
Canadian Science Publishing	Total_Item_Requests	117	117	0
